 Kd 8d Qs Th Qd Qc] [ Ad 2c 2h 7h 9c 3c 4d 8c Ks Ts 4s Tc 8s Js 8h 6c 6d Ac 3d 2d 5s 2s 4c Kh As 7d 7s 4h 6h 7c 3s Qh Jc 3h Jh Ah 6s Td 5c 9h Kc Jd 9d 5d 9s 5h];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9h, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4h Jc 4c 3h 5h 4d Kc Ah 8s 8c Ad 7s Jd 2h 5s 7d 2d 7h Td 9d 9s 2s Ts 2c 6s 3c 6d Ac Js 6h 3d 5c Jh 9c 6c Qh As 8h 9h 7c Ks 4s 3s Tc 5d Kh];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Js, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s 9d 8c 7s Ad 5s 3d Td Qh Jh 2d 3s Jd 6c 7c 4c As 2c 2s Ac 6d 9c Js Kh 3c 8h 5c 4d 9h 5h 6h Ts Kc Ks 4s Ah 4h 8s 7h 9s 5d 7d Jc 2h 3h Tc];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Td, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c 4c Ks 3h 5h 6h 8h Jh Qh Ts 9s Jd Kh 5d Ad 2d 9h 9c 5s 8s 2h 3s 6c 8c 2c As Ah 5c Js 3d 3c Td Kc Tc 6s Jc 2s 9d 4s 6d 7s 4d 7h 7d Ac 4h];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jh, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 2c 6s Ts 6c 7h 7c Jc 5s 6d Kc 4h 5c Ks 7s 7d Js 6h 4c Kh 4s Tc 5h Qh 2d 8h Jd Td 3d 4d 9c As Ac 8s Ah 3c 9s 3h 3s Ad 2s Jh 5d 9h 9d 8c];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[4h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c Ac Ks Jh 2d 4d 8s 4h 5s 3c 6h As 9s Js Qh 5d Ah 3d Kh Jd 9h Jc Ts 8h 2h 9c 4s 3h 2s 5c 6s 7c 9d 7h Tc 5h 6d 7s 7d Kc Td 2c 6c 4c Ad 3s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[r:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[3h, Qh]32897;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 2d 9d Td Js Kh 8h Jd 4d 5h 2c Jc 2s Ah 7h 9s 6c Ad Qh 4s 7s Kc Ts 6d 7d 4c 9c Ac 6s As Tc 5d 7c 6h 3d 4h 2h 5c 3s 5s 8s Ks 3c 3h Jh 8c 9h];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[8s, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac Qh 7h 8s 3s Tc 9d As 7d Td 2d 2c 5d 6d Jh Jd 4d 2h 9s 9h 4h Ah 3c Ts 8c 3d 7s 8h 5h Kh 6s 6h Ks 5s 7c Js 2s 4c 3h 9c Ad Jc 4s 5c Kc 6c];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[r:14,64] Hero[c:0,17] ;b1(30) ;-11;b1[4c, Tc]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 3c 2d 9c Js 6d 2h Ad 4s 6c 3s 5h 4d Jh Tc 5s 8s 6h 2c 2s 7s Ts 7c 6s Kh 9d Ks 8c 5d Kc Qh 4c Ac Td 4h 9h 3h 8h 7d 9s 7h 3d 5c As Jc Ah Jd];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2d 7h 2s 9s Kc 3s Ks 6c 8h 9c Tc Ad Ah Kh 6d Ac 7c 2c 5s 8c Qh Jc Js 8s 5h 9h Td 4d 3c 7d 3h As 4c 4s 5c 9d 6s 2h 7s 3d Jd 6h Jh Ts 4h 5d];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[6s, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s Jd Js 3s 8c Jc 5c 2c As 7h Ad 9d 3d Ah 9c Ks 7s 7c 9h Td 4d Kh 6d 4c 4h 2d 5s 2h 8s Ts Tc 9s Qh 4s 7d 6c 6s Ac Kc 5h 8h 3c 3h Jh 6h 5d];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Td Ks Tc 7h As 4d 8h 6d 7c 3d 5h Ts 9c 5c Jc 2c 2s 6c 9h 4s 5s 8c 8s Kc 7s 3h 5d 7d 2h 3s Ah Ac 9s Qh 9d 2d 3c Jd Js 6s Ad 6h Jh Kh 4c 4h];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(15) Hero(1) ;1;b1[Ks, 9c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 7d 5d Kc Kh 8h 9d 9s 8c Jc 3c 2c 5h 3h 8s 6d Td Ad As Ac Qh 6s 5c 4c Tc 2s Ks 4h 7c 5s 6h Ah Js Ts Jd 3d 4s 2d 9h 4d 7h 7s 2h Jh 9c 6c 3s];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jd, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 5d Ts 4d 4c Jc 7d 3d Tc 2h As 9c Td Ac Ad 4s 5s 7c 8c 2c 9h 8h 5c Jh 6d Js 5h 3h 6s 3s 9s 7h Kh 7s 8s Ks Qh 3c 2d 4h Ah 6h 9d 2s 6c Jd];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:4,5] Hero[r:0,77] b1[r:4,5] Hero[c:0,17] ;Hero(20) ;20;b1[Td, Ad]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 7h 5s Kh 4h Jh 4s 3s 9c Tc Jd 5c 5h 7d 5d 4c 9h 2d Ts 3c 2c 6c Td Js 3h 8c 8s 6h 2s 4d Ac 6s As 9d Ks Jc Qh 9s Kc 2h 7s 7c Ad 8h Ah 6d 3d];[Qc, Qd, Th, Qs, 7h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, 7c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 8c Tc Ts Ad Js Jc 9c 2h 3h 5d 7d 2c 7s Jh Ks 9d 4c 5c 7c As 3d Kh 6d Qh 5h 6c 7h 3s 6h 4s Td 4d 3c 9s 5s Jd 4h Ah 2d 2s 8h 8s 6s Kc Ac];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[9h, Kh]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h Qh 9c 2s 5d 8c 8s 2c Ac 3h 6s 3d 9s 7s 6c 3c 4d Kh Td Jh Ks Ad 4h 2h Jd 9h 3s 9d 4c 5s Kc Ts 4s 2d Jc 7d Tc 5h 6h 5c 6d As 7h 7c Js Ah];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[r:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ts, 9c]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 6h 5c 6d Kc 2s 4c 2c 5h 7d Ts 5d 3d 2h 9s 7s Jh 6s Kh Ks 9d As 6c 7c 3s Ah 9h 3c 3h Js Tc 4h Ad Jc 4s 7h 8s Td 9c 8h 8c Qh 4d Ac 2d 5s Jd];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jh, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7h 8h 5h 2c Jh 8c 2h 2d 4d Kh 5c 2s 6s Jd 6h 3h Ah 7c 3s Jc 3d Ac 9s Qh 9h Ts 6d Js 5d 8s Ad 4c 4s 9d 7d 4h As Tc Td Kc Ks 3c 7s 5s 6c 9c];[Qc, Qd, Th, Qs, 7h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s Kc 6c Jh 6d 4c Ts 8h 2s 7h 7c 4d 6s 8s As 4h 8c Ad 2h Qh Kh 6h 3d 2d 2c Js 5h 3s Tc Jc 3h 3c Ac 9c 7d Ks 5c 9s 4s Ah Jd 9h 5s 9d 5d Td];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Qh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4s 8h 3c Kc 7s Jc 4c Ks 2d 5c 2s 9h 9s Td Jd 8c Kh 2c 7h Ts 5h Jh Js 3d 6c 4h Ad 5d Qh 6s 8s 4d 7c As 3s 6d 6h 5s 2h Tc Ah Ac 7d 3h 9d 9c];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[Jh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3c 4s 2c 6c 2s 4h 5d Tc Jh 9c 2d 3d 7h Ts 3s Kh 4c 7c 3h 9d 6h As Js Ah 8s 6d 5s 7d 9s 6s 9h 5c Ks 8h Qh Td 8c 2h 7s Kc 4d Ac 5h Jd Jc Ad];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[8h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 3s Jd Jc Ad 2s 3d Tc Js 2c 4h 4d 9s 5h 6d 3h 2d 6h 7d 9h Ah Ts 8h 9d 5d 4s 8s 2h Ks As 8c Td 9c Ac Kc Kh 4c 3c Qh 6c 6s 7c 7h 7s Jh 5c];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Ks, Jd]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Ts 9h 5s 2s Ks 2h 8s 6d Jc 7s 3d Kh Td As 6c Jd 3c Jh 3s 6s 4h Ac Kc 9d Ah 6h Ad 5h 9c 4d 8c 8h 4c 5d 2d 5c Tc 9s 7d 7h 3h Js Qh 2c 4s];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Kh, Jc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad 3d 9c 9d Jc 5c Td 6h Kc 6s Jh 7c 6d 3s 8s 8h 5s Ah 9s 7s 7h 7d Kh 4s 4c Ks 4d 5h Ac 9h 5d 3c 2d 2c Js Tc Qh 6c As Jd 8c 3h 2h 4h Ts 2s];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6h, 6d]28797;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 2s 2h 9s 7d 5d 8h 6h 6s Ks 3s 3h 5s Ah 9c 4s Qh 4d 3d 9h 6c Ad 4h 5c 3c Kc 8s 8c Ts 7c 7s 2c Td 2d 6d 9d 4c Tc As 5h Ac Jh Jd Js 7h Kh Jc];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[2s, 2h]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 6s 4d Jh 3h Ah 2s 8s 9c Ad Tc 3d 6h 7h 2d Js Kc Qh 4c 9h 7c 9s Ac 5s 3c 5h 2c 4s As 6c 5d 4h 3s 7s Jc Ks Td Ts Jd 5c Kh 7d 8c 2h 6d 8h];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ad, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h Ts Kc 4h 7c Qh 3d 4d 9s 7d Jc Ac 7h 3s Td Js 6s 2c Ad 5d 6c Kh 6h 4s 9c 4c 9d 5h 6d 2s 5s 3h 5c 8s Ks 7s As 2d 3c Jd Ah Tc 8h 8c Jh 2h];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Td, Ac]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c 6d 2c As 8s Tc Qh 3s 7c Kc 5s Ad Jd 4h 9s Ts Kh 9d 3d 4d Jc 7s Ah Td 9c 2h 6h Ac 3c 6s 6c Js 4s Ks 8c Jh 7d 5h 3h 8h 5c 9h 5d 2d 7h 2s];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Jh, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6h 5h 2d 5s 4h 7s 6s 6d 4c 7d 3c 2h 8h Jc 9s 2c Jd 7c Ac 4s 9h Kc As 7h 4d Ts Ah 8s Kh Tc Jh 2s 3h 8c 5d 9c Ad Js 3d Qh Ks 9d 3s 6c 5c Td];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[r:4,5] Hero[f:92,7] ;{14} ;-14;b1[9s, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4c Ah 4h 9d 3s 4d 2h 5h Ac Kc 6d 8h Js 5s Qh 3d 6s 8s 9c 5c 3c 9s 6c Ts Ks 4s 2s 2d Tc 5d Ad Td Jc 7c Kh 3h 2c Jd As 8c 6h 7h Jh 7d 7s 9h];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[4s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c 7h 9h 8s Ks Kc Qh 3h Td 2d 4s 9c Jd 5h Jc 7s Jh 7d 6d 6h Tc 2c Kh Ts 4d 5d 6c Js 7c 5s 8h 2h 3s Ad 9s 5c 4h Ac 2s 3c As 4c Ah 3d 6s 9d];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:89,10] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[9c, Ac]17108;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Ts 5h Tc 8c 2h 4s 6d 3c 9d Jd 7s 4d 6h Qh As 4c 7c 7d Kh Ad 7h 4h 9s 8s 3d Ac Ah Td 5s Jc 9c 6s Js 6c 8h Ks 2c 5d 3s 3h Jh 2d 9h 2s 5c Kc];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Ad, Kc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Js Tc Ad 6s 2h 5c 4h Td 7h 2s 6c 9d 6d 7s Kc 4c Ks 9h 8s Jd 8c 9c 3h Jh 3d 5h As Ts Ac 9s 3c Ah 4s Jc 4d 5s 3s 7d Qh Kh 8h 2c 7c 6h 2d 5d];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9d, 9c]28800;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ah 2d 9s 9d Ts Tc 8c Jd 7s Ks Kc Td 5c 8s Ad 3h 5s 6s 9h 2h 6d Ac 3s 4c 3d 3c 2c Qh 6h Jh 4h 4s 5h 8h Js As 9c 6c 2s 5d 7h 7d 7c 4d Jc Kh];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[9d, Kc]17110;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 7s 3c 4c 5s 6d 5h Kh 7h 9h 9d 3h Ks 8c 4h 9c Ad Kc Jd 7d 4s Ts 8s 8h Tc 3d Ac 6s Qh 6h 5c 4d Jc Js 5d 2d 2s Jh 3s As 7c Td Ah 2h 2c 6c 9s];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4h, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h 4s Kc Js 8c 3c Td 6c 7c 2c Ks Ah 6s 3h 7h 9c Jc Ts As 3d Kh Jh Tc 7s Ad 6h 9d 8s 2h 5d 2s 5s Jd 6d 9s 5c 7d 4d 2d 8h 4c Qh 5h 9h Ac 3s];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[f:4,5] ;Hero{12} ;12;b1[7d, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s 2h Js Jc Jd 3d 2s 9s Qh Kc 3c 8c 5h 4s 5s 9d Ah 7h Kh As 3h 3s 6c Td 4h 9c Ac 8h 6d 8s Ts 7s 2d Tc Ks Ad 5d 7d Jh 5c 2c 9h 7c 6h 4c 4d];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[As, 6c]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d 8h 4c 6s 2h 6h 7s 5s Kh 2d Td 4d Qh Tc 6d 7h 3s 7d Js Ts Ac 2s 3h 4h 5d Jd 2c 7c Ks As 9s Ad Jh 5c 8c 5h 9c 9h 8s 6c 9d 4s Ah Jc 3c Kc];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Kh, Kc]28803;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c Kc 2s Ts Kh Jh 6h As Tc 5s 3s 9s 8c 5c 7c Qh 7s 8s 8h 9c Ah 4h 7h 9d 3h 6c Jd 3d Ac Td 6d Ks Ad 5h 4s 2d Jc 7d 5d 2h 4d 9h 3c 2c 6s Js];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[r:89,10] Hero[f:92,7] ;{10} ;-10;b1[Jh, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9h 9d 7d Jc Kc Ks Td 6s 5c 8h As Tc 3c 5d 4d 2c Ac 4c 4h 2d 6h 6c Qh Ad 5h 7s Kh 2h Ah Jd 4s 7c 3h Ts 6d Jh Js 3s 3d 9s 8s 9c 5s 7h 8c 2s];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[5s, 5d]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 6c Ac 3d 9s 4h Ad 7c 8s 5d Tc 2h Jd 8c Qh Kh 3s Td 9d 5c 6d Jh 2c 2d 6s 5h 4d 7d 7s 9h 8h 4s 6h Ah 9c As 2s Kc 5s Ts Js 3c 4c Ks 7h Jc];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[As, Jh]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 9c As 3s Jd 6h Qh Jh 5h Kc Kh 9s Ac Tc 8c 6d 3c Ks 9d 5c 5d Ah 7c 2s 4h Td 9h 7s 7d 4s Ts Js 2d Ad 8h 8s 2h 4c 2c Jc 5s 7h 3d 6c 3h 6s];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, 7h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Ts Jh 8c Jc 4d 3c Kc 6c As Ks Ac 7d 7s 5d 5h 5c 3s Jd 6h 7h Tc 2h 9s Js Ad 9h 9c Td 9d 3d 3h 8s 4h 4c Qh 4s Ah 2c Kh 5s 2s 6s 8h 6d 2d];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jd, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts Ad Jh Qh Jc 2h 7s 4s 7h 3c 9c Td 4c Js 5d 6c 3d 6s 2c 9s 2s As 5h Ac 7c 5c 8c 8s 7d 3h Tc 4d 9d 5s 4h Jd 9h Kc 3s Kh 8h Ah Ks 6d 6h 2d];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[7s, 7c]28801;b2;Hero[8d, Kd]28801;b0
