 Kd 8d Qs Th Qd Qc] [ 8c 2c 9d 5d Ks 8s 5s 2s 7s Td 4s Ts As 6s 4d 3h Ad 4c 7d 9s Js 7c Jc 5h Jd 2d Kc 2h 9c 3c 3s 4h Jh Ah 7h Ac 6h Kh 8h Tc 5c 3d Qh 9h 6d 6c];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(20) ;20;b1[7d, 7c]28798;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Kh 7d Tc 6s 2h 7s 5h 7c 4s 9s 6c 5s 9h Ad Qh 6d Js 4h As Td Ts Ks 5d 9c 8h 9d Jd 3h 2s 5c 6h 4c Kc 2c 3s 3d Jc Jh 4d Ah 8c Ac 3c 2d 7h 8s];[Qc, Qd, Th, Qs, Kh];null;null;b1[r:13,9] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[c:0,77] ;Hero(24) ;24;b1[Ts, Ac]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 7h Kh 7c 5h 3h 3c 9h Tc 7d 8s 5s 4s Ah Ts 3d 4c As 6c 4h Js 2h Td Ad 9d 6h Ks 6s 8h 6d 9c Ac Qh 2c Jc Kc 2d 3s Jh 4d Jd 5c 5d 2s 9s 7s 8c];[Qc, Qd, Th, Qs, 7h];null;null;b1[c:13,9] ;b1[r:14,64] Hero[f:92,7] ;{14} ;-14;b1[Ts, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9h Jh 8c 7s Ah 9s Js 5h Ks Jd Jc 4d Kc 3h Kh 2c 7h 8s Qh Tc 5s 3c Td 8h 6h 2d 9c Ac 9d 6s As Ad 3s 6d 3d 5d 2s 7c 4c 4s 2h 7d Ts 5c 4h 6c];[Qc, Qd, Th, Qs, 9h];null;null;b1[c:13,9] ;b1[r:14,64] Hero[f:92,7] ;{14} ;-14;b1[Ah, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kc Ad Ah 7c Jd 2d 6c 4s 9h Kh 6d Jc 9c Tc 8s 2c 6s 3h 5c 2s 7h 8c 7d As 6h 3d 7s Td 4c 9s Ts 5h 5s 3c 4h Qh 5d 9d Js 4d 2h Ks 8h 3s Jh Ac];[Qc, Qd, Th, Qs, Kc];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,77] b1[r:4,5] Hero[c:0,17] ;Hero(24) ;24;b1[8s, 8c]28799;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 2s 9c 7h Ah Tc Ks 4c Ac 4d Jh 9h 3c Jc 3h 4s 7c 5d As 5h 8s 2c Ad Kc 3s 6h 6d 6c Qh Kh 3d 8h 2h Td 4h 9s Jd Js 5c 7d 9d 6s Ts 8c 2d 7s 5s];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:13,9] ;b1[r:4,5] Hero[r:0,17] b1[c:4,5] ;b1(46) ;-22;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 2s 4d Ks 6c Ah 5s Jd 8s 6d 5c Jh 2h Ts 6h 4c As 7h 2c 9d 4h Jc Qh 3c 5h Ac 7s Ad Kh Js 6s 3d Td 7d 3s 9s 2d 9c 8h 5d Tc 3h 9h Kc 4s 7c];[Qc, Qd, Th, Qs, 8c];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[3h, Qh]32897;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 7d 6d 7h 8h Kh Qh As 8c 6s 9c 3h 7c Jc 4s 3d Ad 9h Jh Ks Jd 4d 5h Ts 2c Js 7s 2d 3s Tc 8s 3c Ac Ah 5s 6h 9s 5c 2s 5d 4h Td 6c 9d Kc 4c 2h];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[8s, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5c 8c 5h 6s Jd 4s 6c As 8h Tc 9s 7h Kh 4c Ks Js 2s 9c 5s Kc Ah 6d Ts 3h Ac 4h 3s 7s Jc 2h 2d 3c 4d 9h Qh Ad 6h 9d 2c Jh 7c Td 5d 3d 8s 7d];[Qc, Qd, Th, Qs, 5c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 2c Jh 7s 6h Jd 3c Kh Ks 6d 7d 4s Tc Js 6s 9c 3h 6c Jc 4d 2d 2h 3s 5c 4h 4c Td Ad Ac Kc 5h 9h 9d 2s 3d Ts As 7h 5d 5s 7c 8s 9s 8c Qh 8h];[Qc, Qd, Th, Qs, Ah];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Js, Jc]28802;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 5d Ks 3s 2h Jh 5s 4d Jc 4c 3h 6d Tc Ad Js 6c 8s As 9c 9d Ah Qh Ac 3d Td Kc 8h 3c 4h 5c 2s 7d 7s 2d 5h Jd 9h 8c 7h 6h 4s 6s 7c Kh 2c Ts 9s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Js, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c 3h 3d Td Js 9s Ks 2h Ts As 5h 5c 2c 2s 2d 3c Kh 8h Ad 6d 6s 7h Ah Jd 9h 8c 5s 7c Ac 9c 5d 3s 9d 8s 7s Jh 4h Kc 7d Jc 4c Qh Tc 4s 6h 4d];[Qc, Qd, Th, Qs, 6c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[3s, 3h]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d 7s Ts 3c As Kh 4d Ad 9c 7h 5s 8s Tc 2h 4c 2d 6h 8h Td 7d 9d 4h 9h Jc 2s Js 3s 4s 6c Jh 7c 6s 6d 3h 5h 2c 5d 8c Ac Ks Ah 9s Qh Kc 5c Jd];[Qc, Qd, Th, Qs, 3d];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(38) ;-18;b1[7s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 7h 3s 4d 7c 9s 2h 8h 9h 6s 5s Ts As Jc Ah Jd 6d 6c 7s 2s Td Qh 9c 7d 5h Kh 2d 4c 3d 5c 3h 9d 4h Ac Ad 5d Js Ks Tc 2c 8s Jh 3c 6h 4s Kc];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,77] ;b1(30) ;-14;b1[Td, 3c]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 5c Js 4c 8h Ac 7s Jc 3s Td As 5s 9s Kc 6c Tc 6h 9d 7d 7c Ad 2h 8s 5d Jd 3d 2s 4h 9h 7h 8c 6s Ah 5h Qh Ks Ts 3h Jh 2c Kh 3c 4d 9c 4s 2d 6d];[Qc, Qd, Th, Qs, 5c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Jd, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh 7s 8h 7h Td 2d 3d Ad Ah 6d 4s 7c 8c 6c 4c 7d 2c 5h Ks Kc 4h As Kh 9d Tc 5d 6h Jc Ac 9c 5s 6s Js 5c 9s 3h Jd 2h 3c Ts Qh 4d 8s 9h 2s 3s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Js, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ad 2h 9h 5d 3d Ts 6s 6h 4h Js 2s 5h Kc 8s 4c Tc Ac 7c 4s 3s 8c 3h 9d 5c 3c Kh 7d 6c 6d 2c Ks 9s 5s 8h As 7h 7s Qh 9c Td Jh 4d 2d Ah Jd Jc];[Qc, Qd, Th, Qs, Ad];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[3c, Tc]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ts 7d 8h 8s 2c Qh As Js Tc 3c 7c 3h 4d Ks 5c 6c 7h 6d 3d Td Ad 4s Jc Ah 9s 6s 3s 9c Kc 5d 4h 6h Jd Kh 2s 4c Ac 7s Jh 5h 9h 9d 8c 2d 5s 2h];[Qc, Qd, Th, Qs, Ts];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(19) Hero(1) ;14;b1[3s, 3d]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 3d 2h 9s Jh Js 7s Jd Ac 9c 4h Kc 6c 3s 5h Qh 2s 8h Ah 8s 9d 5d 7h 3h Ad 7d Kh 8c Tc 2c 2d 9h Td Ts 4d 7c 4s Jc 6h Ks 5s 4c As 5c 3c 6d 6s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Jh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8s 6d 3h Kc 4h Td 5c 9s 5d 2s 2d As 5s 3c 4d 9d 3s 4s Ac 7d 7s 6c Js Jd Ks Kh 5h Ah 7h 4c 8h 8c Qh 9c 6s Jh 2h Jc 9h 6h Ad 2c 3d Ts Tc 7c];[Qc, Qd, Th, Qs, 8s];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,77] ;b1(30) ;-14;b1[9d, Td]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 4d Kh 2h 6d 3s 8s 6c 8h As Tc Js 7h 9h Ac Ah 4h Ad 9c 7d 2s Ts 2c Td 7s 8c 5h Jd 7c 2d 6h 9d Jc 9s Ks 6s 5d 5c Jh 5s 4s Kc 3h 4c 3d Qh 3c];[Qc, Qd, Th, Qs, 4d];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[2s, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 4c 3d 8c 4d 7d Kc 9c 7h 8s 2c 2h Td 5s 6d Jh Ac Ah Js 5c Ts 4s 9s Jc Tc 9d 5d 7c Ad 6c Jd Kh 8h 2d Ks 5h 6h 7s 6s 4h 2s 9h Qh 3h 3c As];[Qc, Qd, Th, Qs, 3s];null;null;b1[r:13,9] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(54) ;-26;b1[Ah, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd Kc 4h 2c 3c 6c 9c Ks Jh 8s 8h Td 7d 8c Ac 3h 5h 2h Ts 9h 5s 7c 6s 4c 3s Qh 4s 6d 7s 2d 4d 3d 9s Js Tc 5c 2s As Jc 9d Ah Kh Ad 7h 5d 6h];[Qc, Qd, Th, Qs, Jd];null;null;b1[c:13,9] ;b1[r:14,64] Hero[f:92,7] ;{14} ;-14;b1[Td, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c 5c 3h Ah 6s 2h 6c 7s Td 4h Kh Jd 4c As Js Ks 8s 7d Tc 4s Jh 5d 3s 5h 9d 8c 2s 4d 3d Ts Jc Kc 2d 6d Ac 7h Qh 9h 9s 6h Ad 9c 8h 3c 7c 5s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[As, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc 2s 6s Qh 4d 2c 3h 5d Jh 3d 5c Jd 2h 6c 8h 3c 7s Js 4c 9h Ks 3s Ah 9s As 5h Ad 9d Td Kh 8c 6d 6h 4s 9c 7c 4h 7d 8s Ac 2d 5s Kc 7h Tc Ts];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ah, Tc]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Js 9d 5h As 3c 9h 5d 3s Ks 6d Jh Ah 3d Ts 9s 6s Qh 7h 5s 7s 7d Jc Ad 2h 2s 8c Td 8s 7c 9c 8h 4d 2d Kc Ac 4h 3h Jd 6c Kh 4s Tc 6h 5c 2c 4c];[Qc, Qd, Th, Qs, Js];null;null;b1[c:13,9] ;b1[r:14,64] Hero[f:92,7] ;{14} ;-14;b1[Kh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 8h 2s 3d 7c Ad 5h Jh 4d 3c Qh Ah 6d Tc 9s 6c 8s Ac 2h Ks 6h 2c 4s Kc 3s 5d 8c Jc Td 9c 4c 9d 5s Ts 7s 5c 6s As Jd 7h 7d 4h Js 2d 3h 9h];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(20) ;20;b1[Ts, 9c]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 9h 9s 4d 6s Td 4h 2d 4c Ad 5c 5h 2c 7s Kc 7d 9d Ah 8s 5d As 3c 8c Jd Ks 3h Js Qh Ac 8h Ts 3s 6d Jc 6h Kh 2h 9c 7c 5s 2s 7h 3d Jh 4s 6c Tc];[Qc, Qd, Th, Qs, 9h];null;null;b1[c:13,9] ;b1[r:14,64] Hero[f:92,7] ;{14} ;-14;b1[Ts, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ah Td 5c 8h Ad 7c 2h Kc 6h Jh 4h 6d 5d 7s 4d Jc 9h 2s Ts 9c 3c 4c 9d Jd 3h 7h 9s 5s 8s Qh Js Kh 6c As 5h 7d 4s 3d 8c 3s Tc 2d Ks 2c 6s Ac];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[Tc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2s 6d 8c Ac 5s 9s As 7c 8s Jh 7d 5c Qh 2d 3h Jd Td 7h Ks Kc 5d 6s Ts 9d 9h 2c Ah 4s 3s 4d 3c Jc 4c 6c Tc 3d 5h 7s 4h 6h Js Ad 9c 8h Kh 2h];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[7c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9h 8c 3d Tc 7h Kc 4h 4s 7c 5s 6c 8s Jh Ks 6h Ac 5h 2h 6s Jc As Td 7d Kh 4d 5c Ts 6d 7s 8h Qh 9c Ad 2c Js 3c 4c 3s 2s 3h Ah 9s 9d 5d 2d Jd];[Qc, Qd, Th, Qs, 9h];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[7s, 7h]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 4h Td 2d 6d 5s Kc 6h Ks Js 5d 5h 3c 2s 7s 8s 5c Kh 3h Ac Ts 4s 9d 7c Jh 9h Ad 9s 8h 8c Qh 7h 2c Jc Tc 9c 3s Ah 7d 2h 6s 6c 4c As Jd 3d];[Qc, Qd, Th, Qs, null];null;null;b1[f:12,66] ;null;Hero{12} ;12;b1[Qh, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c 9h 5s 7d Tc As 6c 7c 9d 4h Jd Ts 8c 2s 5c 9c Ah Ad Ks Kh 7s Js 3s 3d Td 5h 4s 3c 3h 9s 2d 6s 4d Ac 2h 7h Qh 5d 8s Kc 4c 6h Jh 6d Jc 8h];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[As, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh 4h Qh 5h 9s 3d Ac 8c 9d 7d 2s 7c 8h Ts 7h Kh Kc As 4s 5c 6h 9h Tc Jd 4d 3h Ad Ah Td Ks 5d 6c 7s 2d 6s Jc 8s Js 2h 4c 6d 3s 2c 9c 5s 3c];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 7s 3c 6s 6c Td 2s Qh Tc Ah 7c Ks 9d 4c 2c Kh 7d 9c 5s 4h Kc Jh 5c 2d 2h 9h 8c Ad 7h 6d As 8s 3h Js 8h Ts 3d 6h Ac Jc 5h 4s 5d 9s 4d Jd 3s];[Qc, Qd, Th, Qs, 7s];null;null;b1[c:13,9] ;b1[c:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[Ts, 9d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 2s Ah 3s 6d 5h 3h 5s Tc 3c 7c 4h 2d 6h 4s Qh As Ts 8s 2h 2c Ad Jd Jh 4d 7d 9d 4c Kc 3d 8c 9h 7h 8h Kh 7s Ac Jc 5c 5d 6s 9c Ks Td Js 9s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Kh, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kc 6h 5s As 2s 3c 4h Td 5d 4d 7s 5c 9c 3d 4c 8s 8c 8h 9d 2c Kh Jh Jd Ts Ah 9h 7d Ac 2d 3s 4s 3h 6c 9s 2h Qh 7h Js 5h Ad Jc 7c Ks 6d 6s Tc];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[5s, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d 6d 4h 3d Td 4s Jc 6h 9s Js Qh 9h Tc Kh 3c 9c 5h Ts As 2c Jd Kc 3s Ks 7h 3h 6c 2d 7d 4c 7c 5c Ah 7s 8c 8h Jh Ad 4d Ac 5d 5s 8s 2h 2s 6s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 3s 9s 6s Js 4d 2h 7s 2s 6c Td 3h Tc 6h As 5h 3d 5d 7d 5c 7h 3c Qh Ts 4c Kh 2c 4s Jd Kc 9c Ad 7c 6d 5s 2d 4h Jc 9d 8h Ac 9h Ah 8s 8c Jh];[Qc, Qd, Th, Qs, null];null;null;b1[f:12,66] ;null;Hero{12} ;12;b1[Jh, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6h Ac 4d 6d 5s Jc 9s Ts Jd Ad Js 6s 2c 5h 6c 7h 4s 8s 9c 2d Ks Qh 9d 3s 5d Td As 7d 2h 4h 7s 5c 7c 3d 8h Jh 9h 3c Kc 4c 8c 3h 2s Ah Kh Tc];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Jh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kc 8h 2d 3d Ac 3s Td 8c Ah 9d 6c 7d 2c 5c 4d 9c Jd 9h 4s Kh 6h Ts As Ks 4h 7s 7h Tc 2s Js 9s 4c Qh 8s 7c Ad 3c 5s Jh Jc 6s 5h 2h 5d 6d 3h];[Qc, Qd, Th, Qs, Kc];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[r:0,77] b1[f:89,10] ;Hero{20} ;20;b1[Ad, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c 6s 4d 2s 9d 4c 9s 4s 7c As 9h 5h 8c 2d Ks 5s 6c Ad Kh 6d 7h Kc 5c 3s 2h Td Ts Js 6h 9c Tc 7d 3c Qh Jd Jh 5d Ah 3h 4h 8s 3d 8h Jc 7s Ac];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:12,66] ;b1[r:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[Jh, Qh]32898;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As 7d 9s Ks 3c 8h 2d Kh Qh Ac 4c 4s 7c 2c 5h Js 4h Jh Jd Ts 6c 7s 2s Td 5d 3d 5s Ad 9c 6h Tc 7h 3h Kc Jc Ah 9d 3s 2h 9h 6d 8s 5c 6s 4d 8c];[Qc, Qd, Th, Qs, As];null;null;b1[c:13,9] ;b1[r:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[Kh, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ks 5s Js Kc 6s 6d 6h 9h 6c Ad 2h 8s 7d 3s 4h Tc 7c 7h 2c 5d 9c 4s 5c 8h 3c 2s 3h Ac 3d Kh 5h 9s 8c 4d Jh Qh 2d 4c Ah Jd 7s 9d As Td Jc Ts];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Jh, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc Ts Ah 9c 2s 3d 5s 5h 4c 2c 3h 4s 9d 7s 2d 4h Qh 8s Jd 3s 6h 5c 5d Jh As 6s 4d Kc Ks 7d Js 9s Td 6c Ac 7h Kh 9h 8c 7c Tc 3c 6d Ad 2h 8h];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ah, Kc]20490;b2;Hero[8d, Kd]17099;b0
