 Kd 8d Qs Th Qd Qc] [ 2h Ac Js Td 9c Jc 4d 6s Jh 9d 3d 7c 4c Tc 6c 2s 2c Qh 8h 5c Ah Ts 7h 8c 9h 3s 8s 6d 7s 4h Kh 9s 2d Ad 3h Ks Jd As 7d 3c Kc 6h 5d 5s 4s 5h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, Js]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js Kh 6d Ks 7c Jd 6s 9c 2s 8c 8h 4s 3c 2h Tc 9d 4d Kc Ts 2c Ac 5s 2d 3d Jh Td Ah 3h Jc 9h 7d 5c 9s 5d 7h 4c 6c 8s 3s 5h 7s Ad 6h 4h As Qh];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9s, Ks]20489;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ks 7c 2c 3d 4d 7h 5c 9s 3h Kh Qh Kc 4c 9d Td Jh 8s Jd 3c 6s 9c Ts 8h 3s Jc Ad 5h 6h 8c 4s Js Ah 6d 2d 2s 7s 6c 9h Ac 5s 2h 7d Tc As 4h 5d];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;Hero(12) ;12;b1[Js, 9c]20489;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Jh 7c 3c 2c 3d 9h 8s Qh 4c Ac 2h 6h 7h 8c 5c 7d 5h 5d 4h 2s 5s 6c 4d Js 7s As 9s 3h 8h 9c 4s Ad Ah Ks 3s Kc 2d Tc Jc Ts Kh 6s 6d 9d Jd Td];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9s, Ah]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 6s 7c 3s 7d Jh Jd Ts 4s 3d 4c 4h Td Ac 3h 8c 5c 9c 6h 2d Js 2c 3c 5d Tc 5h 9s 7s 9h Ks 6c Kc As 8s Ah Jc Kh 6d Qh 2s 8h 7h 5s 2h Ad 9d 4d];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[Jh, Ah]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 6s 8s 7s 2h 6d 5h 2c 7h 5s 6h 2s 7c 3c Jh 8c 4s Ac 7d Tc 6c Kc 4d Ts 3s Jc Kh As 5c 5d 8h 9h 2d Td Ah 9c 4c 4h Js Qh Jd 9s Ad 9d 3h 3d];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[Ks, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ts 6d 7c 5d 8c Ah 7s 6h 9d 2h Td Jd 2s 3h Jh Ks 3d Tc 2d Kh Ad 2c 9s 9c 9h 3s 6c 4c 8h As 4h 7h 3c 6s Js 4s 5c 5s Kc 8s Jc Ac 5h Qh 7d 4d];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(11) Hero(1) ;1;b1[As, 9d]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Ad 4h 9c 6c 7h 2d Kc 7c Jh 6h 9s 9h Ks 2c 6s 5s 3s Td 3h Ac As Qh 8c 2h 5c Tc 4c Ts 7d 7s 4s 9d 4d Jd 8h 3c Ah Jc Kh 6d 5d 8s 2s Js 5h 3d];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[Tc, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kc Jc 5d 9h 6h As Ts Ad Jh Kh 3d 9s Ac 3c 3s Ks Tc 4d 7s 9c 5s Td 2c 2s 7c 7h 8c Ah Qh 2d 2h 8s 7d 6c 9d 8h 4s Jd 5h 5c 4c 3h 6d Js 6s 4h];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[8s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jd 5h 9h Ad 6c 4s 8s 2d 5s 5d Td 7h 3s 8h 2s 6h Qh Js 3c Kh 4h Jc Ts 6s 9d 5c 4c 9c 4d 8c Tc Kc Ac Ks 7s 9s 7d As Jh 2h 3d 6d 2c 3h 7c Ah];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[8h, 9h]20488;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 6c Jh 2c Jc Ks 6d Kh 5h 4s 6h Ah 9d 8h 8s 4h 5c 7h Td As Tc 6s 9c 7d 3s 3h Ad 4c Qh 3c 9s 3d Kc 7c 2s 2d 7s 4d 2h Jd 5d Ac 9h 5s 8c Ts Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[5d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As Jh Jd 4c 8h 3d Td Ks 5s 7h Jc Kh 4h 3s 6h 5d 3h 2s 7s 6s 6d 3c Ts Qh 9d Tc 7d 5h 6c 9h Ac Js 4s 2h 4d 2d 9s 8c 5c 8s 2c Ah 7c Ad Kc 9c];[Qc, Qd, Th, Qs, As];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8h, Jh]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 9d 6h 2h 5c 9h Ts Jc 8s 5d Ac 3h 9s Ks Jh 7c Tc 6c 3c 5s 4d 2d 8c Kc Kh 7d 2s 6s Td 9c 7h Ad Js 6d 3d Jd 3s 2c 4s 7s 8h Ah 4h 5h Qh 4c As];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:18,51] Hero[r:0,69] b1[c:18,51] ;b1(22) ;-10;b1[8h, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Td 3h 4c Ah 7s 8s 9s 7h Jd Kc 2h 5c 8c Jh 9c 3c Jc As 7c Ad 3d Tc 6c 6s Qh 4d 5s 4s 5d Ts 9h Kh Ks 3s 2s 6d 9d 6h 8h 5h Ac Js 7d 4h 2d 2c];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(11) Hero(1) ;1;b1[8s, Jh]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2h Ah 6h 5c 8c 9s 4d 4s 6s 5s 2c Jd Tc 7d 9d Js 9h 3h 8h Td Jc 7s 5d Ac 6c Ks 6d 3c Jh 2s 4c 4h 2d 7c Kh Kc 7h 8s 3d Qh As Ad 9c 3s 5h Ts];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[As, 9d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As 7c Jc Qh Kh Td 7d 3s Jd 2d Jh 9d Ac Ah 5s 8c Ad 2h 4h Tc 8s 2c 9h 5d 2s 7s 6s 5c 4s 9s 6d Js 7h 5h Ks 3h 6c Ts 3c 4c 6h Kc 4d 3d 9c 8h];[Qc, Qd, Th, Qs, As];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[9s, Jc]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4c 6d Kh 5c 2h Qh 7c 9c 2d 8s 2s Tc 7h 5h 5s 6h 8c Ks Jd 9s 7d 9d 4d Td 4s 6s Jc 7s 3h Jh Ac Js 4h As 5d 3s Kc Ad 2c 9h 8h 3d 3c Ts Ah 6c];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[9h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s 9s 9d 6h 3h Jc Jd 3d 5c As 5s 8h 5h 9c Ad 9h 4c 8c 7h 2c 7c 4d 6c 8s Tc Kh Jh 4h Qh 2h Td 2d Ah 5d 3s 2s 7s Ks Kc 4s Ac 7d Js 3c 6d Ts];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[r:6,8] Hero[f:88,11] ;{6} ;-6;b1[Jh, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jh Qh 3h 9c 2h Ah 2s 7c 5c 6s 5h 7d 5s 5d As 9h 3d Ad 4s Tc Ac 8h 6h 6d 4d Jd 3s Ks 7s 8s Kh Js 8c Td 4c 2c 6c 7h 9d Ts 3c 9s 4h 2d Jc Kc];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[8s, Ac]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3h 2h Ts Jd Jc 9h 7d Ks 7c 5c 3d 9s 6s 5s Js 7h 2c 8c As Ah Ac Kc 7s Qh 9c 4s 3c 6c 3s Ad 8s 2d Td 4c Kh 4d 9d 2s 6h Jh 5d Tc 5h 8h 6d 4h];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[9s, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac 8c 5c 6s 7s 7h 6c As 4s 9s Jh 2s 7c 9h 5s 2c Ah 3d Qh Td Tc 3h 8s Kc 4d 8h Ks 7d 4h Ad 2h 9d Ts 4c 3c Kh 5h 3s Jd 6d 6h Js 5d 9c 2d Jc];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Js, Ks]20490;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ac 8c Td 3c Tc 4s Jh 9h 7c 4d Kh 5d 7d 3h As 2h 7s Qh 6s 2d 3s 9d 8h Jc 4h 9s Ad 5h Kc 2s Ts 2c 5c 6d Ks Js Ah Jd 5s 6c 6h 8s 4c 3d 7h 9c];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[5d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jh 3h 9h 4d 6h 9s 2s Jd As 5h 9c Ac 3c 3s 4h 7h 4s 5c Kc 8h Ah 6d Ad 3d Tc Qh 2d 5d 7c 7s 9d 5s 2c 6c Ts 4c 6s 8c 7d Td Jc 8s 2h Ks Js Kh];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Ah, Tc]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 8h 8s 5d 5h Ks 7c 9d 4c 9s 3d 9h 6h 3h 2h 3s 4h Kh Ah 6c Tc Jc 5s 6s Td 9c 3c 7h 2s 4s 2d Qh Kc Js Ac 7s 7d 6d As 4d Jh 5c Ts 8c Jd 2c Ad];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:18,51] Hero[r:0,69] b1[c:6,8] ;b1(11) Hero(1) ;1;b1[8s, 9s]28799;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 9d 7d Ad 8h As 4c 4h Ts 9c 3s Qh 5s 5c 6s Jd Kc Jh 3d Ac 2c 7h Ah 8s Tc 6d 6c 5h Jc Ks 3c 2h Td 7c 2d Js 4s 2s 4d 7s 3h 9s 5d 6h Kh 9h 8c];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4s 3s 7d 3d 3h 9d 4d Jh 8c 9s 5d Jd 2d 4h 3c 4c 7s Td Tc 2s 5s As Ts 6h 6d Ad Ac 5c 9c Ks 8s 9h 6c 2h Jc Kc Qh Ah 8h Kh Js 2c 6s 5h 7c 7h];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 2c Ks 2s 6h Kc 8h 7d 4c 6s 3d 5c 2d 9c Ac Jd 6d 7h Jc 4d 6c Tc Kh 8s 5s 3s 4s 3c 3h As 7c 4h 8c Js Td 7s 5h Qh 9d 9s Ah Ts 5d Jh Ad 9h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[6h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 8h 9d 6d 8c 5h 2h 3c 5d Ts 9s 7s Tc 9h 2s 4s Ks 5c As Ah 6c 4d 2d Ac 5s 7d 8s Ad 2c Jh 6h 3d 3s Td Kh 7h 9c Qh 4c 3h Jd Js 7c 4h Jc 6s];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[r:18,51] Hero[c:0,23] ;Hero(12) ;12;b1[Js, Td]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 2d Qh 7d As Js 2h 6h Ad 3s 5c 5h 3d 7s 2c 3h Kh 7c Td Jc Ks 6c 8h 4h Tc 9h 3c Ts 9c 4d 8c 6s 9s 9d 6d Ah 2s Jh 4s Kc Jd 5s 5d Ac 4c 7h 8s];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[5d, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2d Ad 7h 2c 8c 4s 4c 5c Jc 3h 7s 6c 9s 6d 8h Ks 5h 5s 2s Ac 9d 7c 4h Tc 9h Jh Ah 7d 5d 9c Td Kc Qh Kh Js Ts Jd 2h 3d 4d 3s 8s 6s 6h 3c As];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[r:6,8] Hero[f:88,11] ;{6} ;-6;b1[5s, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c Jh 4c Tc 7d 8h 9s Jc 7h Ad 2s Kh 2h Jd 6c 4d 7s Js 8c 4s 5s Qh 2d Td 7c 6d 9h Ah 5h Ks 8s 9d As Kc 3h 4h 6s 9c 3s Ac 3c 3d 5d 6h Ts 5c];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, Jc]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8s 6s 5h Jd 9d Tc Jh 6h 7c 5d 7s Kh As 3h 8c Js 7d 3d 4c Td Ks 8h 2d 5s 3s 2h 6c 9s 2c Ah 6d Ac 4h 2s 4s 3c 4d 5c Jc 9h Qh Ad Kc 7h Ts 9c];[Qc, Qd, Th, Qs, 8s];null;null;null;b1[c:6,8] Hero[c:0,69] ;Hero(8) ;8;b1[Jd, Ad]17109;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Jc Kc Ad 4s 2d 5s 6h Ah 8h Jh 2s Ks 7c 2h Qh 4d Js 7s 7d 9h 3h Tc Ts 6d 9c 6c 5c 8c 3c 8s As 2c 4h Td 3d 4c 6s Kh Ac 9s 5h 3s 9d 5d Jd 7h];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[4s, 4d]28795;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5d 2d 9s Ts 6s 7c 8c 9d Qh 3d 7h 4c Jc 5c Ac 6h Ks 2s 9c 4h Js 8s 7d 3c As 3h 4d 9h 3s Tc 5s 6c 7s 6d 4s 5h Kh 2h Ad Kc Jd Td Jh 8h 2c Ah];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[6h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kc Jc 3h 4d 7c 7s 9c 4c 6d 5h 2d 6h Tc 2h 3d Qh 2s 7h 9h 8s Jh Js Td Jd 3s 5s 5d Ac Ks 9s 9d 2c Kh 8c 4h 8h 5c Ah 7d 6c 6s Ad 3c 4s Ts As];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:6,8] Hero[c:0,69] ;Hero(8) ;8;b1[Jh, 8c]17099;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 2d 4s Js 8s 9d 3s Ks 5c Ac 4d Jd 8h Qh Kc 7s 7h 6s Jh 5s 4c 9h 6d Tc 8c 6h 7c Ts 9c 3d 5d 5h Ah 3c Jc 2s 7d 4h 2h 3h 2c Kh 6c 9s Ad Td As];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Jc, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd 6h 4c 7s 4s 3c Ts 9h 9c 7c 4h Kh As 4d 7h 7d 3s 6s Ks 2h 8s Tc 6d 2c 5d 5h 5c 2d 9d Jh 8h 6c 3h 5s 8c 3d Td Ah Ac 9s Jc Kc Js Ad Qh 2s];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[r:6,8] Hero[r:88,11] b1[c:6,8] ;b1(30) ;-14;b1[8s, 8c]28799;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Jc 4s Tc 6h 9c 4c Ts 3c 6d 3d 9d 9s 6c 5h 4h 8s 5d Jh 2s 2d 8h As 3h 3s Ks Kc Ad 2h Kh Jd 7d Js 7h 9h Ac Ah 7s 5c 6s 7c 5s 2c 8c 4d Qh Td];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[7s, 7d]28798;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Kc 8c 8h 2c 5d 7h 5c 7c 4s 4c 2h Ac Jd 7d Kh 8s Ah 6d Jc 2d 7s 9s 4d Tc Td Ks 9d 3h 6c 3d Jh 4h As Js Qh 9h 9c 6s 3c 6h 5h Ad Ts 2s 3s 5s];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[8s, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Td 6s Jc Ts 7h Js Ks 9s As 2c 2d Kh 5h 3s Qh 3h 6d 8h 2s 5c 5d 2h 4h Tc Jd 9h 4s Kc 6h 3d Ah Jh 8c 9c 7d 4c 7s 8s 7c 6c Ad 9d 4d 5s 3c Ac];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(11) Hero(1) ;1;b1[Jh, 8c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 3h 6d Ad Jc Kh Ts Tc 7s 5h 4h Ks 5c 6s 2c 9c 3s 5d 6h 7d 9s 7h 2s 5s 3d Jh 9h 9d 3c Js 4d 8h 2h Ah Td 7c As 4s Jd Qh 6c 8c 2d 8s 4c Kc Ac];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[Qh, 2d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4c 5c 2d Ac 8s Jc 4d 5s 4h 7s Ks 2c Jd 9h 9d Qh 9s 3c 6c 6h Jh Js 4s Tc As 7h 3h 9c 6d Kc Ad Ts 3s 5d 8h 2h 3d Td Ah 7c 7d 2s 8c 6s 5h Kh];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{6} ;-6;b1[Js, Ad];b2;Hero[8d, Kd];b0
