 Kd 8d Th Qd Qc] [ 5c 9s 6c 4c Tc 9c Ks Kh 7h Qh 4d 9h 3h 2d Ts 2s 2c 5d Ah 7s 5h 7c 3c Td 6h Kc Jc 3s As 6s 9d 7d 8c 6d Js Jd 4s 8h Qs Ad 4h Ac 5s 8s 3d Jh 2h];[Qc, Qd, Th, 5c, null];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[f:92,7] ;null;{8} ;-8;b1[Qh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s 3s 6h Jh 4d 8c 2h Ts 8s 9d 5h 3h 9s Js Tc 2s Kh 3c 5d As Jc Qh 7d 9h 4h 2c 6d Qs 2d 6c Ac Kc 8h 4s Jd 6s 7s 7h 7c Ad 3d Ks Td Ah 9c 4c 5c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ks, 2c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c 3h 9h 7c 2h Ks 9s Ac 8c Ah Kc 8s 5s 5c 4h 9d 3s 2s 8h As Jd 5h 6c Js 5d 2c 6s 9c 4d 7d Qs 7s 7h Ts Tc 6h 4s Qh 4c 6d Ad Td 2d Jh Jc 3d Kh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[8h, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s 6d Qs Td 5d 9d 3h As 3s Js 2h 8c Jh 7d 3c 2s 7s 4s 8h Kc 9h 8s 7h Tc Jd Ts 5c 2d 5s 9c Jc 7c Ah 6s 5h Qh 4c Ad 6h 3d 6c Ks 2c Kh 4d 4h Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3s Qs 6d Ad 2d 8s As 4d Kh 7s 9c Js 5d Ac 6s 4h 7h 2h 4c 6h 7d Ts 8h 2s Ks 7c 9d 3d Tc 3c 5s 6c Qh Jd 9s 4s 3h 8c 5c 5h Jc Jh Kc Td Ah 9h 2c];[Qc, Qd, Th, 3s, null];null;b1[r:8,75] Hero[r:0,16] b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{12} ;12;b1[Ah, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c 5h Tc As 8h 5c 9c Td 9s Ks Jd Kc 7s Ad 4d 9h 5d 2c 8s 3d Kh 6h 2h Qh 7d Ah Ts 5s 9d 2d 4h 3h 6c 3s Ac 4c Jc 7c 4s 8c 7h Qs 6s 6d Jh 2s Js];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Jd, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd Jc 3s 9s 4c Ad As 5c 8s 9h 7h 4h Qh Ac 6s 3c Td 5s 4d Kh Ah 7c 8c 5h 9d 9c 7d Ts Tc Kc Ks Qs 8h 6h 7s Jh 2s Js 5d 3d 2c 2h 3h 4s 6c 6d 2d];[Qc, Qd, Th, Jd, Jc];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Js, Jd]32886;b2;Hero[8d, Kd]12892;b0
 Kd 8d Th Qd Qc] [ Jd Ac 5s 6c 7c 3s 8c 4c Js Qh 4d 7h 8h Jh 5c 9h Jc 7s 9d 2h Ad 3h 9c 8s 7d 2s 5h Kc 6d Qs 6s 3c 9s As Td Kh Tc 3d Ah 6h 4s Ts 2c 4h 2d 5d Ks];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc 3h 9d Tc Js 2c 8h 2h 4h Ad 5h 5s 7h 6d 9s Ac 3c Qh 4c 9c Kh 5c 3s 4d Ts Qs 6s Jh Td Jc 3d As 6h Ks 2s 2d 8s 9h 6c 5d 7c Jd 7d 8c Ah 7s 4s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6c, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c Qs Ks 2s 6c 6h 2h Jh 6d 6s 3d As 5c 9d Kc 7s 4h 3c 5s 4c Ad 8s 7h 4d Ts Ah Qh Kh Tc 8h Jc 7c 9s 3h 4s 2d 3s 7d Js Ac 8c 9c Jd 9h 5h 5d Td];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7d Kh 8s 6c 7c Qh 4h Kc Jc Js Ts 3h 5d Ad 4c 9c 4s 2s 8h Ks 6d 5c 9s Ah 6h Ac 2d Jh 7s 4d As 3d 2h 3c 7h 8c 3s 9d Tc 2c 6s 9h Qs Jd 5h 5s Td];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kh 6d 3c Jd 2d Jc Ac 7d 2s Kc 7h Ks Js 9c 9d Ah 8h 9h 3s 7c 5h 8c As 2h Td 4c Tc 5s 8s 3d 4d Qh Ts 5d Qs 6h 3h 7s 2c 4s 9s 4h Ad 6s Jh 6c 5c];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[5s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3s 4c 8c 9d Qh Jh 5h 5d 9c 6c 6s 2h Ks 5c 8s Ad 2s 5s Tc 7c 7s 9s 2c Ts Kh Ah Td 4d Jd 3d 9h 3c As Jc 2d Qs 4h Js 8h 7h 3h 6h Ac Kc 6d 7d 4s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 5s 4c Jc 2c 6h 9s 4s 7h 5h Tc 7c 3s 3c 3d 8c Ac Qh Ts 6s 9d 5c 5d Ks 8h 9h 4h Ad As 2h 6d 4d Jh 6c Ah 7s Kh Qs Jd Js 8s 2d 3h Kc 9c Td 7d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, 5s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h 8s 6d 3h 7c 7d 3d 6s Jd Ad Js 9h 4c 5c 9s Jh 2d Qs 4h 3s Ts 9c 6h Tc 8c 5h 6c 3c Td 2c Kc 5d 2s Jc 5s As 9d Kh Ks Ac 4s 4d Ah 2h Qh 7s 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 8s Jc 9c Qs 5h 7d 6h 3c 5c 4c 3h Ah Ks Js 3d Jd 8h 4s 2c 5s 2s Td 6d Jh Ad 6s 8c 2d 9d 2h 5d Ts Qh 9h 7c Tc Kc 7h Kh 7s As 3s 4d 6c Ac 9s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Kh, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s Jd 9h As 5s Kh Js 6s 4c Ts 5h 2c 9d 8s Ah Jh 3d 7s 3h 4s 2d 6d 3s 8c 5c 7d 3c Ac Jc Tc Qs Td 7c 6h 2h 4d Qh 4h 7h 2s 9c Ad 8h 6c Kc 5d Ks];[Qc, Qd, Th, 9s, Jd];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(14) ;14;b1[Jh, Ad]12893;b2;Hero[8d, Kd]20489;b0
 Kd 8d Th Qd Qc] [ 9h 5c Tc 9d 7d Td Ks Ah 5d 2d Ts Jd Kc Qs Kh 8s 4s Qh As 9c 2h Jh 6d 4h 6c 4c 3s 2s Ad 6h Ac 9s Jc 7s 6s 4d 8h 8c 7c 2c 5s 3c 7h Js 3d 5h 3h];[Qc, Qd, Th, 9h, 5c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[As, 8c]10593;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Kc Ts 4s 6d Ah Jd Js 9s 7s Jh Ac 2c 7h 3c Qh 5s Tc 4c 2d 7c 3h 4h 8c 9c 8s Ad 2s Qs 6s Ks 5c Kh 8h 2h 4d Jc Td 6h 3s 7d 5h 9d 3d As 6c 9h 5d];[Qc, Qd, Th, Kc, Ts];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[r:3,88] b1[r:7,80] Hero[c:0,16] ;b1[c:8,78] Hero[c:0,9] ;b1(34) ;-16;b1[Jd, Ad]20490;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ Jh 2d 2c As 9c Jc Ks 2s 9s 4h 6c 7h 7c Jd Ac Ah 8s 6d Js Ad 9h 5c 8h 5d Td Ts 3d Kc 9d Kh 4c 3h 5s Tc Qs 6h 5h 3c 7d 2h 4d 8c 7s Qh 4s 6s 3s];[Qc, Qd, Th, Jh, 2d];null;b1[r:6,6] Hero[c:0,16] ;b1[c:7,80] Hero[r:0,16] b1[c:8,5] ;b1[r:8,78] Hero[f:96,4] ;{12} ;-12;b1[Qs, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4c Jd Tc 7h 8c Qh 7c 5h 8s 5d Ks 9d 5c 3c 4d 4s 4h 2s Jh Ah 6s 3h 9h Ts 2d 7d 3s Jc 9s Ac Td Qs 6c 6d Kh Js 6h 3d 9c 8h Ad 2h 7s 2c As Kc 5s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h 7c 4d 8s 9s 4s Ks Kc 5c 4c Ad 9d 5s 7h Jc Js 2d 2s 6h 3h 8h 4h 3c 2c Jd 3d 6s Td Kh Ac 3s 7s 6c Jh Qs 6d As 5d 9h 5h Ah 9c Ts Tc Qh 8c 7d];[Qc, Qd, Th, 2h, 7c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[r:2,3] Hero[f:96,4] ;{10} ;-10;b1[Ah, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6s 7h 2d 6c Qs 4h 5s Kc Jd As 6h Js 7d 5d 3c 3h 2h 4s Kh 6d Tc 3s 7c Ts Td 5c 3d 9d 9h 9s Ac Ad Ah 2c 5h 9c Jc 4d 2s Qh Jh 7s Ks 8h 4c 8s 8c];[Qc, Qd, Th, 6s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[As, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h Ac 8h 9s Td 3d 2c 8s Qs Ad Jh 4s 7c Kc Jd 3s 9d Ks 7s Qh Js 5s 6d As Jc 9c 2d 8c 5d 6c 4c 7d Ah Ts 3c 6s 9h Tc 3h 4h 5c 2h 7h 6h Kh 2s 4d];[Qc, Qd, Th, 5h, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{8} ;8;b1[5h, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c Js 5s 2s 4s 6d 7d 5d 9d Ts Ah 8s 3h 6h 9h As Tc 5c 3c 7h 9s Jd 3d 8c Td 9c 5h Qh 8h 7s Jc 2d 3s Ks Qs Kc 4h 7c 2h Ac 4d 2c Kh Jh 4c 6s Ad];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h 7s Jh Ac 7d Ks 9c 8s Kh 9s 8c 4d Jc Ts 7h Qh 8h 6d Qs 5s 4c Jd Ad 9h 6s 5h 4s 3s Kc 3c Js Tc Td 2s Ah 2c 2h As 3d 5d 4h 6c 5c 9d 7c 2d 6h];[Qc, Qd, Th, null, null];null;b1[f:8,75] ;null;null;Hero{6} ;6;b1[Qs, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h Ks 7d Jh Kc 7c 3d Jd Qs 9h Tc 7s As 5s Ah 5d 8c 7h 6h 4d Kh 3h 6c 2d 8h 6d 3c 5h Js 9d 5c Ac 9s 9c 4s Ts Ad 2h Jc 8s 4c 3s 6s 2c Td Qh 2s];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[9s, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7d 2s Ac 9s 3c Tc 2c 4c 6c Ks Jh Ts Ad Jc Qs 5s 4s 2h 5c 3d 2d 5h 3s 6d 9d 5d 4h Kh Jd 6h 7c Qh 8h 7s 9h Js Td 8s 6s 3h Kc 8c 7h As Ah 9c 4d];[Qc, Qd, Th, 7d, 2s];null;b1[c:8,75] ;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Ts, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d Ad Td 6c 2s 3s Ts Kh 7c 6s 7d 9c 9s 9h Ah 2d 8s 8c 4c 5c 8h 9d 4s 5h 3h Jd As Jh 2c Qs Tc Js 3c 5d Ac 4d Jc 4h 7s 3d 2h 7h 6h Kc 5s Qh Ks];[Qc, Qd, Th, 6d, Ad];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(12) ;12;b1[As, Kh]13135;b2;Hero[8d, Kd]25829;b0
 Kd 8d Th Qd Qc] [ 7d 6s Ac 7s 2c 6d 9d 6c Ah 9c 8c 6h Qs 9s 5h 7c 9h 2d Jh 2s 7h 5c 3s 3c As 2h Jd 3h Jc 4d 4h 5d Td 4s Ad Qh Kh 8s 4c Js Ts 8h Ks Kc Tc 5s 3d];[Qc, Qd, Th, 7d, 6s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[5d, Ad]10591;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 8c 3h Ah 6c 3d 5d Td As Kh 4h 6d 3c Ts Jh Qs 5h Jd 2d Ac 6h 9c Ks 9s 3s 7h 9d Qh 7c Js 8h 8s 6s 9h 7d Jc 2s Ad 2h 4d 4s 5c Kc 7s Tc 5s 4c 2c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 2h Qs 2c 2d 3s 8s 7c 7d Jd 9c 5d As Js 6c 5s Kc Ks 5h 4s Qh 9s Kh 4c Ts 6s 7h 4d 6d 9h Td Jc Ad Ac 5c 3h 8h Jh 7s 6h 4h 9d 8c Ah Tc 2s 3c];[Qc, Qd, Th, 3d, 2h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(22) ;-10;b1[Td, Ad]12882;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 2h 3s 7h Jd Ah 8h Td 9d 2d 3h 7d Qh Ac 6h Jc Tc 5h 9h 7c As 2c Kh 6c Ad 4h Jh 5c 4s 4d 9s Ks Qs 8c 9c Ts 3d 6s 5s 8s Kc 4c 3c 5d 7s 2s Js 6d];[Qc, Qd, Th, 2h, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Ah, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c 7s Kh 9s 8c Ah 8s 6d Ac 3c 4c 7c 7d 2c 5h 5s 5d 6h 3h Tc Qs Jc 3d Ts Jh 6c 4h 2d Kc Jd 2s 2h 4d Js 9h Ks Td As 9d 6s 5c Ad 7h 8h 4s 3s Qh];[Qc, Qd, Th, 9c, 7s];null;b1[r:6,6] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(18) ;-8;b1[6h, Ad]10593;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ 3d Ad 4s 8s 4h 7h 3s 6s Tc Ac Kc 5h 4d 7s Ks 7d Jh 5d 6h 8c 5c 2s Jd 9c Td 6c 2c 9d 3c 8h As Qh 2h Jc Js 2d Qs 4c Kh Ts 5s 6d 3h 9h Ah 9s 7c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3s Js 4c 3h 5d 7s 5c 8c Kh 4h 6c 4d 8s Qs 7d As Jh Kc 3c 2c 9h Ah 9c 4s Tc 9s 5s 7h 6s Jc Ad 9d 2d 2h 7c Td 6h 6d 5h 8h Ts 2s Qh Jd Ks 3d Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 5h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 8c Jc Qh Tc Kc Td 9d 3s 4h Jd 5s Ac Ad 5h 3h 2c 6c Kh 6h 2s 6s 4c 8s 2d 7c 3c 5c 4s 9s 8h 2h Js 5d Jh 7d 9c 4d As Qs 3d 7s Ks 6d Ts 7h 9h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 7h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7c Jc Jh 4h 4s Kh 4c 3s 2c Ks Qh 3c 9c Tc Js As 9h 5s 5c Td 6s 8h Ah 3h 8s 5h 7d Jd Kc Ac 3d 6d 6c 4d 8c Qs 7s 2s 2h Ad 9s 6h 2d 5d Ts 7h 9d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4d, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d As 2c 7d Ah 8h Kc 9s 2d 4s Ac Jd Jc 4h Js 4d 5s Ts Td 9c Qh 9h Kh 6h Jh 8s 5d 4c 3s 3h 6s 7s 7c 6c Tc 7h 6d Ad 2h 8c 9d Ks 2s Qs 3c 5h 5c];[Qc, Qd, Th, 3d, As];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(10) ;10;b1[5h, 7h]10591;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 2h 6h Qh 5c 4c 7s 2d Ah 4d Ac 9h 3d 3h As Js Qs 5h Jd 8h Kh Ad 9c Jh 9s Td 8s 5s 9d 7d 7c 3c Jc 3s 6d 6s 8c 5d Ts 2s 2c 6c 7h 4s Tc Kc Ks 4h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 7d 4h 2d Qh Tc 7c Jc 6h Qs 8c 2s 7h Td 5s 5c 9s 8s 4c Jh 4d 6s 3h Jd Ts Ks Kh As 7s 9d 5h Ah 6d Js Kc 5d 2h 3c 8h 6c 3d 3s 2c Ad 9h Ac 9c];[Qc, Qd, Th, 4s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Qh, 3d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kh 7c Jc Tc Jh Qh 7h Js 3d 6c Ts 8s 9d As 7d 4c Ac 2d 3s 4d 2c 3h 5c 6d 9c Td 5s 8c 4h 2h 4s 5h Ks Kc 9s Ad Jd 8h Ah 7s 6h 2s Qs 5d 3c 9h 6s];[Qc, Qd, Th, Kh, 7c];null;b1[c:8,75] ;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[r:0,9] b1[c:2,3] ;b1(38) ;-18;b1[As, Qh]17110;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 3s 7h 5s Js 5h 2c 6s 7s 9c As Qs 6d Tc Ah 9d 5d Ks 9h 4h 9s 6h Jd 8c 8s Td 4d 3c Kh 2d 7c 6c 5c 4c Jh 4s Ac 2s 2h Ts 3d Kc 3h 8h Ad Qh Jc 7d];[Qc, Qd, Th, 3s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[9s, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d Kc 3h Kh Ts 5c 4h 2d 5d 4c 9d 7c As 3c Ac 2s Td 8c Ad 9s Tc 7d Jc 6d Qs 7h 9h 7s 4s Ks 2h Jd 3s 5s Ah 2c 6c 8h 6s Qh 3d Js 5h 8s 9c 6h Jh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c 8h 9c Td 7s Jh 4d Ah 6h 7h 9h Qh 7d 8c As Ks 3h Js 7c Ac Qs 9s 2s 4s Jc Jd 2h 2c 6c Kc 5d Ad Kh 5h 8s Tc 6d 2d 9d 5s Ts 4c 4h 5c 6s 3s 3d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4c, Ac];b2;Hero[8d, Kd];b0
