 Kd 8d Qs Th Qd Qc] [ Kh 9h 9d 5c 4h 7s 8s 5d 7d 6h 2s 2c Ah Ks 5h Ts 9s Ad 3c Qh Td 2d 7c Jc Ac 6d 3s 3h 9c 4c As 3d 4d 2h 6s Kc Jh Jd Tc 7h 6c Js 4s 8h 8c 5s];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(12) ;12;b1[Ah, 7d]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 9c Ks 9h 8h Qh 5c 3d Ts 7s 8s 3h Jc 8c 5d Kc Jh 2h 5s Td As 9s Ac Jd 2c 6h Ad 3c 6d 4s Tc 3s 5h 2s Ah 7h 4h 4d 2d 6s 7d Js 4c 6c 9d 7c Kh];[Qc, Qd, Th, Qs, null];null;null;b1[f:69,23] ;null;Hero{8} ;8;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5c 4h Ts 2h Jc Ah 9h 8s Ks 7c 7s Ad 4c 6s 2d 8h 5h 3d Jd 6c 2c Td 9c 2s Kc Qh 6d 3s 9d 7d Tc 4s 3c 9s 4d 8c 6h Jh 5d 3h Ac Js 5s Kh 7h As];[Qc, Qd, Th, Qs, 5c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[As, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 4h 4s 2c 4d Jc 3d 2s Qh Jh 7c 7s 5c 2h 6s 9d As Ad 2d Js 6c Ac 5d 3h Ts Td 8s 9c Kh Ah Ks 6h 8c Tc 5s 7h 8h 9s Kc 7d 9h 3c Jd 5h 4c 6d];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Ks, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jh 5c 3h 2s 6d 2c 6c 6s Kc 7h 4s 8h 6h Tc 3d Ac Ah 9h 5d 3c Jc 4h Qh Td Jd 9c 7s 4c 7c Ks 9s 4d 2d 8c 2h 5s 8s As 3s Js 5h Kh Ad 7d 9d Ts];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[8h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 2d 5h 3c 9s Td Ah 2s 5d Qh 7d 6d 8h Kc 7s 7c 5s Ks Ac 9d 4s 8s 4c 4d 2c 3d As 7h 6s Ad 6c Js 9c Jh Tc 3h Jd Jc 4h 8c 2h 5c 3s 9h 6h Ts];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;Hero(16) ;16;b1[9c, Ac]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Qh 7c 9c 6h Kc 9h Jc 3d 4s 5d Td Kh 2c 2d Ts 3h 8c 9d 5c Js 3c 2h 6c 4h Jd 6s Ad 7s 9s 5s 4d 7h Jh 8s 2s Ac Tc 7d Ks 3s Ah 6d As 5h 4c 8h];[Qc, Qd, Th, Qs, Qh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[7h, 7d]32897;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Kh Jc Qh 7s 3s As 9d Kc 9c 8h 7d Ad 5c 3d Ac 8s Ks 3h 6c 8c 6d Ah 9s Ts 5s 2c 7c 5d Jh 5h 3c 7h 6h 2h 4d 4h Js 4s 9h Jd Tc 2d 4c Td 2s 6s];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(15) Hero(1) ;1;b1[Ks, Ad]28803;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 4d Ks 5h 8c 6h Ts 9d Tc 2d 7c 3d 7d Kc 9h Jh 3c Td 2c 4h Jc 6c Qh 5d 6s 8s 4s 5c Kh As 3h 4c 6d Jd 2s Ac 8h Ad 5s 9s 7s Ah 9c 3s 2h Js 7h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ah, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5d 7s 3s 5s 6d Ac 9h 4d 2h Js 4s 7h 6s 2c 4h 7d 3c Jd Kc 4c Td 2d Jc 5c Qh 9d 3d 8h 2s 8s 7c 5h Ks Tc 8c As 9c Ah 3h Jh Kh Ts Ad 6h 9s 6c];[Qc, Qd, Th, Qs, 5d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[6s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h 9c 6c 9d 5s 5d 2s 8h Ts Ad 5h 3c Qh Td 3d 6s 2h As 7d 4d 8s 8c 5c Tc Jc Jd Jh 7h Kh 2c 4c 7s 9s 6d Kc 9h 4s Ac 2d 3s Js Ah 3h 6h Ks 7c];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Jc, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s Jc 2d Jd Ts 5s 9s 7d 3c 5d Jh 7c 4d 8h 8c 6c 4c 2h 3h 5c 2s As 4s Tc Ac 2c 4h Td 8s 9d 9c Kh 3d Kc Js Ad 7h 7s 6d 3s Qh Ks 6h 9h Ah 5h];[Qc, Qd, Th, Qs, 6s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[8h, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7c Ac Ad 2c 5d Kh 3s Jc 7h 4c 6h 8s Ks Td As 6c 2d Js Ah Jd Jh 8c 2s Tc 9d Qh 3c 5h Kc 8h 7s 3d Ts 9s 4d 5s 5c 4s 6d 9c 9h 3h 7d 6s 4h 2h];[Qc, Qd, Th, Qs, 7c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[8h, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jc 9c 4s 3h 2h Ac 9d Jh Js 2d Tc 3d 9s 5c 6c 5h 8c 7d 6s Ks 5s 3c 7h As Kc Jd 7s 5d Ah 3s Kh 4c Qh 2s Td 8s 6d 4d 7c 2c Ad 6h Ts 9h 4h 8h];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[As, 7h]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9c 2h 9s 6c 8c Kc Jc 3c 5s 8s 7s As 6h 4c 7c 3h 8h 6d Jh 3d 2d Ah 5c 7h 6s 5h Ks Ts 5d 2c Ac Ad 2s Td 4d Jd 3s 9d 7d 4h 4s Tc Js Kh 9h Qh];[Qc, Qd, Th, Qs, 9c];null;null;b1[c:18,12] ;b1[r:18,51] Hero[r:88,11] b1[f:6,8] ;Hero{16} ;16;b1[Js, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9s Ah 8s 6h 6s Jc 3s 3h 5d Jh 6c Jd 9h 4s 8h As 4h Kh Ac Js 5s 2s Kc 7d Ts 7c 5c 6d 3c Tc 3d 2d Ks 8c 2h 9d 7h Qh 4d 5h 4c 7s Td Ad 2c 9c];[Qc, Qd, Th, Qs, 9s];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[9s, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 7c 7d Tc 8h Ad 2c Qh 9s 9h 6s Ac Kc 7h 4h 2h 3h Js 5d As 9d Td 9c 3d 5c 7s 4d 8c 8s Jc Jh 2d 6h 3c Ah 5s Ks 6c 4s 5h Ts Jd 6d 4c 2s 3s];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9c, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc 8s 3c 3h 3s As Jd 6h 7c 6d 2d Kh 4d 7s Tc 6c 2h 6s 5d 9h Ah Ad 9d Jh 5s 9c 5c 4c Ks Ts 9s 8c 2c 7d 2s 4h 4s Td 7h 8h Kc Js Ac 5h 3d Qh];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9c, Ac]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9s 2c 4d Ad 8c Jc Ts Ks 8h 7h Tc 4s 7s 5c Ah Ac 7c 9d Kc 6s Js 3h 6d 5s Td 6h 2d 4c 9c Kh 2s 5h 3s Qh 7d Jd 8s As 9h 6c Jh 2h 3c 3d 5d 4h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Js 4c 7d 6s Jh 5h 5s 3s Tc 7c Ts 5d 3h Qh 2c 2s 6h 4d 9c Ad 9s Ks Kh As Td 4h 3d 8c 4s 2h 3c 9d 6c Jc 7s Ac 2d 9h 6d Ah 5c 8s 8h 7h Jd Kc];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[8c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 7d 2d Jd Jc 4s 2s 8h Jh 6c Kh 9c 4h 2h 4c 8s 6h Ts As 5h Ks 3h 9h 3c 6s Tc 6d 5c Ac Kc Td 3d Ad Js 8c 4d 5s 7h 9d 7c 9s 2c Ah 5d 3s 7s];[Qc, Qd, Th, Qs, Qh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[9h, Kh]32899;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ 8c 5c 3d 7c 5h Ad 5s 7d 6d 7h 4d Td 6c As Jd Ah 2d 2s 6h 2h Kc Jh 2c 4c Jc 9d Ts 4s 8s Ks 7s 9h 9s 8h 3h 3c 4h Ac Js 6s 5d Tc Kh Qh 3s 9c];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{12} ;12;b1[9d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7d Ks 7s Jc Td Js 5d 3c 2c 4d 6s 2h 9d 3s Kh 5c 4c Qh As 5s 6d 5h 7h 3h 6h 9s 6c Tc Kc 9c 4s 2d Ad 7c Ah 9h Ts 3d Ac Jh 2s 8c 8h 8s Jd 4h];[Qc, Qd, Th, Qs, 7d];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[5c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d Ah 7h Ts 4c 2c Kc Kh Ks 4d Tc 3c Td 6h 2s 7d Ac Jd 5s 4h 5h 4s 2h Jh 9h 3s As Ad Jc 3h 9d 6c 6s Qh 8h 9s 8s 7c 6d 5d 5c 8c Js 2d 7s 9c];[Qc, Qd, Th, Qs, 3d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[9s, Kc]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 3c 4d Js 7c 6d Kh Ac 4h 6s 2h 6c Qh 2c 6h 4c Ks 5c 5s 7s 5h As 3s 4s 5d 2d 9s 7d 8s 9c 8h 2s Ah 9h 8c 9d Td Tc Jh Jd Jc Ad 3d Ts 3h 7h];[Qc, Qd, Th, Qs, Kc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[r:6,8] Hero[c:0,23] ;Hero(20) ;20;b1[Jc, Ac]20490;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 2s 9d 3d Jd 6h Jc 6s 4c 4s Kc 4d 7h Ks Qh 9c 3c 9s Ts 5s Ac Js 7d 2c 2d 7c 8s 5d Td 7s 4h 2h 5h Jh Kh Ah As 5c 6c Tc 3h 8c 9h 3s 8h Ad 6d];[Qc, Qd, Th, Qs, null];null;null;b1[f:69,23] ;null;Hero{8} ;8;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6d Qh Ah 4s 7d Tc 2c As 9c 7c Jc 6h 4c 5d 2h Js 2s Ac 3h Ts Td Jh 8s 9h 5s 3d Kc Jd 8c 6c 3c Kh 7s 5c 9d Ad 7h 4h 2d 4d 6s 9s 3s 5h 8h Ks];[Qc, Qd, Th, Qs, 6d];null;null;b1[c:16,57] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[4s, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 3d Jd 5d Ad Td Jc 7h 6d 4h 2h 9d 9c 8c 4c 2d Kc 9h 5c Js 2s Tc 5h Jh 4d 8s 6s 9s 3s 6h Kh 7c 7s Ah 7d 6c 5s As 3c 8h Ac 3h Qh 4s Ts Ks];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Jd, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ad 4s 3d 8s 3s 8h 9h 9s 5h 5d Qh 4h 6h 3c As 7c 9c Js Tc Ah 2c Jh 7h 4c Ks 7d Ac Ts 5s Kh 2s 6c Kc 6d 7s 2h 6s 8c Jc 3h Jd 9d Td 4d 5c 2d];[Qc, Qd, Th, Qs, Ad];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[8h, Jd]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 2c 2s 2h Jh 9d Tc 5h 4h 9h 8s 7s Qh 5s Kc 4c 6c Td Js 9s 2d 6h 6d 3h 5d Ks 9c 7h 8h Ad 8c Ah 7d 3s Kh 5c Ac 3c Jc Ts 4s As 7c 4d 3d 6s Jd];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[8s, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac 6d 8s 2s 9c 3d Tc 9d 4h 9h Jh 2h 2d 3s Jc Jd 7h 4d Kc 4c 3c 5c Td Ad 6c Js 5h 4s 7c 6h 5d Qh Ts Kh As 2c 7s Ks 3h 5s 6s 7d 9s Ah 8c 8h];[Qc, Qd, Th, Qs, Ac];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9h, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 7c 2c Jc 9s 2h 2d Td 9h 8c 8s 6h Tc 3s Ad 5d 5s 7h 8h 5h Ac 7s 6s 4s 3c Ts 9c Jd Kh 2s Jh Kc 5c Js Ah 4d 4c 9d 4h 6c 6d 3d 7d 3h Qh Ks As];[Qc, Qd, Th, Qs, 7c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[8c, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 8c 8s 5s Tc 7d 3s Ad 3c 2c 9s Ah 4h 6h Jc 7h Qh Td 5c 6s As Kc Js 3d Jd 7c 8h 9c Kh 7s 2h 4s Jh Ks 9h 5d 6d 5h 4d 9d 3h Ac 2d 4c 6c 2s];[Qc, Qd, Th, Qs, Ts];null;null;b1[c:18,12] ;b1[r:6,8] Hero[r:0,69] b1[c:6,8] ;b1(38) ;-18;b1[As, Ah]28804;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Ac Js Ts Qh 3d 9c Ah 8c 2s Jh Ad 5c Jd 2d 6c 2c 6s 3s 5d 8s 4s 5h 8h 7c 3c Ks 9d 4h Kh 2h 6h 6d 4c As 9s Td 7h 7s Jc 3h 4d 7d Tc 5s Kc 9h];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Ts, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 6s 3s 4s 3c Js 9s Ts 6c 5h Kc 7s 8h 9d 2c 5c Kh 4h 8s 5d 6h 2d 2s 4d As Jc 7d Jh 7c Tc 9c 2h 8c Ac 3h Ad Jd Td 6d Ah 7h 9h 5s 3d 4c Qh];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[Js, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4s 3d 5d 3c 9h 6s Ks 9c 9s 2c 3h 7c 6c As Js Jc 8h 8c Ts 3s Tc 4d 8s Qh 2d 2s Td 7s 6d Kc Ac Jh 5s 4c 5c 2h Ah 7h Ad 7d 5h 9d Jd 4h Kh 6h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[5h, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s Jc 3d As Tc Jh 9s 4c 2h 8c Ad 4d 2s Ah 8s Ks 9h Td 5h 5c 9c 3c 2d 5d 6d 2c Ts 7s 3s Qh 7c Jd 7h Ac 7d 6c 9d 4s Kc 3h 6h 5s Kh Js 8h 4h];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[8h, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5d 3h 7c Jh 9d 5h 4d Jd 5c 6h Td 4h 9c 6s Ad 4c Js Qh 8s 6d 3s 8h Ks 5s Kh 2s Ts 4s 7d Jc 7h Ah Ac Kc 9s 6c 2h 3c Tc 2d 2c As 3d 9h 7s 8c];[Qc, Qd, Th, Qs, 5d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ad, 9c]17108;b2;Hero[8d, Kd]17098;b0
