 Kd 8d 6c Qs Th Qd Qc] [ Jd 3h 7s 5c 4c 4s Tc 2h 5h 2s 9s 7h Js 9h 3s 7c 8s Qh 6d 5d Ks Ts 3c Ah Ad 6h 9d Jh Ac Jc Td 8c 7d 6s Kc 4h As 2d 8h Kh 5s 2c 9c 3d 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 2d 5d As 4s 4c 7d Ts Jh Jd Qh 9d 2h Ah 2c Jc 7c 6h 7h 3h Kc Ks 3d 2s 6s 8s 8c 3c Ad 5h 5c Js 9c 9s 6d 8h 4d Ac 5s 4h Kh 9h 3s Td 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad As Js Kh 8c Jd Kc 5c 3s 4d 6h 3h 2d Ac 4c 2c 6d 4h Qh 2h 9s Ts Tc 3d 6s 9d 7s 7c Jh 4s 8s 2s 5s 7d Jc 5d 3c Ks 7h 8h 9c Ah 9h 5h Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[5s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d Qh 5s 2d Ks 9c 3c 7s 8s 7d 2c Js Ac 3s 6h As 7c 6d Td 4d Ah 9d 5h 6s Jh 9s Kc Ad 4s 9h 8h 5d 3h Kh Ts 7h 2h Jc 8c 2s Jd 5c 4h 4c Tc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[Ad, Tc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 5s 3h 5h 4c 9h Qh Jd 5d Jh Kh 6s 8s 7h 3s 5c Jc Ts 8c Td 2s Ks 2c 4h Kc Ad 7d 4s 8h Tc Ac 4d 9s 7c 2h Js 2d As Ah 9d 9c 6h 7s 3c 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[8h, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h 3s 5s Kc 8c 8s 9s 2c 7d Tc 6d 9h Qh Js 9d 9c Td Kh Ad 7s 7h Ks 6s 5c 4c 3c 4s Jd Ts 5h Jh 2s 8h 2d 3h 2h 7c As 5d Jc 4d 3d 6h Ac Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;b1(22) ;-10;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c 6d 4h 7c 5d Ah 3s Td Qh 6h Kh Ad 8h Jc 3h Jd Ac 9s Jh 4d 2h 3c Js 7h Ts 4s Kc As 2d 5c 5s 4c 9d Tc 2s Ks 5h 7s 8s 7d 9h 2c 6s 3d 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[3c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 7s Tc As Ts 4h Qh Kc Ks 6h 7h 3c 8c 9c 4d 7d Jd 9d 4s 2h Ah 3h 4c 7c 9h 5c Jc Kh 5s Js 2c Jh 6s Td 3d 8h 9s 5d 3s 8s Ac 6d 2d 5h 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h Qh 5d Td Ad Jd Tc 2h Jc Ac 5s Kh 8h 8s 9d 6h 2d 3s 6d 7s 3d Kc 3c 4s Jh 4h 8c 6s 2c Ah 5c 7c 4c 9c 5h 9s Js 2s As 7d 4d 3h Ts Ks 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh Jh Td Ah Qh 2h 7c 6d 4h Kc 5s 5c 5d 7d Tc 2d Js 4d 2s 7h 3d 9s 6s 7s 4s 3h 8c 8h 8s Ts As 3s Ad 5h 2c 9h Ks 9d Ac 9c 4c 3c Jd Jc 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5d Js Jd As 4c 9h 4d 8c 7c 5h 3s 8s 2s 5s 2d Tc 6h Jh Ts 2c 3h 5c 2h Td 6d 4s 4h Ah 7h 9c Ac 9d 3c Jc Kc 8h 3d Ks Kh 6s 7d Qh 7s Ad 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9s, Js];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac Qh As 6s Kh Ts 8s Tc Td Ks 5d 9d 3c 5c 9h 9s 2d 5s 7d 3d 6h 4h 9c 2s 2h Jc Kc 4d 4c 3s 3h 7s 7h 5h 8h 4s 2c 7c Ad Jh 8c Jd 6d Ah Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 5h Ks 3d Ah 4h Js 9c Ts 9h Ac Td Tc 4s 5c As Kh Jd 3c 8c Qh 6s 7s 7c 5s 2d 7d Kc 4c Ad 9s Jh 8s 3s 9d 3h 2c 2h 4d 7h 8h 6d Jc 6h 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7h, 7d]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s Td 3h Ac 6s Jd 5h 7s 7h Ad 8s 7d 2c Qh 9s Kc Js 8c 9h 6h 2h 5s 4h 6d 2d Ts Tc 9d 4s 8h 2s 4c 3d As 3c 9c Ah 7c Ks Jc Jh 5d Kh 4d 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, Js]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5c 3s Js 9s 3h 6s 2d Jc 9h Ah Ks 3d 8s 3c 5s 7s Jh 2s Td 4c 6h Ts 8h 2h 9d 5d 7d 7c Kh 4s Jd 2c Qh 9c Ad Tc 4d 4h 6d As 5h Ac 8c 7h Kc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[4h, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 4c As 3d 9s Ad 2d 3c 8s 8c 9c Jh Jd 2h Js Ac 9h 7s 3h 5h 2c Ks 4s Tc 7d Qh Td Jc 7c 6d 9d 6h Ts 4h 5c 7h 8h Kc Kh Ah 3s 4d 6s 5d 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9d, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h Jc Kh 8h Ad Kc Qh 3d 7s 4s 4c Td 2s 9s 9h Jh 3c Ks Ah 8c Ac 6d Tc Jd 9c 5d 3h 5c 7d 2c 4d 2d 2h As Ts 5h 5s 8s 7c Js 7h 3s 6s 6h 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5c 6s 6d Ts Jd 5s 4c Kh 7c Ah As 6h 7s 5d Jh 3s Ad 9h 3h 3c 9c 2s Jc 8h 2h 8c 5h Qh Js Kc Ac 4d 2c 9s Tc 4s 9d 3d 7h 7d 8s 4h 2d Td Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As 9s 6d 7s Jc Js Td 3s 9d Tc 8h 8c 4c 7h 2s 5d 4s 2h Ah 4d 7c 4h 3c 6s 8s 3h Qh Jh Ad 5h Ac Ks Kc 7d 6h 5c 9c 3d Kh 5s Ts Jd 2d 2c 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 2h 8h 6d Js 8c Jc Tc Jh 9s 5h 3c Qh Td As 3h 7h 6h 2d 3d 3s 7d 4d 6s Ah Ad 7c 9h 4s 2c 9d 9c 4c Ts 5c 5d 4h Kh Ac 8s 2s 5s Jd 7s Kc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Jd, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c Kh Ac Kc Td 4s 2h 3h 5d 8c As 3s 2d Ts 5c 8s 9h Ks 4h 7s 9s Qh 7d Tc 4c Jh 2s 6d Ah Jd Jc 3d Ad 5s 6s 7h 2c Js 9c 5h 4d 9d 3c 8h 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 3h 2h 7d 9h 2d 9s 7c 9c 5d 2c Jd Ad 8h 4s Ks As Jc 3c 2s Kh 6h 5h 6s Ah 4c 7h Tc 8c 7s 8s 9d 5c 6d Jh Td 3s 4h 3d 5s Ts Js Kc 4d Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;b1(22) ;-10;b1[4h, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 3c Ts Jd Qh 7c 2h 5d Ac 3s Js 2d 5s 2s 9h 4s 4h 6h 5c 3d 9d 9s Ks 8c Ad 6d As 9c 5h Kh Jc 2c 4c 8s Ah 3h Kc 8h 7d 7s 4d Jh 7h 6s Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c 2c 3d 7s 4s Ah 4h Ac Ks 8s 8h 5c 8c 9h 7h 2d 2h As Js 6d 6h Qh Jh 5h 5d 7d Kh Kc 4d 6s 5s Jd 9d Jc 9c 3s 3h 4c 2s 9s Ts Tc Ad Td 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, 8c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 7c Jc 8h 3c 9c Kh 6s 4d Ad 7s 5c 8c 9h 5h 3s 8s Td Jd Js 5d 7h 3h 6h 2s 3d 2c 4c As 7d 4s 9s Tc 4h 5s Ah Ks Jh Qh Kc 9d Ac 2h 2d 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Jh, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s Ah 2s 7h 3c 7c 7d Kc Ks Ac 4h 5s 9d Jd 9c Jh 3s 4s Td As 5d 6h Ad 9h Qh 3h Tc 2h 8s 4c 3d 8c 4d Jc 6s 8h 2c 7s Js 5c 5h Ts Kh 2d 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 5c 7s 7h 2h Ad 4s 9c Jc 3s 5h 4h Ah 8h Td Kc Jd Tc 7d 2s Jh 8s Kh 6s 9h 3c 4d Ac 8c 5d 9d 2d 7c Ts Js 3h Qh 6d 5s As 2c Ks 9s 6h 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, Jd]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 7s Qh Kc 2h Jc 8c 5h 2c Js 9c 5c 4s 4h Td Jh 5s 6h 3c 8s 9h Kh Ts Jd 2s 4d 4c 6s 3s 5d Ah 7d 2d 9d 9s 8h 3d Ac 7h Ad Ks 3h As 7c 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[As, Ac];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac Td 5d 5c Kc 8c 4c Ad Js 7c 9c Ts Jh 5h 6h Tc Ks 4h 2d 4s Kh 8s 2s 3h As Ah 3c 9s 8h 7d 6s 3s 3d 9h Jd 7h 4d Qh 5s 7s 6d Jc 2h 2c 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5c 2c 5h 9c 3d 4c Qh 9s Td 7s Jc 4s Kh Js Ad 2d 8h Ks 7d Jh 5d 8c As 6h 7c 6d Ts 5s 2h 9h 3s 4h 3c Kc Tc 2s 7h 6s 9d Ah Jd 8s 3h 4d Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9s, Js];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Td Ad 2d 6d 9s 7c 7s Ts 6h 7h 3h 4h 4c Jh Kh 5s Qh 4s 5h 5d Tc Jc 9h 9d 8h 2s Ks 3c 4d 5c 3d 8c Ah Ac Kc 9c Js 6s 8s As 2h 3s 2c Jd 7d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7h, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc Td 7d 2h 4s Kc Ad 3h Ts Jc 9h 5h 9c 4h 6d 4c Jh Ks Ah 8c Kh 3s 2c Jd As 7s 2d 7h Js 3c 8s 9s 7c 5c 8h 3d 4d 6h 6s Ac 5s 9d Qh 2s 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[4h, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h Ac 7c 8c 7h Ts 3d 8s 4h 9c Td 9h 4d 9d Qh 2d Js 6s 6h Ad 4c 6d 2s Kh Kc Jh 8h Jd 7d Ks 2h Ah 2c 4s 5c 5s As Jc 5h 9s 7s 5d Tc 3s 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[Ah, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s Ts Kc Jd 2h 2c 2d Kh Jc Jh Ah 8h 5c Js 4d 8s As 5s 3c Tc 3d 9s 5d 9c 7d 9h 5h 3s 9d 7c 7s 6d 4h Ks 2s Ac Td 7h 6s Ad 6h Qh 8c 3h 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:18,51] Hero[c:0,69] ;Hero(16) ;16;b1[8s, Js]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 4c 2d Tc 5h Jc Ah As 5s 4d Ad 2s Jh 8c 5d 7s Jd 9c 3h 6d 9d 8h 4s 7d Qh 2c 4h Ac 3d 8s 5c 9s 2h Js Kh 9h Ks 3s 3c Kc 7h 6h Ts 6s Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[5c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d Jc 8s Jh 5s Js 6h 9h 3s 4c Ad 5h As Jd 6s Ts 3d 7h 7c 8c 7s 2c 5c Tc Kh 8h Ac 3h Ks Kc 9s 9d 4d 5d Td 7d 4s 3c 2s 9c 6d 4h Qh Ah 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9d, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 7h 5s 9c 3d 8c As 3s 9h Jd Qh 3c 9s 7c 6d Ad Td Ks Kc Kh 7d 5d 2h Jc 8h Jh 8s Ah Ts 4s 9d 2s 4d 2c 6s Tc 2d 5h Ac 7s 6h 4h 5c 3h Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d Ac 9h As 7d Ah Tc Qh 6s 7s 2c 5d 8h 2s 3d Td 9c 3h Jh 9d 8s Ks 8c 2h Kc Kh 2d 9s 7h 4s Jd 5c Js 4c 3s Ad 5h 3c Ts 7c 6d 4h Jc 6h 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[Js, Td];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 5h Ts Js Ah 5c 9h 3d 2d Ac Ks 7d 9s 3c 2h 7s 7h Td 5d 3h 4d 2c Kc 8c 4c 4h 8s 6h 9c 2s Jh 7c Qh 6s Kh 6d 9d 3s Jc 4s 5s As Tc Ad 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 8h 4d As 8c 4h 7s 9s 5s 7c 8s 2s 6d 2c 2d 3s 6s 4c 7h Qh 5d Js 3d Jh 5h 9c 7d Ts Ks 3c Kc Ad Td 9d 3h 5c 6h Ac 9h Ah Jd 4s Jc Tc Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 7c 4c 8s 5s 5c 2h Js 2d Ad 5d 4h 7d Qh 9c Tc Ah Ts 9h 4s 6d Jd 2c As Td 3d 7h 3s Ac Kc 9d 5h 6s 9s 6h 8c Jc 4d Jh 3c 3h 7s Ks Kh 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad Kc 9d 3h 6s 3s Js 2c Kh 7s 9c 2s 8c Qh 4d Td 7d 9s 4h 4s 7h 6d 5s 8s As Ah Ac Jh 5c Jc 3d 4c 5h 9h 2d 8h 3c 2h Ks Ts Jd 6h 7c Tc 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s 9d Jc 7s 8s 3s Js 2s 8h 2d 2h 7d 6d Ac Qh Ad 7c Td 3c Kc Tc 2c 9h Ts Kh 7h 5d 3d 4c 3h Ks Ah 4h Jh 5s 6h 4d 5c 8c 4s 6s 5h Jd As 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9d, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 4h 7d 9h 6d 5h 9s As 3c Ts Tc 4d Jh 8c Ac Qh 3d Td Ks 4c 6h Jc 7h 5c 2h Ad 7c Kc Js 7s 3s Ah 8h 6s 3h 2d 5d 9c 5s Kh 2s 9d 8s 2c 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Tc, Ac]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s Ks 2d 9c Ah Ad Jh 4s 4c Td 9d 6s 2s 2c Kc Js 5h Ac 8s 5c 8h 5d 7s Jd Ts 7h 9s 8c 3h 3d Kh As 4h 7d 6d 6h 3c 4d Tc 7c Jc Qh 5s 9h 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s Ad 2d Ah Jd 7h 3s Tc 7c Ts 8s Ks 9h As 3d 5h 2c Qh Jh 6s 4h 7d 9s 6h 8h 7s 6d Kc 3c 5d 8c Ac 9c 2s Jc 2h Js 4d 3h 4c 5s Td 5c 9d Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ks, As]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d 7s 2d 7h Ac 5h 6d 8s 4h 5d Qh Tc 6h Kc 6s 2s 5s Ks Jd 3d 3c 9s 8c 7c Td Jc 5c 9d Jh 2c Ah Ts Js Ad 8h 2h 9h 4d 4c 9c As 3h 4s Kh 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 5d Kh 5c 7h Tc 6s 3h 2d 9c 8h 4d 2s Td 7c 4s Qh 2c Jd Js 6d 5s 4c 3s Ah Ac Ts 8c 4h Jh 2h 6h Ks 5h 7d Ad 8s 7s 9s Jc 3d 9d Kc 3c As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 8h];b2;Hero[8d, Kd];b0
