 Kd 8d 6c Qs Th Qd Qc] [ Jc 2s Ks 7h Qh 2d 5s 3h Ac 7d Jh 8s 9d 3s 7s As 2c 4s 5d 6s Kh 4d Td 6h 5h 9s 3d Ts 5c Tc 9c 8c Js Ad Ah Jd 8h 4c 6d 9h 4h 3c Kc 2h 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 2c 7c 2s 4d 9h Ad 3s Ac 5d 3h 8c 8s Kh Kc Td Ks 2d 6d Jh 2h Ts Ah 6s 4s 5s 9c 7h 4c 4h 9d 7d 8h 5c 3c Tc As Jc Jd 9s Js 3d 6h Qh 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jc, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks Kc 9d Kh Ac Jh 4d 2h Js 5d Jc 4h 5h 7d 3h Ad 3c 6h 9c 6d Jd 4c As Td Qh 6s 7h 5c 3d 9s 7s 8h 8c Ts 8s 3s 2c 2s 2d Tc 7c 9h 4s 5s Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc 7s 7c Js Ah Kh 9s 7h 4s Ad Ac 2c 7d 3h 5h As 8h 2h 3d 4c 4h Jd 3s Kc 2d 5d 4d Tc 2s Ks 8s 6d 9c 8c Jh 6s 6h Ts 9h 5c 3c Td 5s 9d Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[Kh, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 8h 9c 9d 6h Ks 4s As Td 8s Tc 2s Qh Js 4h Kc 3s 6s 7s 5d 7d 2h Jh 2c 3h 7c Ac 9s 4c Kh 7h 4d Jc 8c Ad 3c Ah Ts 3d 2d 9h 5h 6d 5c Jd];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[2h, 2d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h 2c 5s Ad 8h 3h Tc 7c 3c Jd Ah 9h Jc 6s 4d 5h Td Qh 2s 8c Kc 7d 3s Ks 6d 6h 8s 4s 9c 5d Kh Ts Jh 9s 5c As 7s 2h 2d 7h Ac Js 3d 9d 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[Jc, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 6s Kc 2c 5c 5h 3s 4h 4d 8s 9h Jd 6h 7h Ah Js 7d 3c 7s Ks Jc 7c As 2s Ad Qh 4c 2d Kh Td 9s 6d 3d 2h Ac Jh 8c 9c 5s 5d 3h Tc 9d 4s Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 3d 6h 2s 6s 4c 3c Kc 7c 2h Jh Jc 9h 6d 7h 3s 4d 5d 7s 9s 5c Ad 5s 2d Js 7d 9c 2c Ah Td Ks Jd 9d Tc 4h 8h Qh 5h Kh Ts 8s 8c 3h 4s As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Jd, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 6h Ts 9c 3d 5s 4h 3h 9d 8h 2c 4s Jd Td Js Qh Jh 6s Ah 8c 5d 2d 6d 2h 9s 7s 3s 4c 7h 8s 3c 4d Ac 9h 2s 5c Ks 7c 5h Jc Kc 7d Ad As Tc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 2d Jd 7d Ah 2c 6d 8h 7h 7c 3h 4s Jh 4h Jc Kc 2s Ts 9d 5d Ad 4c As Ks 9c 9s 5s 6s Tc 7s Ac 9h Js 8s Td 3d 3c 8c Qh 6h 5h Kh 3s 5c 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, As]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh Td 9d Ts 8h 2s 2h 7h 5c 4d 9h Ad Jh 3h 3d Ks 7c Js Kc Jd Jc As Tc 7s 4c Ah 9c Kh 6s 5h 9s 4s 8c 6h 5s 8s 4h 5d 3s Ac 7d 3c 6d 2d 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h Ad 2c Jh 4c Kh 8s Ks 4d 9d 5s 7c Kc Jd 6s 2d 5c Js 4s 3h 6d Tc Ac 9h 2h 3d 3c Ts 8c Td 7h 7d 3s Jc 8h 6h 4h 7s 9s Ah Qh 9c 5d As 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts Js 9h 3h Kh 7h 2s 9d Jh 8s Ks 9c 5c 7c As 7d 3d 5d 9s 7s Tc 6h Kc 3c 4s 6d 4h Jc 2d 5s Jd 3s 8h 5h 2h Qh 4d 4c 6s Ad 2c 8c Ac Ah Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 6h 3c Ac 4s Jd Jc 4c Tc 5c 5h 9c Kh 8s Ks Td 8h 2c 3s 2s 8c 6d 9s 7c 4h Qh Ts 9h Js Ad 7d 2d 2h 3h As 9d Kc Ah 5d 4d 5s 7h 7s 6s 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h Kh 4h Jd 9d 7d 6d 4c 6h 9c Kc 8h 3d 5s 6s 9s As 9h Ah 3s 8s 4d 7s Td 7c Ad 4s 8c 2c 3c 3h 2s 2d 5d Tc Ac Qh Jc Ks Ts 5h Js 7h 5c Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[9s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc Ts 9d 4d Ac 3s 5d Kc 7d 2h 9h Tc Ad 9c 4s 7c 5h Kh As 4h 7s 6h 9s Jh 7h 3h 2c Ks 2s 8s 5s 6s 3c Qh Td 4c 8c Js 5c 2d 6d 8h Ah 3d Jd];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[As, Kh]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c Ts 5c 6h 3s 7c Jh 7d 3h 2d 7h Ad Td 2c 8h As Ac Qh 4c 6d 6s 8c 4d 4s Ah Tc 4h 9s 7s 9d 8s Jd 3d Ks 5s Js 5h Kh 9c Jc 9h 2s 2h Kc 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5h, 5c]28796;b2;Hero[8d, Kd]17098;b0
