 Kd 8d Qs Th Qd Qc] [ Jh 6s 5c 8s 4h 7s Ks 3d 8h Ad 4s 2c Kh 7h 2d 7d 8c 2h Ac 9c 3c 4c 6d As 5h Kc 9s Td 9d Ah Ts 6h 2s 7c 5d Js 5s Jd 4d Qh 9h 3h Tc Jc 6c 3s];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[As, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jh 8c 7c As 2h 5h 7h Jd 2d Td 8s 8h 5d Kh 9s 3c 9d Ah 3s Ac 9h 5s 3d 7d Ts 4d 2c 7s 4c 5c Qh Ks 4s Js Tc 6h 4h 6s 2s Ad 9c Jc 6d Kc 6c 3h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[2s, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5c Jc 3h 3s 6h 2h Ac 5h 4d 7h Js 5s 6c 5d 6d Jh Td Jd 8s 8h 8c 7c 3d 6s 2s Kc Qh 9c 4s Ts 4h 3c As Tc 9d 4c 9s 2c Ad 9h Ks 2d Kh Ah 7d 7s];[Qc, Qd, Th, Qs, 5c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[7c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 7d Ad Jc 4s Ah Td 3d 3c 4h 6c 9s 8s Qh 5c Kc As 6h 2c 6s Tc 9h Ac Js 7h 2h 3h 7c 8h 5s 4d Jh Jd 6d Ks Kh 2s 4c 2d 5d 9c Ts 8c 3s 7s 9d];[Qc, Qd, Th, Qs, 5h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[9s, Js]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 4d Ac Td Js 3c 6s As 5s 5h 9c Qh 3h 2c 4s Ad Jh 9d Ah 7h 7s Kc 8h 8c Ts 7d 2h 7c Kh 2d Jd 3d Ks 9s 4c 5c Jc 6h 6d Tc 2s 5d 3s 9h 8s 4h];[Qc, Qd, Th, Qs, 6c];null;null;b1[c:16,57] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[Qh, Jd]32898;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 3d 5c 3c Tc 2d 6s 9c 7s 7h 5h 4c 6d 6h 2h Kh Jc 8h Ah Jh Kc Ad Td 4d 4s 3h 2s 5s 2c 8s Js 6c 9s Jd 7d Qh 9h 8c 7c As 3s Ts Ac Ks 4h 5d];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[Qh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks 3c Ts As Ah 9h 9c 4c 3d Js Jd 6c 5s 7h 3s 2h 7d 3h 8s 5c Ac Kc 6s 7s 2s 4d Qh 2c 4s 8c 7c Kh Ad 8h 9d 9s 2d 6d Td 4h 6h Jh 5d 5h Jc Tc];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 3s 3c 8h 7c Jc Ah As 5d 2d 6d Ad Kc 7d 2c 5s Ts 8c 3h 4s 9c 6s Tc Jd Ks 9d 5h 6c 2s 2h Ac 6h Kh 8s 7h 9h 7s 9s 3d Td 5c Js Jh 4h 4d 4c];[Qc, Qd, Th, Qs, Qh];null;null;b1[c:18,12] ;b1[c:18,51] Hero[r:0,23] b1[r:18,51] Hero[r:0,23] b1[r:18,51] Hero[c:0,23] ;b1(54) ;-26;b1[Ks, Ah]32900;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ 3s 5h Tc Ah 6c As Ts 8h 7d Kh 3h 2c 2s Js 4s 3c Ad 6h 7s 9s 8s 5d 2h 5s 4h 9c 3d Kc 7h 8c 9h 4d Td 2d Jd Jh 4c Jc 7c 6d 6s 5c 9d Ac Ks Qh];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Td, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5h 7h 7s 2s Ts Tc 5c 5d 4c Ks 6d As Jh 4s Jc 9h 3s Ad Js Ah Kc 8s 8c Kh 7d Jd 4h 2h 9c 7c Td 6s 6h 6c 3h 4d 3d 3c 9s 2c 2d 5s Qh Ac 8h 9d];[Qc, Qd, Th, Qs, 5h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d Ts Kc 8c 9h 7h 9c 3d 6c 4d 5c 7c 2c Qh 5s Ks Jc Jh 2s 6s Ad 2h 6d Js Tc As Ac 6h 2d 3c 7d Kh Jd 3h 5h 7s 8s 3s Ah 4h 8h 4s Td 9s 4c 5d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ad, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2h Js Ts 6h 9d 9s 8c Qh 4s 4d 4c 5c Jd Ac 7d Tc Ah 3h Kh 8h Ad Kc 6d 7s 6c 7c 5s 7h 3d Ks 3c Jh 2d 9h 4h Jc 5d Td 2s 5h As 6s 8s 2c 3s 9c];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ad, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3h 4c 3d 5d As 6d 2h 2d 5h 8s 9c Ks 3s Jh 9d Tc 5s Jc 4h Td 6c 9h Ad 7s 2c 6s Ts 4d 8h Kc Js 7c 6h Kh 2s 5c Qh 4s Ah 7h Jd Ac 9s 7d 3c 8c];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[5h, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd 6s Jc 5d 6h 6c Ts 8c Tc Ad 5c 9d As 4d 2s Ac 5s 7c 7h 9s 8s 3s Kh 3c 9h Js Ks 3d 4c 9c 2h 5h 2c Ah 7d 6d 8h 3h Kc 4s Td 2d 4h Qh Jh 7s];[Qc, Qd, Th, Qs, Jd];null;null;b1[r:16,57] Hero[r:81,18] b1[r:16,57] Hero[c:0,36] ;b1[c:18,51] Hero[r:0,23] b1[f:18,51] ;Hero{24} ;24;b1[Jh, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2h As Js Ah 4c Jd 2c 7s 9c 7d 7h Ts Kc Ks Ad Tc 4d 3h 3s 6h 6c 5c 7c 8s Qh 3d 4s 2d 9h 9d 6s Ac Kh 5d 2s 8c 4h Jc Jh 3c 5h 5s 9s 6d 8h Td];[Qc, Qd, Th, Qs, 2h];null;null;b1[c:18,12] ;b1[c:18,51] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[Ah, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Jh 7d Jc 2c 5h Ks 7h Jd 7s 5d 2s 9c 9d 4h Ah Qh Td Ac 8s 9h Ts Kh 4c 5s 3h Tc 2h As 5c 4s 3d 2d 6s 3s 6c 4d 3c 6d Kc 6h 8c 9s 8h Js Ad];[Qc, Qd, Th, Qs, 7c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[7d, Ac]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h Jc 2s Jd Ac 5d 5c 8c 4h 7c 9s As 4c Ts Qh 7h Tc Kh 6s 2d 3h 8h 4s 9c 3s 6c 2c 8s 6h 7s 4d Td 5s Kc Ks 2h 7d 3d 3c 6d 9h Jh Ah 9d Ad Js];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Js, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 3h 4s Jd 9c 5h 7h 7s Kc 9d Ac Ks Ah As 2h 4h Js Td 5d 3c 5c Ts Jh 2d 2s 9h 4c Jc 6c 8c 6h 6s 7d 8h 4d 7c 8s 2c 3d 9s Kh Tc 6d 3s 5s Ad];[Qc, Qd, Th, Qs, Qh];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[6s, As]32900;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Jc As 8s 3d Jh 4c 3s 2s 7d 9d 4s 6s 8h 7c 9s Tc Kh 2c Ks Ad 4h 4d 9c 5c 3c 7s 5d Qh Td Jd 6d 5s 2h 8c 3h Kc 2d 6h 9h Ts 5h 6c 7h Ah Js Ac];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[8c, Ac]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 7h 9h 8s 4c As 6c 4h 6d Jc Js Tc Kc 3s 3c 9s 7d Ah Ks 5d Td 2h Ac 9c 5h 5s 9d 3d 4s Jh 2d 6s Ad 7c 8h 8c Kh 6h 2s Ts 4d Jd 3h Qh 2c 7s 5c];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Kh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7c 6d 2h 3d 3s Ts Jh Js 5d 4c 6c 9h Jc 3c Kc 6s 3h 2s Ah 2d Ad Jd 9c Ac 4h Tc Ks 8c 8s Qh 6h 4s 5s 9d 8h 5c 9s 7h As 2c 7s 5h 7d Kh 4d Td];[Qc, Qd, Th, Qs, 7c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Jh, 9d]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad Kh Ah 8h 9s Qh 6h As 8s Ac 5s 5c 5d 9h Tc 2h Js Ks Ts Jd 8c 7d 3c 3h 5h 6c 4h Jc 6d 4s 4d 3s 2c Jh 4c 2d Td 6s 7c 7s 7h 2s 9c 9d 3d Kc];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ah, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac Jd Ks 6h 4d 5h Kh 8c 3c Qh 2s Ad 9c Kc 9d As 2h Ah 3h 6c 5s 5c 5d Js 7c Td 9h 4h Tc 3d Jc 8s 7h 2d 6s 8h 4c 4s Ts 6d 2c 9s 3s Jh 7d 7s];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc 5c 4c 7c 3d 7h 6d 6h Tc Kh 9s As 6s 9c 5h 3h 5d Qh 9d 7s Kc 4h Ts 5s 3c 6c 2h 4d 4s Jd 2c Ad 9h 8c Ac 2d Jh Ah Js Td 2s 7d 8h 3s Ks 8s];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9d, 9c]28800;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 4h 2h Js 3c 4s 6s 5h 9c 5s 9s Ad 9h 6d 4c 6h Ac 3h Jh Ah Jc Td 2d 2c Jd 7c 2s 5d As 5c 3d 4d 3s Qh 8h Kh Tc 7s 8c 7d Ts 8s Ks 6c Kc 9d 7h];[Qc, Qd, Th, Qs, 4h];null;null;b1[r:18,12] Hero[r:81,18] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(38) ;-18;b1[6d, 6c]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd 9d 6s Qh 3d Jh 8h 5h 6h 3c Td Kc Js 2c 7h 8s Ad 2d 4c 3h Tc 7c 5d 9s 7s 9h 6d As Ac Kh Ks 6c 2s 5s Ah 4d 5c 8c 4h Jc 9c 3s 4s Ts 2h 7d];[Qc, Qd, Th, Qs, Jd];null;null;b1[c:18,12] ;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[Jd, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 4s 3d 4c 4d Ts 4h 7s 2s 9h Ks 9c Jc Ad 9s 8s 3s 6s 3h Js 6d 6h 8c 7c Tc 5d Td 2c Kc Ah Jd 2d Ac 9d 5c 2h 8h 7d 5s 7h 5h Jh 3c Qh As 6c];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(12) ;12;b1[Jh, Ac]20490;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Kh 4d Jc Tc Kc 8s 7d 5s 6s 4c Jd 6h As 5c Ac Jh 9s Td 9d 8c Js 4s 5h 2d 6c 3d Qh 7h Ts 9h 3h 2c 8h Ad 4h 7s 3s 7c 6d Ah Ks 9c 2s 3c 2h 5d];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(12) ;12;b1[9s, 8h]17098;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 9d 3h Jc 7s Td 2s Kh 4h 9c 9h 6c 8c 4s 7c 6s Jh 3d Qh 4c 6d Ah Jd 9s 2h 5s Ts 3c 2c 5h Ac 8h 5c 8s As 5d 7d 6h Kc Tc 4d Ks Ad 3s Js 7h 2d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[6d, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3c Js 6s 9d 5h Qh 5s Kh Ad 4h 7h Jh 2s 7s 6d Ks Ac 5c Td 4d 9c 3s As 3h 6c Ts 2d Kc 4s Ah 8c 3d 2c 6h 9s Jc 2h 9h 8h 4c 5d 8s 7d 7c Tc Jd];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jd 5d 2h 3s 9h Ah 8s 3c 8c 5c 3d 6d As Js Kc 5h 2d 6s 2s Ac 4h 6h 6c 5s 7s Jc 2c 7d Ts Kh Ad 9s Qh 9d Td 8h 4d Jh 4s 9c Tc 3h Ks 7c 4c 7h];[Qc, Qd, Th, Qs, Jd];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ah, 9d]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ad 6d Ts Kc 3s Kh Qh 9d 3d Jh As 6s 3h 2h 7s 6c 6h 5d 2c 7d 5c 2s 7c 9c Tc 9h 4c 9s 2d 8c Jc 7h 4s 8s Ac Ks 8h Js Jd Td 5h 4h 3c Ah 4d 5s];[Qc, Qd, Th, Qs, Ad];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[Js, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d 6s 7h Kh 8h 5s 9h 3d 2s Jd 9s Jh 9c 6c 5h 4s 8s Td 4d 5d 6h 2d 2h Tc 5c 7c 4h Kc Ac 3h Js Jc 7d 2c 3c 3s Qh 8c Ah Ks As 4c 7s Ad Ts 6d];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[As, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7s Kh 8h 3c Ks Ac 2h 3d 7d 5c Jd 3s Tc 4c 5s 4s 7c 2s 9s 8s 8c Ah 9c Js 3h Jh 6h 6d Qh 9h Jc 6s Ts Td Kc As 2c 4d 6c 5d Ad 9d 5h 7h 4h 2d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 7s 2d 9s Qh 3c 5h 7c 5s Jd 6c Ad 4c 5c 8c 2h 4h 8h Ah 6d 6h As Ks 9d 7d Td Jh Ts 3h 6s 4d Js Ac Kc 8s Tc 5d 9h 9c 7h 2c 3s 2s 3d Jc 4s];[Qc, Qd, Th, Qs, null];null;null;b1[r:69,23] Hero[f:81,18] ;null;{10} ;-10;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Js 3s Jc Ah 2c 8c 7d Ad Kc 9h 4h As Qh 7h 6c 6d 2s 8s 7c 9c 3h 9d Jd 5h Jh 8h 4c 2h Ac 7s 2d 4s 4d Ts Td 3d 5c 9s 6s Ks 5d Tc 3c 6h Kh 5s];[Qc, Qd, Th, Qs, Js];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[6s, Ah]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3c Js 8s Ac 2s Qh Ad 6h 4s Jh Ah 5c 3d As 7c 6s 2h 9h 7h Td 3s 5d 9s 9d 5s 2c Jd 5h Jc Kc 4c 9c Tc 7d 3h Kh 4d 2d Ks 8h Ts 8c 4h 6c 7s 6d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[5c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6d Jh 9c 9d 3d 6s 4c Js 2s 7d Jd 6h 8c Td 5d 3c 2h 4s 5s Tc 5h 7h As 4d 8h Kh 6c Ks Qh Kc Ts 7c 2c 3h Ad 3s Ah Ac 5c 4h 9h 2d 9s 8s 7s Jc];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:9,72] ;null;{10} ;-10;b1[Ad, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7c 3c 2c 5s Ad 5h 4c As 2s 4h 7s Td Ah Kh Ks Ac 6h 6s Ts 7h 6d Jh 6c 5c 9c 3h 8s 9d 8h Jd 4d 5d 8c 9h 2h 7d 2d 9s Tc Js 3d Kc Jc 4s Qh 3s];[Qc, Qd, Th, Qs, 7c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Kh, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h 6s 7s 6h Ks Ac 5d 7c 2d 5s 9c 7d 7h 9h Ah 4h Ts 6c 8s Jc 9d 2c 8c 2s 5h 4c 4s Ad Js Td Tc 9s 3c Kh Kc 3d 4d 3s As Jh 8h 6d 2h Jd 5c Qh];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Jc, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8s Td 4c Tc 3d 7h 7s 7c 3s 8c Jd Ad 8h 5d 9s 2h 6s 5s 6d Qh Kc 6c 5c 7d Jh 5h As 3c 9h 9c 4h Kh Js 2d Jc Ah Ac 4s 6h 4d 2c 3h 2s Ts Ks 9d];[Qc, Qd, Th, Qs, 8s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;b1(22) ;-10;b1[Tc, Ac]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 4c 7h 6d Tc Jd Qh 2h Ah 6s 2s Td 5d 9h 6h 7d 9d Ac Jc 7s 3c 2c Ts 4h 3h 6c 3d 4s Kh Jh 5c 7c Kc As 9s 4d 8h Ks 5s Ad Js 8s 3s 9c 5h 8c 2d];[Qc, Qd, Th, Qs, 4c];null;null;b1[c:16,57] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[8s, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s 3d 3s 4d 2s Jd Ks 7s 2d 6s 4h 8s 2h Ah Ad 7c 8c Qh 6d Kc 4c 7d 9s 9h Jc 2c 9c 5d 6h Tc 3h As 7h Js 5c 5h Ts Jh 6c 4s Kh 8h Td 3c Ac 9d];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[r:81,18] b1[f:16,57] ;null;Hero{16} ;16;b1[Js, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3s Kc 5c 4c Js Ah 9c 6c 4d 7d 5d 7c 9s 4s Ks Qh Ts 9h 8h 8c 6s Td Jc Ac Kh 6d 2s 9d 3d 2c As 8s 3h 5s 5h 2d 7s 6h 3c 2h Jh 4h Ad Tc 7h Jd];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Jc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c 7h 6c Kc Ah As 3c 5d 7d 8h 2d Ad Jd Jh Td 6d 5h 5s 7s 2h 3d 3s 5c Kh 9h 8s 3h Qh Jc 7c Tc 4c Js 4s 8c Ks 4d 9s Ts 4h Ac 9c 6h 2s 6s 9d];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ah, 7c]17108;b2;Hero[8d, Kd]17098;b0
