 Kd 8d 6c Qs Th Qd Qc] [ 7c 9d 3s 5s 2d 8h Ts Ah 5h 2c Js 4s Qh 8s 4c Jc 9s 8c 4h 5c 3d 7s Ks Kc 2s 5d As 9h 3c 7d Tc 4d Ac Jd Jh 2h Kh 6s Td 6h 7h Ad 9c 6d 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 6s 7s Kh Ts 4c 7c 4h Tc Ad 9d 9s Jh 8c 3d Qh 3s Ks 3c 5h Td Jd 7d 5s 2s 8s 2d Kc 7h 5c 5d Jc 9c 4d 6d 6h Ah Ac 2h Js 4s 8h 2c 9h 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jh, Ah]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h 7c Kc 2s 2c 5c 2h Qh 7h 4c Kh 2d Js 9h 6d 3d 9s Jh 5h 5d 3c Ts 8s 4s Tc 4h 9d Jd 4d Jc 7s 5s 7d 9c 8h Ks 6s 8c 6h Ac Ad 3s Td As Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ks, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 8c 4h 2d 7s 6s Ts Ac Td 5d 9d 7d Kh 8s 5c 8h As 4c Jd 9s 3c 7c 4s 3h 4d 9c 6d 5h 2c 7h 9h Qh Ad 2h Jh Ah Tc 3s 3d 2s Kc Jc 5s 6h Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ks, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 3d Jd 6d Td 4s Jc Ks Kh 5h As 6s 9d 4c 2c 3h 7d 7s 9h Qh 5s 7h 2d 5c Ah 9c 6h 2s 9s 8h 8c 4h 4d Ts 7c 8s Ac Jh Js Tc Kc 3s 3c 2h 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[3d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Ad 5s 4c 6s 5c Kh 2h 2d Qh As 4h 4s 7h Jc Tc 3d 4d Td 6d Ts 8s Ac 7c 5h 6h 8c 9s Ks Js 8h Jh 7s Jd 9c 7d Kc 3c 5d 3h 9h 3s Ah 9d 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 8h Ts 5s 9s 7d Kh 2c 9h 2d 7c 4h 3s 8s Ac 9c 9d 3d Ad 5h Qh Ks 6d 7h Td As 2s Jh 6h Jc 5d 4c Tc 8c Jd 7s 4d 2h Ah 4s Kc 3h 3c 6s 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h Ts 6h Jh 2c 4c 3s 2d Kc 7h 4d 5s 3h 3d Jc 3c 6s 9d 7d 2s As 8h Td 5c Ad Kh Tc 5d 9c Ac 9h Qh Jd 2h Ks Js 7c 8c 8s 7s 9s 5h Ah 6d 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4s, 4h]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td As 7d Jh 9c 3s 2s 5d 6d 8h 5h 9d 5c 4h 8s 6h Ah 5s 2d Kc Tc 9s 2c 4s 3h 3c Ks Ts Js 2h 4c Kh 7c 7h Jd 8c 7s Qh 4d 6s Ad 9h 3d Ac Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[2d, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 8c Jc Ts 8s 5d As 4d Ks 3s 6h 6s 8h Jd Jh 2s 5s Tc Ah 2d Qh 5c 9c 3c 9d Td 4c 4s Kh Ac 7s 2c 2h 7h 4h 5h 7c 3d 7d 9h 3h 6d Js Kc 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[2h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 2h Qh 5h 6h Ts 3h Kh Jh 4d Js Td Tc 2d 8s 9s Jd 3c 6d 4c Ah As 4s 2s 3s 7h Kc 8h Ac Jc 8c 5d 2c 7d 9h 9c Ad 5s 7c 4h 3d 6s 7s Ks 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4d, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 5h 4d 2h Qh Ac 8c 3c 6d 4c 9d Ad 7d Jc 8h 7s 6h Td 2d 9c Ks Tc Js Kh 3s 8s 4h Jd 3d 7h As Ah Jh 5c 6s 2s 7c 2c Ts 9s 5d Kc 4s 9h 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4h, 4d]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc 4s 2h Kh Ad 9d Td 3c 5c Js 3s Jh 2c 8c Ts 4d 5s 7d 4h 5d Qh 8h 8s 6d 5h 2s Tc 6s Jd 9s 6h Ac 9h Kc Ah 4c 7s 3h As 7c 7h 9c Ks 2d 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5d 3d Js As 9s 8s 2c 3h 6s 9c 4d 9d Ac 8c 7d 6h Tc 5s Td Ts Jd 2h Jc 7h Ah 3c 7c Kc Jh Ad 2s Qh 8h 9h Kh Ks 5c 5h 3s 4c 6d 2d 7s 4h 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5h, 5d]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kc 9d 7d 3s Jh 5h Ks 9c 4c 3h 4h 2h 5c 5d Tc 4s Ts Ah 8s 8h 7h Qh Ac 3d Ad 9s 2d As 9h 8c Jc Td 2s 7s 2c Kh 7c 5s 6h Jd 3c 6s 6d Js 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[4s, 4h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h Jd 2s Ks 9h 2d Qh 3d Kh Td 6s Kc 2c 8c Tc 3s 7c 5c 6h Jc 8h 5d 6d As Ts 4d 8s 2h Jh Ah 5s 3c 4c 7h 9d 7s Ad 4s 7d 9c 9s 3h 5h Ac Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[8s, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s Ac 8s 6s As Ah 2d 6d 2h 8h 9c 2c Ad 4c Td 5s 2s 4s Jc Jh 5d 7d 5h 6h Jd Kc 9h 3c 4d 9d 3h 3s Tc 5c 8c 4h 7c Ks 7h 3d Kh 9s Ts Qh Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks Tc 6h 6d 3d Kc 9s Ad 8c 6s 3h Ah 4c 2h 8s 8h Jh 4d 4h Ac Jc Td 5d Jd 7c Ts 9c Qh 2c 5s 7s 5c 7d 7h Kh 3c 2d 4s Js 2s As 9d 9h 5h 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[6h, Ah]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 2s 3h Jh 9s 4d 8c Kh 3s Js Ah 2d 5s 9c 2h 8h 7d Ks 3d Qh 5h Ad 4h 3c 5d Jd Tc 7c 8s 9h Jc Td 7h 6d Ac 5c Kc 4c Ts 2c 6s 4s 9d 7s 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[Ah, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s Jh 6h 2s 7d 3h 3s Js Kh 8h 7c 6d 2h 4c 8s Jd 5c 9c 9s 6s 2c 9d Kc 9h Ad 8c Ah 5h Jc Qh 5d Ac 7s 7h 5s As Ts Ks 3c 2d 3d Tc 4h Td 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 6d Kh 2d 7s 6s Qh Td Js 9s 5d 3c 9h Ts 2s 8h 3h 4h 7c 9d Kc 7d 2c Jh As Tc Ad 5c 2h 8s Ac Ks 3s 4s 4d 5s Jc 4c 7h 6h 9c Ah 3d 8c 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:89,10] Hero[c:0,17] ;Hero(24) ;24;b1[8h, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 6d Jc 5s 7c 9s Jd Jh As 5d 5h Td 2d 3s Ac 4d 9h 7s 2h Kc Ts Ah Ad 7d 3c 3d Js 2s 9d 2c Kh 3h 4c 4s 6s Ks Tc 6h 7h 9c 4h 8c 8s Qh 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jh, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h Jc 5d 7c Ts 4d Js Qh 5h 2h 4s Kc 6h Jd 8c Ad Jh 8s 7d 7s 9c Kh 3h 2s 9s Ac 8h 2d 6d Ks 4c Tc 5c Td 5s 2c 6s 3d 4h 3c 9h Ah 3s 9d As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-16;b1[As, 8c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 2h Qh 3h Ah 4d 9s As 2s 5c Jh 4c Jd 9h Ad 3d 6s Ts 3s Jc 7d 9d Tc 3c Ac 5h 5s 2c 8h Ks 6h Td 8s 4s 4h Kc 7s 2d Kh 9c 7h Js 7c 8c 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 5h 4c 7h Kh 5d 5s 7c 7s 8s Tc Jh Td 3h Kc Qh As Ts 6d Jd 2c 8c 2h 4d Ah Jc Ad 4h 2s 9c Js 3c 6h 7d 8h Ks 9h 2d 5c 3d 3s 9d Ac 9s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah Tc 2c 9s Td Jd 2h 4h 5h 8c As Ad 3d 6d 6h Jc 3h Kh 4d 6s 7d 9d 3c Qh 2s Js 5d 4c Ks 5s Kc 8s Ac 9c 7h 9h 8h 2d 7s 7c Jh 5c 3s Ts 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9h, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 5h 5s Jd 9c Td 3c Jh 4d 2c 8h 6s Ts Kh 3d Jc 3h 4s 8c 2h 5d 9d Ah 4c 9s Qh 5c 7c 8s Ad 2d 7s Ac 4h Tc 6d 6h 3s 7d 7h Kc 9h As Js Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[8s, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 5s 7h Kh Ah 8s Jh Td 5c Jc As 4c 2s 5h 2d Qh 6d 7c 3h 2h 7s 8h Ks 9s 9h 3c 6h 4d 3s Jd 4s Kc Ts 9d 5d Js 7d 2c 9c 3d 6s Ac 4h 8c Tc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ks, Jd]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s Jd Js Ah Jc Ac Jh 5h Ts 5c 2c 2d As Ks 4h 9d 7h 8h 9h Ad 7s 5d 3h 6s Kc 7c 5s 9s 7d Td 2s 2h 4d 8c 6d Tc 8s Kh 6h 4s 3c Qh 3d 4c 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h Jd Ks 4s 8s 4d Ad 5c Jc 2h 8c Td Kc Tc 6s 8h 5h Ac 6d As 9h Qh Ts 5d 7s 3c 9d 2d Js 2c 6h 4c 2s 3h 3d 7d Ah Jh 9s 9c 7c Kh 3s 5s 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 5s 4d Kc 3d 8s 8h 2s Qh 3s 4c 4h 9d 6h Js 7s 3c 7h 5c 2h 2d Ad 5d 6s Jh 9s Ah 6d As Tc 4s Ks 2c Ac 9c Kh 5h 9h Jc 3h 7c Ts Jd 8c 7d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, 9c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 8c Jc 3s 7d Qh 8h Ac Js 4d 6d Jd 7s 4s Ts 2c Ad 3c 9s 9c Ks Jh 9h 8s Kh 3d 5d Tc 2d 6h Kc 9d 4h 5h As 3h 6s Ah 2h 7h 5s 2s 4c 5c 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h Ts 9d 8c 4c 5d 7h 5h Tc 8s Jc Ac 4s 6d Ad 2d 6s 7c 2h Ks Jh 4h Qh 7d 4d Ah 2c As Js Jd 9h 3h 3s Kc 7s 5s 9c 9s 2s Kh Td 5c 3c 8h 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, Jh]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 9d 3c 6d 5d 9c 2h 4h 7c 7h 7s As Jd 6h Ts 4s Ah 7d Jh 3s 2c Ks Js 8s Jc 5s 2s Ac 9s 4c 5c 6s 8h Qh 2d 9h Ad 8c 3h Kc 5h 4d Td Kh 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 5s Jd Js 7c 6h Ts Ks 4h 6s 3s 3c 2s Kc 8h 3d 9h Tc 5h 3h 5c 4c 8c Kh 9c 4d As Ac Ad 9s Td 7d 5d 8s 7s Jc Ah 2c 2h 6d 7h 2d 9d Jh 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 7d Qh 8c 7s 6s 8s Jd 4s 3s 6h 9c 9d 5c Ah Ad 2d 5d Ac 6d 3d Kc 5s 4c 2s Kh 9h Js 3c 5h Jh 7c 4d Ts 4h Tc Jc 2c 3h 2h 9s 7h Ks 8h Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c Ah 4d 6s Qh Jd Js 2d 3s Ad Jc 4h Kh As 5h Kc 5s 6h 3h 7c 9d 6d Ks Tc 3c 9h 2h 9s 7h Td 9c 8s 8h 5c Ts 2c Ac Jh 3d 7d 2s 4s 7s 5d 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 4d 8c 3c 9d 2c 6s 3s 7c 2s 9c Js 5d 5h 8s Ac 2d Tc 5s Jd 9h 7s 9s 3h Jh 6h 6d 4s Kc Ad Ks Kh 7d Ts 7h 8h Jc 4h Ah 4c 2h As Qh 5c Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Kh, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks Jc 3h Tc 3c 2c 5d 6h 9d 7s 2d 8h As 9c Ad Kc Ts 8c 4s Ac Qh 7d 3d 7h 6s 5s Kh 6d Js Jd 9h 3s 4h Ah 9s 8s 4c 2s 7c 4d 2h Td 5h Jh 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Kh, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Td Jd 4h Ac 6d 9h 9d Ks 6s Jh 8c 2d 4c 3h 9s 7h 5h 5s Ad As Ts Kc 3d 7d 5c 2s 3c 8h 5d 7s 2c Ah Qh 9c Tc Js 6h Jc 8s Kh 7c 4d 4s 2h 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, Ts]28801;b2;Hero[8d, Kd]17098;b0
