 Kd 8d Qs Th Qd Qc] [ 7d 3c 5d Jd As 8h Qh Ac 8s 3d Kc Td Tc 5h 5s 6c 9s 3h 9d 6h 2h Jc 4d Ad 4h 6d 2c Jh 7s 8c 4s 7h Js 4c Ts 2d Ks 9c 3s 2s 5c 7c 6s 9h Ah Kh];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9c 8s 2c 5d 4d 4c As Ad Jd 4s 4h 6h 5h 2s 7d Ac 2h 7h 3s 6s 9d 3d Ks 5c 6d 9h 3c Tc 3h 8h Kc Jh Ts 6c Td 7s 8c 7c 9s Kh Ah Qh 2d Js 5s Jc];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:89,10] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ah, 6d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 6h 7c 8h 8c 2c Ad 3d Ts 7d Jh Js Ac 9c 2s Jd 5c 9d Kc 5h Kh 6c Jc 4c 6d As 4d 5d Td 7h 3s 4s 2d Tc 7s 3h Qh 8s Ks 9s 2h 3c 6s 4h Ah 9h];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, 3c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h Tc Ts 3d 6s Kh 8s 2d 4h As 6d Ad 5d 8c 3s Ah 6h 6c 7h Jc 7d 8h 3c 3h Qh Ac 5c 4d 2h Kc 9s 9d Jd 7s 9c 4c 2s Ks 4s 7c Jh 5s 9h 2c Js Td];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[3d, 3c]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 7h Ac 9s 2s Tc 4s 4c 8s Td Ts Ad Kh 2d 6s 2h 5d 2c Jd 3d Ks Ah 5c 5s As 9d 8c 6d 5h 4d 6c 4h Qh 9c 9h Jc Js Jh Kc 3s 7c 3h 3c 7d 6h 8h];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Js, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3h Ts 3d 4d 6h 7h Qh Jh 4c 8s 7s 8h 5s Ac 5c Td Kh As 3c 4s 9s 8c 6s Tc Jc 9h Js 6c 7d 6d Jd 7c 9c Ad Kc Ah 5h 9d 2h 2s 4h Ks 2c 3s 2d 5d];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[9h, Jh]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h Ad Td 6c Ts 9d 5c 2h Ks 7c 4c 8s 9c 5h 3s 3c 7h Jd 3d 5s Ac 4d As 4s 7s 4h Jc 6h 6d 9h 9s 6s 2s Jh 3h Ah 8c 2d Qh Js Kh 2c 5d Kc 7d Tc];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;b1(15) Hero(1) ;11;b1[8s, 9c]28799;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 9s 5h Js 9d Kc 2h 8c 8h 3c 5c 7h 4d Qh Ts 4s 4h Jd 6c 2d Ac Td Jc Ks Kh 6h 3s 6s 9h 5d 2s 3d Jh 7d 6d 5s Ah 8s 7s 2c As Tc 9c 7c 3h 4c Ad];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6h 8h Jh Ad 5s Ts 4s 2s 9c Td 7s 4h 2h 2c 3s Qh 7c 7d Js Ah 5h 3c 9s Ks 8s 3h 7h Jd 8c 4c As 6d 4d 5c 5d Kc 9d Ac Jc 3d Kh 6c 9h 6s 2d Tc];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Kh, Kc]28803;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh Ac Tc Ah 9s 7c 8c 9d 3h Qh Kc 8h 3d 5s Ad Jd Jc 6d 2h 6c 4c 6s 4s Kh 6h 9c Td 5c Js 2d 2s Ks 8s 2c As 7s 5d 7h 7d Ts 4d 9h 5h 4h 3s 3c];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Jh, Qh]32898;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3c As 9d 9c 7c 9s 5d Jh 2h Td 4s 8s 8c 2c 7h Ah 8h Ac 3d Kc 3s Ks 6d 5h 4c Js 7s Kh Tc 6h Ts Jd 2d 5s Qh 4h 7d 5c 4d 3h 9h 6s 2s Jc 6c Ad];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 2s Kh 9d 8h Ks Jd 5s Jh 8s As 2c 6s Ah Td 7d 3s 4c 3h 2d Ad 5d 3d 4s Js Ts 6d 7s 5h 6h 9h 3c 9c 4h 8c Jc 6c 5c Qh Kc Ac 7h 2h 7c 4d Tc];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 9s Ks 6s 2c Kc 6c 4c 2h 9c Ad 3d 7h 5h 4d As Ah Ac 5c Kh 7d 5d 2s 6h Jc 4s 3s Tc Qh 9h 3h Ts 6d 8h 7c 2d 4h 7s Jd Js Jh 9d Td 3c 5s 8s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:4,5] Hero[r:0,77] b1[r:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[Jh, Jd]28802;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Jd 2c Ac 8c 9s 3h 5d 4d Kh 2h 6c 5c 4c Ts Td 9h 6d 4h Ah 5s 9d 5h Kc Js 6s 3s 7c Ks 6h Ad 9c 2d Tc 7d 7h Jh 3c Jc 7s 4s 8s Qh 8h As 3d 2s];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Kc, Ac]20490;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 4s 6h 8h 4d 2d 7h 8s Ks 2s Ad 7s Ac 3h 9d 2h 7d 6d Js Jc Jh 9s Td 4c 5h 7c Kc 5s Kh 6c 5d Qh 2c Ah As 3d 3s 6s 3c 9h Jd 4h Tc 5c 9c Ts 8c];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Ks, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Js Kh Ac 5s Jd 2d 6c Tc As 3h 4s 8h 9h 6d 5c 5d 4d 2s 9d 5h 8c 8s Jc 4c 4h 2c 3c Ad Ts 7s 6s 2h Jh 7h 6h Td Ah 9s Ks 3s Kc 7d Qh 7c 3d 9c];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:4,5] Hero[r:0,77] b1[r:4,5] Hero[f:92,7] ;{14} ;-14;b1[8s, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s 8s 6c Js Td 5c 5d 3c Ah 7s Jc 6h Tc 7c 8c 7d 2c Qh Kh 7h 2h 3h 4s Ad 6d 5h Jh 4d Jd 3d 3s 9s Ac 8h 9d 4h 2d Kc 2s 6s Ts 9h 9c Ks As 4c];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[9h, Kh]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h Ah 5s 9h Jh 4h Qh 8c Js Kc 4d 5c 2s Ad 7c 2h 4c Jc 6c Ac 3s Td 5d As Tc Ks 3d 8h 7d 3c 3h 9c Ts 7s 6h Kh 9d 2c Jd 4s 9s 8s 6s 2d 6d 7h];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ks, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 3c Ad 2s 4h 5c Kc 5d As Td 3h Jh 2c 6s 5s 7d 7h 9s 4s 9c 8h 4c 3d 6h 6c 9d Js Qh 7c Kh 5h Ah 8s Jd Ks Tc 2d 9h Ts 8c 6d Ac Jc 3s 7s 2h];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[9s, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 9d 3d 6d 2d Tc 7d 2s 6s 9h 7h 4d 2c Ac Td Jh As Jd 3h Ts Ad Ks 4h 4s 8h 3c 7s 6h 5s 8c 4c 3s 5h 9s Kc Js 8s 5c 2h Jc 9c Kh 5d Qh 7c Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[9h, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s Ts 6c Ac Ks 6h 9d 5c 8c 7c Ah As 2h 2s 9h Qh 9c 7s 3c Jh 3s 4h 3d 5s 2d Td Tc Js 6s 4d 5d 3h 6d 7d 4c 7h 2c 5h Jd 8h Jc Kc 4s 8s Ad Kh];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[As, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 4c Ac 8c Js Tc 5s 4h 7h 5d 9d 3s Ah 3c Jd 3d 4s Jh 7d 8h As 5h 6d Ad 8s 9c Jc 9s 6c Ks Qh Td 5c 4d 7c 6s 2h 9h 3h 2c Kc 2s Kh 7s Ts 6h];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh Td 4s Kc Ad Tc 6c 7h 5s 9c Ks 8c 7s 2s 5d 7d Ah Jh 3d 6s Js 3c 6d 3h 9d Qh 4h 5h 8s Ac 2h 4c 6h 9s 2c 5c 9h Ts 7c 8h 4d Jc 3s Jd 2d As];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[9h, 9d]28800;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 9h Ts 5c 5s Jh Tc 2h 5h 4d Ks 7d Jc Jd 8h Kc 2c 6s 9c 6d Ac 6h 9s 7c 8c 4c 3s 3h 8s 4h Ad As 3c 5d 3d Kh 7s Qh 9d 4s 7h Ah 6c Td 2d Js 2s];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd Kc 9c As 4s Jc 6s 4c 7s 2s Ts 7d 2d Ah Td 8c 6c Qh 3c 4d 9d 8s 2h Ad 9s 2c 5d 7h Jh 3h 6h 5h Js 3d 9h 6d 5s 3s Ks Tc 8h 7c 4h 5c Kh Ac];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Td, Ac]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5s Kc 8c 2s 8h 7s Kh 7d 2d 4d 5d 4s 5h 4h 2h Jh 6h 9s Ah 2c As Ts Jc 6s Td 3c 8s 3s Ac 9d Js Qh 3h Jd 6d 5c 7h 9c 3d Tc Ad 7c Ks 9h 4c 6c];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[2c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5c 4h 9s Jc 7h 6s 4c 8h Ks Jd Td 7d 2s 3h 9h 2d 3c 9c 3d 8c 6h 2c Ad 6d 8s 5s Ac 7c 7s 5h 5d As Jh 6c Kh 4s Ts 2h Js Kc Ah Qh 9d Tc 4d 3s];[Qc, Qd, Th, Qs, 5c];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[9s, 8c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c 7s 5s 9s Jh 2c 9h 7c 4c Ts 9d 3s As Ks 5c 5d 7h Js 5h Ad 2s 6h Td Kc Tc 4h 2d Qh Ac 3d 3h 6s 8c Jd Jc Kh 7d 8s 4s 6d Ah 9c 4d 6c 8h 2h];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;b1(30) ;-14;b1[6c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh Ah Kc 5c 9s Jd 2h 5s 9h 3h 7d Ks 8s Ts 7h 2s 3s Ad Qh 3c Ac Td 9d 8h 6d 4d 2c 5h 9c 4s Js 4h Jh 5d Tc 7c 8c 2d 4c 7s 6h As 6s 3d Jc 6c];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[Td, Ad]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 9d Qh 3s 8c Ks 2h Ah 7c 2c 8h 5s Jd 4s Jh 7d Ad 2s 6h 6s 3d 3h 3c 4h 8s 4d Kh Ts Jc 9s 5h 6d Js 5c 6c Td 7s 2d Kc As 4c Ac 7h Tc 9c 9h 5d];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9h, Ac]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 3c 3d 5d Tc 2c 6h Js 6c 9c 4d 7d Jd 4h 3h Jc 7h 2h Jh 8s 9s 5s 9d Ts 9h Td 8c 7c 6d Qh 5h 2d Ks 5c Ad Kc Kh 4s 7s 8h As 3s Ac 2s 4c 6s];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6h, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Js 8c 8s 2d 8h Jc 6d 7h Ad 3h 6s Jd Ks 5s Qh 2s 3d 6h Tc Td 2c Kc 6c 2h As 9h 3s Kh 7c 4s Ts 9d 3c 5h Ac 9c 9s 4c 7d 5c 5d 4d 7s Ah Jh 4h];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, 5h]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3s 7c As Tc Ks Kh 4c 8c 5s Ts 8h 3h Jc 2s Jh Ac Ah 5h 2h Ad 7h 6d 5c Js 7s 4h 9h 5d 9s 9d Jd 2d Kc 3c 6s Td 7d 8s 4s 3d 4d 9c 6c Qh 6h 2c];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[3d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d Ks 4d Qh 3s 9h 6c 2h 9d Jc Jd 9c Kh Jh Js Ah 9s 2d 2s 7h 5h 5c 4s Ad 5s Ts 3c 4c 6s As Kc 5d 7d Td Ac 6d 6h Tc 7s 4h 8c 8h 7c 3h 2c 8s];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[Jh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s 8c 8h 9c Ac 3h Tc 8s 4d 3s Jd 9h 7h 6s 5c Js 2d 4h 6h Ts 5d Kh 5h Td As 2s 2c 9d Jh 3c 2h 7d 6d 4s Qh 7c 3d Jc Ad Ah 9s Kc Ks 4c 7s 6c];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[7c, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6d 2d 5h 3h 4d Td 9s 6c Ah 9d 3c 7h 7s 8c 3d 7d 4c As 5s 2c 5c 4s 6h Kh Jc 9c 8h 2s 2h Jd Tc 4h Qh 6s 9h Kc 5d Ks 3s Jh Ts 7c Js Ad 8s Ac];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[7d, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c 4s Td Ac 7d Ad 4d 3d 9d 7s Jh 5c 5s 9c 5h 4h 7h 2d 6d 9s 7c Jc As Kh 5d 3s 8s 2c 3c Jd Qh 6h 8h Tc Js Ks 6c 9h 3h 6s Ah 2h 4c Kc Ts 2s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[r:4,5] Hero[c:0,17] ;Hero(16) ;16;b1[6h, 6c]28797;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 2s Jh 4s 2h Jc Ks 6c Js 6h Ac 8h Ad Tc 5h Ah 5s 3s 7h 3c 8s 3h 6s Jd 9d Td 3d 9h 7c 2d 7d 4d 8c 7s 4c 4h Ts 2c Qh Kh 9c 5d As 5c 9s Kc 6d];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh Js Td 9s 7h 4h 2s Qh 3s 3c 9d 2c 9h 6c 4s 8h 7c 4c Kh 9c As 7s Ah 8c 4d 3h Ts 6s Ad 3d Kc Tc 2d Jc 5d 7d 6d Ac 5s Jd 6h 8s Ks 5c 2h 5h];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Js, Jd]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ts 7s 3s 6c 7d 9c 6s 5s 2c 8c As 2d 5d 5c 2s 4c 5h 7c Jd Ah 8s 8h Ks 2h Jh 3d Kc 3c Qh 6d Kh 7h 4s 9h Tc 3h 9s Jc 9d 6h 4d 4h Js Ad Ac Td];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Tc, Jc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Jd Ts 3s Qh Jc 6d As 8c 4s 4c 5d 5s 3c 2c 9c Kc 7s 2s Ks Tc 7c 4d 7d 9s Js 6c 6s 5h Jh Ac 8s Ad 6h Kh Td 3d 3h 2d 8h 4h 7h 9h Ah 2h 9d 5c];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Kh, Ac]20490;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Tc 4c 4d 5c 9c 9s 7s 5h 3h 5s 7c Kc 6c 6h 3s 4s 3d 2h 9h Ah Ac 9d 8h Ks 4h Js Kh 8s 5d 2s 2c Jh 6d Qh 7d 8c Ad 2d Ts Jd 3c Jc 7h As 6s Td];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[Qh, Ac]32900;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Kh 4c 8h Jd 3c Js 9c 2s 4s Ad 6h 9h 9s 2c 5h Ah 2d 5s 3s Kc 6d 7h Td 7s Tc 8c Qh Ts 3d Ac As 2h 6c 9d 5d 5c 7d 7c 3h Ks 8s 4h 4d Jh Jc 6s];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[6d, 6c]28797;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Kh 3d 4c 9d As 7d 5h 3c Ad 9c Ks 9s Ts 6c 8h 5c Qh Ac Jd Tc Jh Td 6d 4s 9h 4h Ah 2c 7c 5s Jc 6s 2h Kc 3s 8c 7s 8s 6h 5d 3h 4d 7h Js 2s 2d];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[8c, Tc]28801;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Jh 7c Qh 4h Td 3d Kc 5h 3h Ac 9s 6s 9c 9h 9d 2d Ts 5d 2s Tc 6h 6d 4s 4c Jd Ks Js As 8s Ah 2h 2c 5s 3c 8c 7s Kh 7h 6c 7d 4d 5c Ad Jc 8h 3s];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6s, 6h]28797;b2;Hero[8d, Kd]17099;b0
