 Kd 8d 6c Qs Th Qd Qc] [ 6h As Qh 2c Tc 3d 7d Ad Jd 9h 5c 5h 4d Ah 4s 7s 7c 2d Js Ts Jh Ks 2s 4h 8s 9c 4c 8c 6s 9d 3s 3c 6d Td 3h Kc Ac 2h 8h 7h 5d Kh Jc 9s 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 7s Ad 2c 4d 7d Ks 6s Kh 5c Jh Tc 8s 6h 4s Jd 9d Td 7h 9c Kc 2s 3s Jc 5h Ac 8c 2h 5s 2d 8h Js Ts Ah 5d As 4c 4h 9h Qh 3h 3d 9s 6d 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Jc 5d 2c 6s 7c 4d 2d 3d 4h Ks 5s Jd 3c 8h Kc Kh Ac Qh 7h 9s 6d 9c 8c Tc 5c 3s 2h Ts 4s Ah 6h 9d 7d 4c 3h 9h 5h Jh Ad Td 7s As 8s Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 8h Ad As Ac 4d 6d 6s 3c Tc 3h Jc 2d Ks 9c Ah 7s 9s 3d 3s 4c 7c Jh 5h 5d Js 6h Jd 2h 5s 2s Td Kc Ts 8s 7h 9d 4s Kh 7d 5c 4h 9h 2c 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ad, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5d As 7d Jd 7c 5c Kh 2h 3s 6d 8c 4s 5h Qh Js 8h 3c Ad 7h 6h Td 9h 2c 4d Ac 4c 9c 5s 3h Ts 7s 4h 2d 8s Jc 3d Ah 9d Jh Ks 2s 6s Kc Tc 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, 7h]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6s 8s Tc 9h 5s 5d 4c 8c 5h 6h Jc Ac 5c Kh 9d 3s 6d 7s Jd 2s Td As 2h Ts 2c 4h Qh 8h 3c 9c 7h 7d 4s 9s Kc 3h 3d 4d Ks Js 2d Ah Jh Ad 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ks, Kc]28803;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h 2c As 8s 3c 2s 5d Ah Kh 8c 9s Js 7c 9c 4c 5s 8h 7s 2h 5h 4d 9h 7d 6s Jd 3h 3d Kc 5c Jh Jc 6d 7h Ac 6h Qh Tc Td 2d Ks 9d 4s Ad 3s Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;Hero(12) ;12;b1[8s, 9h]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d 3d 5s 5h 6d Jd 4d Ad 2h 2s 9d Qh 2c As 9h 4s 7c 4h 8c 7h Ah 3s Ks 3h 7s Jc Jh 3c Kc 5d 9s 9c 8h Ts Ac Td 8s 2d Js 6s Kh Tc 5c 4c 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 6s Kc 8s 7h 6h 9c 7d 4c 9d Ks 2d 7s Ah Js Ad Qh 7c 9h 5s 3s Jh 4d Ts 9s 2s 4s Kh 3d 6d Jd As 4h 5c 2h Td 8c 3h Ac 5d 3c Jc 8h Tc 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 5c 9h Ah 6h 8h 3s 9s Td 7d Jc 9d As 2d Qh 7h 5d 6d 4d Ad 4s 7s Kh 5s 6s 2s Ac Kc 9c 4h 5h 2c 3c Jh 7c 4c 8c Jd 3h 2h 3d Ts 8s Ks Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Kh, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h 4d Ac 2s 5h Ad 2d 6d 9d 8c 7h 4s 6h Ah Tc Td 3d 4c Jd Qh 9s 2h As Jc 7s Kh 2c 7c 4h Js 3s 8s 6s Jh 5d 3c Ks 9h 5s Ts Kc 9c 5c 8h 7d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 8h 2c 2d Kc 9h 8s Ad 4s Js 3s 4d 7s Jc 4c 3c Ts 9c 6s 9s 6h 7d 9d Ks As 5d 7c Jd 2s Tc 3d Jh Ac Ah 4h 7h 6d 5h Kh 2h 3h Qh 8c 5c Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah Jd 6s 7s 5c 9d 8s 2s 7h 3s As 8c 9s 3c Jc Kh 7c 5s 4c Tc 3d 3h 9c Js Jh 2c Ks Ts 6h 5h 4d 5d 7d 2h 4h 6d Qh 9h 2d 8h Td Ad Kc Ac 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc Kh 6d Ah Qh 9h Kc 9s Ad 5h Jh 7c 4s Jd 4h 5d 8s Jc 7s 3h As 2h 6h Td 4c 3d 7h Ts 8h 4d 2d 9c 5s Ac 2c 2s 3s 9d 3c 7d 8c Ks 6s 5c Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 2h 2s 6s Ac 5d Ks 5h 8s 4s 2c 7s 8h 9d 9s 9c Ah 3h 3d 4c Ad 4d 7h Js Kc 5s Qh Jh 3c Td 5c 4h Ts Jd 7d 9h 8c 7c 6d 2d 3s 6h Tc As Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 7s 9h Kh Ks 2s 8s 5s Ts 6d 8h 9c 7c 9s 6s Tc 4s 3c 8c 5d 2c Qh Jc 3s 2d 9d 7d 3h 6h 5c 4d Jh Td Ac 3d Kc 4c Ah 5h 2h Jd 4h Ad As 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, 8h]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 4h 8c 2s 6d Td Jd Ts Kc 6s 3h 7s Ac 3s 3c Ad Jh 7d 5h 8h 8s 4s Ah 5c Qh 2c 9d 5s 2h 9s 4c 4d Tc 5d 7c 3d 6h As Jc Js Ks 9c 2d 7h Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[5c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 7c 5s 9c 2d Qh 5d Td 8s 7h Jd As 2h 4s Kh Jc 6d 9d 2s Ac 3d 9h 6h Js 7s Tc Ad Kc 2c 4h 8c 5c 3h Ks Ts 5h 6s 4d 3c 3s 8h Jh 7d 9s 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[9h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 7h 2s Ac Jh Kh 9d 4c 8s 6s 2c 3c 8c Jd 9h 7s As 4d 7c 9s Td 3s 3d 4s 5c 8h 2h Kc Jc Qh 4h 2d Tc 9c 7d Js 3h 5d 5s Ts 5h 6h Ah 6d Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Jh, Jd]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h 6h Ts Ad 2d 2c 5c 6s 3c 5s 7c 6d 7d 3s Ac 5h 9d Kh Jd Js Td 2h 9c 9h 8c 8s As Tc Ah 4c 4h Jh 9s 5d 4d Qh 8h 4s Jc 7s 7h Kc Ks 3d 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 9d 4c 3c 2c Qh Td 7s 7d Ad 5h 2s Jd 8s Ks 7h 4d 2d 2h 7c Ac 6h 4h Tc 5d 8h Kh 6s 5c 4s Ts 9c 8c 3h As Jh Jc 5s 9h 9s 3d 6d 3s Kc Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[5h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s 2h 8c Jd 2c 4h Jc 7d Ts 5h 3c As Tc 3h 7c 9h 9d 6d 4d Ad Ah 4s 6s 7h 2d 6h Qh 5d 8s 5s 8h 5c Kh 7s 9c Kc Ks Jh Ac 4c 3d 2s Td Js 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Js, As]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 7d 5c 9c 6s 4s 5d 6h Ts 8s 4d 3s 4h 9s Ad Tc 3c 3h 7c Ks Kh 9h As Js 6d 7s 2d Jh Ah 8c Qh Jd 7h 2s Kc 5s 2h 8h Td Ac 5h 4c Jc 9d 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h 2s Tc 2c 9d 8c 3h Kh Kc 6d Ac 6h 7d Js 5d 5h 2h Ks 4d 7h 5s Jh 2d Qh 9s 8h Jd 7s 9h Ts Jc Ah Td 4c 5c Ad 3s 8s 6s 4s 9c As 3d 7c 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[2c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s Ad As 2d 8h 4c Qh 3h Ac 6d 4h 3d 7h 2c 5s 8c Jc 3c 9c 7s 9d 9s Jh Td Ks 6s Js 6h Ah 7c Jd 9h 5h 5c Tc 4d Kc 2s Kh 5d Ts 8s 4s 7d 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, 9h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Ah 7d 7c 8s 3d Tc 4d Qh 7s 9c 2h 2c 6s Ks 4s Ts 8h Ac Jd 9s 5c Kc 3h 5s As 3s 7h Td 4c 5h 9h 6h 9d 2d Js 6d Jh 4h Jc Ad 5d 3c Kh 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks Jc 3h 5s Tc 4c 6s Ts Ah Jh Ad Qh Td 2h 7c Kh 4s 3d 2d 3s 7h 8h 2s Kc Ac As 9c 7s 5h 6d 8s 9d 5c 7d 5d Js Jd 4h 9s 6h 4d 9h 3c 2c 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Kh, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 2s Qh As 4h Td 7d 6h 5d 8c 5c 4d Ts 3s 7s Js 5h 4s 8h 3h 3c 7c Ks Jh Ad Jc 2d Jd Kh Tc 2c Kc 8s 7h 9d 2h 9s Ac 5s 6s Ah 3d 6d 9h 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 5h As 6s 4s Jd Qh 5d 5c 6d 2s 4d 9s 5s 3s 9h 7s 9c 8h 2h 3h 6h Jc Ks Ah 2d 4c 8c 3c Kh 7h 8s Ad 9d 7c 7d 2c Ac Kc Jh Tc Ts 4h 3d Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[9s, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s As 7c 9d Js Ah 4d 3c Kh 4s 3d 5s 6h 3s 8s 5c Ac Jh 3h 2h 2c 6s Ad 9c 8h 2d 7h 9h 5d Jc Ts 4h 7s 4c Jd Ks 6d Tc Td 8c 7d 5h 9s Kc Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As 7h 4d 2c 8s 8h Ac 3c 3d 6h 4s 6d 2s Td Ah 9h 8c Kc 2h 3s 7d Ts 5h 5s 6s Qh 3h Jh Tc 2d Ks 9c Jd 7c Jc Js 9s Ad 5d 4h 5c 4c 7s Kh 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 5h 4h 4d Js 5c 4c 7d Ac 3s Qh Ks Ts 2d 8s 6h Ad 2c 4s 9h Ah 7s 3h 2s Kc 7h 3d 6s 9c 8h Jc 3c 5d 6d Jd Tc 5s 9s 8c 9d Kh 7c As Td Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c Jd Td 3s Js 5s As 5c 2h 8c 4d Ts 8h 9h Ac 4c 7s Kc 2d 4h 9d 8s 3h 5h 9s 7d 2s Qh Ks 6h Ad 6s 3d 5d 3c 6d 7c Jh Ah Jc 2c Kh Tc 7h 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 6s Jh Jc Qh 5d 6h 7s 8c Ah 7d 2h 6d 3h Js As Kh Td 3d 5h 4d Ac 2c 5c 9s 4h 9d 7h 7c 5s 3s 4s 4c 2d 8s 2s Jd 3c Tc Ad 9h 8h Ts Kc Ks 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[r:88,11] b1[c:6,8] ;b1(38) ;-18;b1[7h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h Jc Js 2s 2h 6h As 9c 2d 5c 8h 9d Ks 8c 6d 9s 6s Kc Tc 5s Ac Kh Jh 3h Ts 5d 4c 3s Td 4s 9h Jd 7c 8s 7s 4d 4h 7d Ad 3d Qh 7h Ah 3c 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7s, 7d]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d Ks 3c Qh 7c 6d 4c 4s 3d 6s 5h Ah 6h 3h Tc As Js 2d 5c Kc 5s 3s 9d Jh 9s 7d 4h 7h 2s Td 8c Ad Jc 2h Ts Kh 5d 8h Jd 9c 7s Ac 2c 9h 8s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[2s, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As Kh Kc 7h 2c 5s 2d 9s Jh 6d Td Ah 8h 9d 3h Tc Ad Qh 2s 9h Ts 8s 4s 7c Ac 5c 6s 5h Js 5d 9c 7d 4c 7s 3d 8c 4d Jd 3c 3s 4h 6h Jc Ks 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[3d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts As Ac 5c 7c 7h Td Ks 4d 5d 3h 4h 3s 9c 3d 2c Tc Qh 9d 7s 6s 6d 2s 7d 4s 6h 8c 9s 3c Kc 5s 4c 2h Jh Jc Jd 2d 8s 5h 8h Ad Ah Js Kh 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[Js, 8h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h Ah 4d 9s 5h 7s 8s 3h 4c 7c 9c Ts 9h 6h 5d 2s Js 4h 3s Kh 7d Jh 4s 5s 3d 9d Qh 6d 7h Jd 2d Ad 3c As Kc 2c Tc Ks 8c 8h 6s 5c Jc Td Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 7h 9s 5h Td Kh 2d 3d 5d 6d Ts 2c 5s 9d Kc 5c 4h 4s 6h 8s Jc 3h Qh As Ad 2h 7c 3s 7s 9h 2s Js 6s Tc Ah 9c Jh 8c Ac 7d 4d 8h Jd Ks 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[Ad, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc Jc 3d 2h 5d 6d Kh 6s 7h 2d Jd Ts 8s 7c Qh Td 5c 6h As Ac 9c 8h Kc 5h 4s 3h 2c 7s 3s Jh Js 2s 9s 3c 9h 9d 5s Ah 4h 8c 7d 4c Ks 4d Ad];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[Tc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s Ts 9c Ks 5s 3s 5h 4s Qh Tc 7h 6d Jd 3d 4c As Ah Kc 9h Jh 7s 4h 7c 9d 8c 5c 6s 6h 2h 4d 2s Js 7d Jc Td Ad Ac 3h 2c 5d 2d Kh 3c 8h 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 6s 9d 6h 3s 3h Ad 8h Td Kc 5h 4d Js 4s 5d Jd Qh Ac Ts Ah 5c 9s 7c As Jh 2d 2h 6d 8s 9c Jc 7s 2s 7d 5s 4h 9h 4c Tc 3c 8c Kh Ks 7h 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[Jd, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As Kh 4h 2h 5c 6s 6d 8h 7h 5s Ac 3h Jd Td 9s Jh 6h 2c Ks Kc 8s 9c 5d 4d Tc Jc 9h Ts 7c 2d 3d 3c Ad 7s 4s Ah Js 4c 8c 2s 3s Qh 7d 9d 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[3c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 9s 7s 2d Tc 7h 7c Td 9c 4d 5s Qh Jc 3s 7d Ks 6h Ah 4s 8s 5d 3h 3c 8c 5h 2h 2c Kc Jd 4h Kh 2s 9h Jh 4c 5c As 3d Ac 6d Ts Ad 8h 6s 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Jh, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d 5h Jd 3d 2s Qh 7s 7c 8s Kh Ks 9d 9c 9s 6s 3c Jc Ad Jh 4h 4c 9h 5d As Ts 5c Ac 8c Tc Ah Kc 3h 6h 7d 6d 8h 2h 2c 7h 3s 5s Td 4s Js 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c Td 3h 6h 2h 3d 7s Kh Ts Jd Jh Qh 7c 9s 4h Ks 6s 2c Js Ah 3c 6d 5h 2d Ad 8s 4d As 8c 2s 5d 7h Tc 3s 4s 5s 8h 7d Kc 4c 9d Jc 5c 9h Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[3s, 3d]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 5d 4s 3s Kc 7c 6h 3h 7s 5c As 8h Ad 2c Ts Tc 3d Td 4d Jc Kh 9s 3c 9c 5h 7d 2h 9h 5s 6d 7h 2d Jd 8s 6s 2s Ah 4c Js Ks 4h Ac Qh 9d 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
