 Kd 8d 6c Qs Th Qd Qc] [ Jc 2c 4c 7d 3s Qh 5c 3c 7c Tc 3d 8h Jh Ac 5d 2d Ad Jd Ks 9s 9c Td 8c 4h 2h 4s 6d 3h 4d 6s Kc 7h 7s As Kh 9h 5h Ts 9d Js Ah 2s 5s 8s 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac As 8h 5s 7c 4s 7h 2c 5c Ah 8s 4c Kh 4d Ad 8c 9s 2h 7s Jd 9d Jh 6s 9h 7d Ts Ks 6d 3h Js Kc 3d Tc 9c Qh 5h 4h 2s Td 3s 6h Jc 3c 5d 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 4d 9s Ac 2s 7h 9c Ts 8c 2d 5d 5h Qh Ad Ks Kh 5c 9d 3h 4c Jc 5s Jd 6s 4s 2c 3s 6h Jh 3d 8s 4h 3c 2h 7d Kc Td Js 6d 7c 7s As Tc Ah 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, 9h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 3s 9d 9c 2c 4d 2h 6s 6d Jh Kc 5d 8c Qh 4c 7d 3c 5h 2s 5s 5c Ah Ts 9s Ad 7c Jd Js 6h 8h Td 2d 3h 4s 3d 7s 9h 7h Ac As 4h 8s Kh Jc Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8s, 8h]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 8s Ad Jd 3c 9c 6d Kc 9h Jc 5s Tc 4s Td 9s 5c 2h 5d 7d 6h Js 6s Jh 3d 4h 9d 8h 2s 3h Kh 8c Qh Ac As 7s 2c Ah 4c 7c 2d Ts 7h Ks 5h 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Jh, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd Ks Kc 5h 9h 2s 4d 3d Ac Ah Ts 3c 2c 5d 8c 3s 8s 9c 6h 9s 4c 6s 7h Tc 3h Ad Jc Qh Kh 4h 8h 2h 9d 7d 7s 5s As Td Js Jh 7c 5c 4s 2d 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:8,78] Hero[c:0,9] ;b1(46) ;-22;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 4d 5h 2c 9h Jh 3s 5c 7s 8h 4s 5d 6d 2s 9c 2d 3d 6s Ks Jc Ad Tc 2h 6h 8s Kh 7h 7d 3h Td Ah Js 4h Kc 9d 5s As 3c Ac 4c 8c Qh 9s Jd Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 3d Tc 3s 4h Qh 5h 5s 3c 7d Jh Jc Ah 9c 6h 7s Kc 9s 2s Ac Js 7h 4s 6d 8c As Jd 2c 5d 2h Kh 6s 9h 4d 4c 7c Ad 3h 9d Ks Ts 2d 8h Td 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[4s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h Qh Ad 2c Td Tc 2d 4c 3h 9s 9d 7c 9c 7d 7h As Kh 8h 7s 8c Ts Jc 4h 6h 4d 5d 3s 5s 6s Jd 5c Ac 2s 2h 5h Kc 3d 3c 4s Js Jh 8s 6d Ah Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:2,3] Hero[c:0,9] ;b1(46) ;-22;b1[As, 7c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s 6d 3c Jc Jd 9c 4c 7s 4d Jh 7h 2c Ks 4s 2h 5d Js Ad 5s 6s 2s 5c As 8h 8s 9h 2d 3d 4h 5h Td 7c Qh 6h Tc Ac 7d Kc Ts 3s 9d Ah 3h 8c Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, 9c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 7s Jh Kc 3h 2s 8c 5c 7d 3s 6h 4h 8h 2c Qh 9c 4c Ts 8s Ac 3c Jd 2d Kh 5d 7h 9d As Tc Ad 4s 5h Jc Ah Ks 9h Js 7c 6d 2h 9s 5s Td 3d 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:94,5] Hero[r:0,9] b1[f:94,5] ;Hero{24} ;24;b1[8c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 6s 6h Ks 5h 9s 2s 7d 5c 3c 5d Ts 7h 4s 8h 5s 2d Jd As Ah 4h 6d 4d 9c Ad Js 8s Tc Jh 8c 9h 2h Kc Kh 3d 2c Td Qh 4c 7c 3h Ac 9d 3s 7s Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 9c 4c 3c 5c 7s 2s Qh 3d 2h 6d Ac 6h 4d 8c 5s Ks 7d 4h Jd Tc Kc Td 5h Ad As Jc 2d 2c Jh 8s 7c 4s 5d 9d 7h 9s Ts 8h 3h Js Ah 9h 3s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 6h 5s 7s 6d 3s 2c Ad Tc 4s 4d Td Kh 5h 2h Jc 8c Js Jd Ac Ah 8h 7d 3c 3d 5c 3h 9h 7c 2s Qh Jh Ts Ks 2d 9d Kc 4h As 6s 7h 4c 9s 9c 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8s, 8h]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h 8c Tc 9d 2s 5h 5c 3c 7s Kc 2c 2d Ad 9h Ts 5s Jc 3s 7c 9s 3d 7d 8s 5d 6d 6h 6s 3h Ac 4d Js 2h Td 9c Jh Ah Ks As Jd Kh 4h 4c 8h 4s Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Kh, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c Jh 7s 3s 8c Ts 2d 9h Kh Qh 4h 2s 6d Ad Jd 7h 8h 5h 5s Kc Js Ac Jc 2h 7c As Ah 3h 9s 5c Ks Tc 4s 9c 7d 3c 4d 5d 8s 4c Td 9d 3d 6h 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[3s, 3d]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h Ks Ad 3c 8s 7d Ac 3h 6s 9c Td 5c As Qh 7c Kc 6d 2s 6h Ts 3s 5h 9h 5s 2d 4c 2c 8h 9d 4s Jd 7h 8c Ah 3d 4d Kh 5d 7s Jc Tc Jh 2h 9s Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 4h 7d 4s 4d 5h 3h 2c 6h 8c 2h Jh 9h Ts 2d Jd 7h 5d 6d Ac 3s Ah Ks 5c 9d Ad 6s 3c Kc 9c 5s Kh 8h 7s 3d Tc Td 9s 2s 8s Js As Jc Qh 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[8s, Js];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 7d 3c 7h 2d Ac 2h Js 6h Ah 2s 4s Jc Ks Jh 3d Jd Ad 8s 4c 6s Ts 5d 9d 8h Td 7s 4d 5h 9s Kh Tc 9c 5c 3h Kc As 4h 7c 3s 8c 5s Qh 6d 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9s, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d 5d 2s Jd 7d 6d 6h 3d Kh Qh Ac Ts 4s 3s Tc 3c Js 9h Ah 5s 9d Ks 8s 2h Ad 4c 9c 7s 2c As Kc 8h 5h 3h 4d 4h Td 8c 6s Jh 9s 7c 5c 7h Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 5s 4d 7c 6d Ks 4c 6s Js 8s 7h 5h 4h 2s 9d Tc 3h 3c 9h 9c 2d 3d 6h Jd Ah Qh 8c 7d Jh 4s Ad As Kh Jc 3s 9s 2c 2h 7s Kc 5d Ac 8h 5c Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ad, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s 8c Ts Qh 3c As 2s 4d Ad 8s 7d 7c Kh 4s 2h 5c 9s 5s Tc Jd 5d Ah 3h Ks 9h 9d 3d Kc 6d Js 9c 6s Jh 4c Ac 7s Td 2d 8h 7h 2c 6h 4h 5h Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 7d Tc As 2c 8c 2d 4d 9h 8h Kh 4c 7s Jh 6h 8s Kc 5h 6s 7h Js 5d Qh Ad 3c 6d 9s Ts 4s 5c Td 2h 3h 3s Ac 9c 7c Ah 9d 4h 5s Jc 3d Ks 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d Kc Jd Ad 2h 4c 9h 3s 5c 9c Ah Jh 9s 7s 4d Js 6d 7c 4h 8s As 2d 8c Ks 7h Td Ac 6h 5s 7d Ts Tc Jc 2c 2s 4s 5h 6s Qh 3h Kh 3c 5d 3d 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9h, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d 6h 5s Jd Qh 3s 5h 3h As 5d 3d Ac 8h 4h 7h 4d 8s 7d 7c Kc 4c Ts Ks 2c Kh 3c 8c 7s Ah Td 9c 4s Jc 9d Jh Js 2s 5c 2h Ad 6d Tc 9h 9s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Js]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h 8s 3c Kc Tc 5s 8c Kh As 7c 9h Td Jc Ad 5h Jd 2c 9s 4d 9c 6d 6h 9d Ac 6s 2d 4s 3s 7h 7d Js Ts Qh 2h Jh 5d 3d 7s Ah 4h 2s 4c 8h 5c Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Td, 4c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh Ad 6h 9h 8h 2s 2c 7c 4h As Ac 9c 4d 8s 2h 5s 3c 3s Ks 7s 9d 5h Td 4s Jd 3h Ah 2d 6s 9s 8c Kc Jh Tc 3d 6d 7h 7d 5d Js 5c Ts 4c Qh Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9s, Jh];b2;Hero[8d, Kd];b0
