 Kd 8d Qs Th Qd Qc] [ Jh Ac 8c 2d Ad 5h 8s 6s 9d 6h Ks Jc 2h 2c 7d Js 5s 9h 7h 6d Tc 9c Ts 2s 4d 5d Qh Kh 6c 3c 7s 4h 4s Kc 9s Ah 7c 3s 3d 8h Td 5c 4c Jd 3h As];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9h, Td]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9h 2h Kc 6h Qh Td 4c 5d 3h Js 4h 8h 5c 9d 9s 6c 5s 7s 8s 2s Jd Ac Ks 3s 6d 5h 4d 9c 4s Tc 3c 3d 2c Kh 7d 2d Jc 7h 7c 8c Jh Ad Ah Ts 6s As];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:8,78] Hero[c:0,9] ;b1(22) ;--10;b1[3h, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 7c 2c 4d 9d 8s Td Ac 7s Jc 9c 5c 4h Qh 7h Ks 3h 4c Ad 5s 7d Kc Ts 6h Tc Jd 2h 8h 6s 4s Ah 8c 3s 3c Kh 9h 6d 3d 5h 2s Jh As 5d Js 6c 2d];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:2,3] Hero[r:0,9] b1[r:2,3] Hero[f:96,4] ;{14} ;-14;b1[As, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ts 5c Jc 7d 2d 2c 3s 9c 5h 4d 6c Kh Kc 2s 8h 3h Td Ah 5d Js 9s Ks 2h Jh 6h 8c 4c 9h Qh 8s Jd Ad 7c 4s 7h 3c Tc As 5s 7s 6s 4h Ac 3d 9d 6d];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[2h, 2c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 8s Ts 5d 4c 5h 7s Tc Kc 7h 2d 5s 6h 9c Ad 9s As 7d Kh 2c 4s 3s 4h 9h Jh 3h Jc Ac Js 3d 6c Qh 9d 4d 8c Ks 7c Jd 6s 3c 6d 2s Ah 5c Td 8h 2h];[Qc, Qd, Th, Qs, 8s];null;null;null;b1[c:2,3] Hero[c:0,87] ;b1(22) ;-10;b1[Ts, Kc]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 4c 3c 4s 7h 9c As Ks 4h 3h Ah Td 7d Ac 9s Jc 6c 6s Kc Qh 6h 9d Js 2d 5h 5s Ad 8s 5c 6d 9h Ts 7s 3s 2s 8c Jd 3d 2c 4d 5d 2h Tc 7c 8h Jh Kh];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[4s, 4h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3c 3h 7d 8c 2d 3s 5s Jh 4c 8h 6c 8s Kc 9h 3d As 9c Ac 5h Jd Ad Tc 2c 2h 5d Ks Ah 7s 2s 6d 6s Kh Jc 4d 5c 9d Qh 9s 4h 7h 6h Ts 7c Js Td 4s];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[3s, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d Kc 7s 2s 3c 6d 4s Qh Jh 8s Kh 4c 9d 3h 9h Jd 5c 6s Jc 4d Ts 5s Ks 9s 7d 7c Tc Ah Ac Ad 9c 8h 7h Td Js 3d 3s 2c 4h 5d 6h 5h 2h 6c 8c As];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[Js, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 2h 9d 9c 7c 7h 8c 4d 6h 6c 4h 5d 2s Jd 2c Js 4c Jc 6d Ah 6s 7d 5c Tc 3c Ad Td 4s Ts Kh 3d As 3h Ks 8h 8s Ac 3s 5h Jh 9s 2d 5s Qh Kc 7s];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[7h, Jh]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c Tc 6s Ac 8s Ts Jd Td 5c 9h Js Ah Kh 5h 6d 3d 9d 2d 3s 3h 4s 7d 2s 7s 5s 3c Jh 9s Jc 7c 6h 8h 9c 6c 5d Ks Kc 4h 2h As 4d 8c Qh 2c 7h Ad];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[4c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s 3c 7s 5s 6c 7d 6s Js 4d Ah Td 8h 3d 3s 4s 9d Tc Ts 9c Jc Jd 5c 2c As 8c Qh 3h 5h 8s Ks 5d 4c 6h Kc 9s Kh Ad 2d 6d Jh Ac 9h 7c 4h 7h 2h];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[r:94,5] Hero[f:96,4] ;{10} ;-10;b1[Jh, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3d 9s Jc Kh 3c 3s Ts 7c Tc Js 7d 6h 8c Ah 7s 2c 2h 4s Ac 9h 2d 2s 5s 4h 9d 5h 5c 5d 4d Jd Jh As Td Qh Ad 9c 7h Ks 6d 8h 3h Kc 8s 6c 4c 6s];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[8c, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 3s 3h 3c 4h Js 2c Qh 8s 7d 6h 9c 2d Kc 8h 6d 4s 5h 5d Ac 7h Td Ad 9h Jc 5s 2s Jh 7s Tc 4c 9s Ah As 5c 9d Ts 3d 2h Kh 8c Ks 7c 6s Jd 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Ts, Js];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7s 2h Tc 9s 6d Ad 4c Jh Ts 7c 6s 5s Ks 5h 7d Jd 6c 4d Kh 2s 5c 3h As 2c Td 8c 9d 3c 3d 9c 2d 7h 3s 8s 8h 4h Jc Ah Ac 4s Kc 5d 9h Qh 6h Js];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[As, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 4h Ac As Js 5c 7s 9s 8h Ks Jc Tc 2c 8c Qh 6c Jh 9h 5s 7h Jd Kh 5h Td 4c 6s 8s 6d 7d 2s 5d 3d 2h 3h Ad 6h Kc 9d 7c 4s 4d 9c Ts 3c Ah 3s];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d Tc 5s Jh 7h 8s 9h 3h Kh 7d Kc 8c Jc 9d Ks 9s Jd 7c 8h Ad 5c Ts 3d Ah 6h Js Qh 4c 2h 6s 3s 5d 2c 7s 4s 4d 3c 5h As Td 2s Ac 6c 9c 2d 4h];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[7h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c As 3d 5h Ac 4d Qh Td 9c Tc 8s 6h Jd 4c Kc 6d 7c 8h Kh Jc 2c Ad 4s 5s Ah 8c Ts 3s 7s 5d 2h 6s 4h 9s 9d 7d Js 2s Ks 5c 7h 3c Jh 3h 2d 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5d 9c Ac 6c 3s 6h 2c Ts 9h 5c 6s 8s 6d Jd Kh 4s 9d 3h 7d 3c Kc Td Qh 2d Jc Tc 3d Jh 5s Ah 8h 7s 4d 9s 5h 7c 4c 2s Ad 4h 7h Js 8c As Ks 2h];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Ah, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc Kh 9h 9s 2c Jd 5h Js Kc Ah 8c 2s 6h 7s Jh As 5c 4c 9c 3d 2h 2d Ks 6c Ac 4h Td 6d 6s Tc 3h 3s Ad 5d Qh 4d 8s 4s Ts 8h 7c 7h 3c 9d 5s 7d];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[3d, 3c]28794;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 6s Ks 9h 5s Ad 7h 6h 5h 4h 4d 8s 6c 3h 2d 8h 2s Kc 2h Jd Ah 7c Js 5d 4s As 3s 7d 6d 2c 8c 5c 9d Tc 9c 3d 7s 9s Kh Ac Ts Qh Jc 4c Td Jh 3c];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[2s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d 7s 6d 7d 3h 8s 5c Ah Ad As Ts 9c 2h 4c 6c 4h Jd 7c 3c 7h Kc 5h 4d 9d Ac Ks Js 3s 2d Qh 9h 6s 5s 9s Tc 5d 4s 2s 8h Td 2c 6h Kh 8c Jh Jc];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[5d, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5d Kc 9h Ah 5c Jh 6s 7s 5h 6h As 2h 3d 6c Ad Tc 5s 4h 9d 9c Js Jd 7h Ks 3c 4s 4c 2s Jc 3s Kh 2d Td 9s Ac 7c 8h 6d Qh 8c 3h 2c 8s 4d 7d Ts];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:8,78] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, Kh]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h Jh 9c Js 3s 7h 5h Ad Kh 3d 6c 8s 4s Ks 2s 2d Ts 5s 2c 8c 7d Tc Jc 7c Qh 5c 3h Jd Ac 9d 2h 7s 6s As 4d 8h 5d 9h 4c 6h Td 6d Kc Ah 9s 3c];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Ks, Jc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c Kh 7s 8c Jd Ah 2c Tc 3s 5h Js 9h 9s 2d Kc Jh As 9c Ks 6s 2s Ad 5s 2h 4d 4s Ac 3d 6d 5c 5d 3h 7d 7h 3c 8s Jc Td 6h Qh 7c 9d Ts 8h 4h 6c];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jh, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 6h Jc Js 4h 2c 3d 6c Ad 8s 2d 8c Ts 9c 9s 9d As Ah 6d 6s 3s 7d 5h Kh 8h Ks 7c 3h 4s 5c 2s Kc Jh 5s 5d 4c 2h Jd 3c 4d Td Tc 7h 7s 9h Qh];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[As, Tc]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Jc 8h 6s 4h 5s Ad 2d 9s Ts 4s 4d Jd Qh Kc 7h 3h 2s 2c Ks 8c 6c 5d 4c Tc Td 9h 7c Ac 3c 7s 3d 9c Kh 6h 7d Js As 9d Ah 5h 3s 2h Jh 6d 8s 5c];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Jc, Kc]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 4s 8c 3h 8s Qh 5d 2h 7s Jc Ah 9s 2c 7h Jh 5c Ts Kh Ac 6d Jd 4h 6s 3d 2d 4c Js Td Ad 3s 2s 9c 5s 7c 6h 6c 7d Kc 4d 9h 3c Ks Tc 5h As 8h 9d];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[5s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 9c 3s 6s Td Ad Ah 3d 9d 4d 7d Ac 9s As 5d Kc Jc 7h Jh Js 2s 9h 6c 8c Kh 8s 4c Qh 3h Tc 4h 5c 7s 2d 8h Ts 4s 6d 5s 2h 2c Jd 3c Ks 7c 6h];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(30) ;-14;b1[9d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h 9s 2h 6d Kc Jd Ah 5s Ks Ts 3c 6h Tc Js Td 8h 6c Ad 2s 8s 4c Qh Jh Ac 7d 3s 8c 4s 5c 2d 9d 3d 5h 7s 2c 5d 9h Jc Kh 9c 7c As 4d 6s 7h 3h];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[Jh, 9c]17089;b2;Hero[8d, Kd]17098;b0
