 Kd 8d Th Qd Qc] [ 5c Ks 8s Jh 4d 3d Ac Ah 6c Qs 6h 4c Js 5h 9d 3s 4s 9c 5s 3h 2s Tc As 7d 8c 8h 4h 9h Td Ad 2d 2c 5d 7c 2h Jc Qh Kh Kc Jd 6s 3c 7h 9s Ts 6d 7s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3d, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h Td 3s As 9d Qh 5d 9h Jd Tc Kh 5h Jc 4c 8c Qs 4d 6h 8s 7h 5s 2c Ad 3d Ks 2s 7s 2h 6s 9s Ac 7c Jh 5c 2d 6d 7d Js Ts Ah 4h 3h 3c 4s 6c Kc 9c];[Qc, Qd, Th, 8h, Td];null;b1[c:17,17] ;b1[r:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Jh, Td]28778;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 2d 5h 3c 5d 6h 9h 8c 6c Ts Qs Ks 4s Kc Jd 2s 7d 5c 2c Td 9d Js 9c 3s 6d As Ac 8s Qh 7s 4h Tc 3d Jc Ah Jh 6s Kh 3h 2h Ad 4c 4d 9s 5s 8h 7c 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5d, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks 4s Qs Kc 5c As 2s 9d Ac 8c Tc 8s Js Ah 5s 3d Kh 9h 7c 7h Jc 2c 5d Td 3c 4c 9c 7s Jh 7d 4h 9s 6s 4d 5h 2d 6h 6c 3h 8h Qh Ts 2h 3s Jd 6d Ad];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d Js 4s 9h Jh 2h Kc 5h Tc 9c Ks 8s 4h Qs 6c Jc 9s Ad 5d Kh 5s 5c 4c Ac 7c 7d 9d 8h 6h 2c Td 2s 3s 7s Ts 7h 2d 8c Qh 4d Jd 6s Ah As 3d 3c 3h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7s 8h Js 9d Kc 9c 7c 6d Kh Qs 5s 6s 6h 4d 5h 8s 2c Ac 7h 3c 4h Ad Ts As 9s 6c 2s 9h 5d 4c Qh 5c 3s Jh Ks 3d Tc Jd 7d Jc 2d Ah Td 2h 3h 4s 8c];[Qc, Qd, Th, 7s, null];null;b1[c:17,50] ;b1[r:16,57] Hero[f:81,18] ;null;{6} ;-6;b1[Qs, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s 9c 7s 5h Td Kc 3s Jc 2h 4c 2d 6s 2s Jd 5c 5s 8h 4h 3c 8c 6d As Qs Ah 5d 6h Ts 3d Ac Qh 7d 9d 3h 7c Tc 4d Ks 4s Ad 2c Jh 9h 7h Js 6c Kh 8s];[Qc, Qd, Th, 9s, 9c];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9s, Ah]28766;b2;Hero[8d, Kd]12870;b0
 Kd 8d Th Qd Qc] [ 9d 6s 8h 3d 6c 3c 5s 5h 9c Jc 4s 2d Js 3s Kh 7c 5c Jh 7s Qs 7h 7d 2h Ks 9h 8c Ad Ts 4c As 9s Qh Td 5d 6d 8s Ac 4h Jd 3h Kc 6h Tc 2c Ah 2s 4d];[Qc, Qd, Th, null, null];null;b1[f:17,50] ;null;null;Hero{6} ;6;b1[2s, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c 4s Ah 5c 2s 3h 3d 2c Tc Jc 7d 9s Ts Kh 7h Td 4c Ad Jd 6d 8h Qh 3s Js 2h 6h Kc Ks 4d 6s 8c 5d 8s Qs As 9c 9h 7c 9d Ac Jh 5s 4h 7s 5h 3c 2d];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Qs, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 6s Qh 9h 9s 4c 3h 3c 7d Ts Kh 5h 5c 9d 4d 6h Qs 8h Tc 2s 5s Td 4s 4h 9c 5d Ah 8c Jd 3s 7h 6d 2h Jc Ac Jh Ks 2c 7s Kc Js 8s Ad As 7c 2d 6c];[Qc, Qd, Th, 3d, 6s];null;b1[c:17,50] ;b1[r:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ks, Qh]17098;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ Ac Jd Qs 7c 3s 3c As Kh 4d Tc Qh 5h 2s 7d 4s 8s 2d 6c Kc 7h 5d Jh 5c 2h 3d 6h 9c Ah 9h Ad Jc Js 6d 4c 3h Ts 4h 2c 7s 8h 9d 8c 6s Td Ks 5s 9s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 6s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h Jd 5c 3h 7d 7h Js 9d 5d 9c 7s Kc Ac 8h 8s Kh Tc Jc 4s 3c 8c Ah 5h Jh 7c 6d Ad 6s Ts Td 3s Qs As 2d Ks 9h 6h 9s Qh 3d 6c 5s 4h 2s 4d 2c 4c];[Qc, Qd, Th, 2h, Jd];null;b1[c:17,17] ;b1[c:18,12] Hero[c:9,72] ;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[5s, Ts]12880;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 5h Ac 4s Tc 7c 7s 9d 8s 5c 9s 6d 5d Ad Ah 7h Kc Qh 6h 9c 6c Jc 5s 6s Kh 2d As 2h Ks Js 3h Jd 9h 8c 4h Jh 2s 4d 3d 4c 7d Ts 3s 3c Qs 2c 8h Td];[Qc, Qd, Th, 5h, null];null;b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[f:18,12] ;null;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h Kc 4s 3d 5s 6c 5c Js 8h 2s Ks 9d 6d 6h 4d Td 5d 2h Jh 3h As Qs Jd 3s Kh 3c 2d 9s 9h Ad 8s 6s 7c Ac 4h 9c 2c Tc Qh 7h 7s Ah 4c Jc Ts 8c 7d];[Qc, Qd, Th, 5h, null];null;b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[5s, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 2s Td 7c 7h Ad 2c 5c 6s 3h Js 9h 8s Kh 2h Qs 9d 4d 2d 9s 5d 8h Ts 6d 3c As Jc Tc 6c 3s 7s 4s Ks Kc 7d 4h Jh Ac 8c Ah 5s Jd Qh 4c 6h 9c 5h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc 7s 3d 4c 8h 7c 9d Jd Tc 4h 8s 5h Js Ks 4d 8c As 3c 5s 6s Kh Td Ts Qh 2d 3s 9c 2c 7h 5d 7d 9h 9s Ah 4s 6d Jh 2s Ad 6h 2h 5c Jc 6c 3h Qs Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8s As Ac 9d 8c Js 2c Qs Ts 6c 6d Tc Kc 9h 3d 9c Jh 5c 4c 6h 5d 7d 3s 6s 2s Jc 4d Qh Ad 7h 2d 5h 4s 7s Td 4h 3c Kh 3h 9s 2h 5s 7c Ah Ks 8h Jd];[Qc, Qd, Th, 8s, As];null;b1[c:17,17] ;b1[c:18,12] Hero[r:9,72] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[4d, 4c]12816;b2;Hero[8d, Kd]12860;b0
 Kd 8d Th Qd Qc] [ 3s 3d 5s Ah 3h Kc Qh As 2h 9c 9s 6c Kh 9h Js 7c 6h Ts 8s Tc Jc Jd 6s 5c 7s Qs Jh 9d Ad 4s 2s 8c 5d Ac 4h Td 2d 4d 8h 3c 7h 2c 4c 6d 7d Ks 5h];[Qc, Qd, Th, 3s, 3d];null;b1[c:17,50] ;b1[c:16,57] Hero[c:0,36] ;b1[c:18,51] Hero[r:0,23] b1[c:18,51] ;b1(22) ;-10;b1[Qs, Qh]32897;b2;Hero[8d, Kd]12804;b0
 Kd 8d Th Qd Qc] [ 6d 2h Jd 6h 5c 9h 3h Qh Kc Qs 9s 4c 7c 7s 5d As 9d Jh 9c Js 2d 3c 7h 2s Td 7d 4h Ah Ks 3s 8s 2c Tc Jc 4s 8c Kh 6c Ad 6s Ac 8h Ts 3d 5s 4d 5h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac 5h 3h Kh Ts 3s Td 7c 9d 6s 4s 8c 5s 2d 2s 4h Jc 2h Qh 5c Qs 9c 5d Ah Tc 7s 7h Js 6d 6h 8s 4d 8h 4c Kc 9h Jd Ad 3c Jh 9s 6c 2c As Ks 7d 3d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Jh, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah Js 5h 6d 9d Jc Jh 4c 4s Td 9c Ts 6h 2h 4h Tc 3c 2d 7h 6c 4d Kh 8c 2c 7s 9h 5d 5c Ac Kc 7c 9s As 2s Qs 5s Ad 8s 6s Qh 3h Jd 7d 3d 3s 8h Ks];[Qc, Qd, Th, Ah, null];null;b1[c:17,17] ;b1[c:16,57] Hero[r:0,36] b1[f:18,12] ;null;Hero{8} ;8;b1[Ks, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s 6c 7s Kh Qs 4c 2c Jc 2d 9d Kc 4d 4h 9c 3s 6h 7c As Ah 3d 2h 4s Js 6s 5s 6d 8h Tc 7h Ad Jd 3h Ts 7d Qh Ks Jh 5d 8s 5h 2s 9h Ac 5c 8c Td 3c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4c 3s Jc Qs 6h 9c 6d 3h 7c Kh Tc 9h 2h 4d 9d 9s 3d 4s 7s Ks Js 5c 8c Qh Jh 5s Ts Td 2c Ad Jd As 7d 6c 8s Kc 5h 2s Ah 3c 6s 7h 8h 4h 2d 5d Ac];[Qc, Qd, Th, 4c, 3s];null;b1[c:17,50] ;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[6d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6s 7h 3d 9h Qs Ks 9c 9s 6d 2s 8c Ts Ah Ad Kc 4c Js Kh 4d Jc 9d 2c 3c 8h Tc Td 5h 4s 5d 6h Qh 3h 3s As Ac 8s Jh Jd 7s 5s 5c 7d 6c 7c 4h 2h 2d];[Qc, Qd, Th, 6s, null];null;b1[c:17,17] ;b1[r:16,57] Hero[f:81,18] ;null;{6} ;-6;b1[9s, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 6s 3s 6h 9h 9d Jd As 4s Td 9s 5h 3h Js Ad 4d 7d 8c Kh 2s Qh Kc 2d 4h 5c Jh Ts 7c 3c 7h 6d 2h Jc 7s 5s 8s 6c Tc Qs Ac 3d 8h 2c 5d Ks 4c 9c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, 5s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc Qs 3h 5d Ks 9h 6s 6h 8s 2c 7s 3c 6c 8h 7d 4c 7c Jc Tc As 7h Ts Kh 9c 4d Jh Jd 5h 9s 2s 6d 3d 2h Ah 5c 9d 4s 8c Td Ad 3s Qh 2d Js 4h Ac 5s];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Ad, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 2s 9d Ks 6c 2c 3h Js Ac Kh Ts 5d Ad Td Jd Qs Qh 4h 9h 9s 3c 8s Jc 8c 3d 8h 7s As 4c 5c 9c 7d 2d Kc 5s Tc 6h 7h 4s 3s 7c 5h 2h 6d 4d Jh 6s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c 9s 4d Js 2s Tc 5h 2h Ad Kh Ah Jh 8h 2c Kc 4s Qh Td 5d 5s Qs 7s 7d 5c 6c 3h 8s 3s As 3d 9h 8c 6d Jd Ts 9d 6s 7h 9c 4h Ks Jc 6h 2d 7c Ac 4c];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Ts, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 2h Ad 4s As Js Kc Ts 3h 7c Ah 3s 9h 3c 6c 5s Qs 6d 2s Jd 8h 5d 9s 4h 7h 9c 5h Ks 5c 6h 8s Tc 7s 8c 4d 3d 2d Qh Jh Jc 9d 6s Kh 4c Ac 2c 7d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[8h, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d Ts 2h 3d 8s 8c Ac Ks 7h 6h 3s 9c 9h Kc 6c 6s 2s 5c 9s Js Ah 7c 9d 4s Jd 5d 2d Kh 5h 7d 4h Jc Jh Tc Qs Qh 5s 6d Td 3h 7s 4c As 2c Ad 3c 8h];[Qc, Qd, Th, 4d, Ts];null;b1[c:17,17] ;b1[r:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ts, 9h]28778;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 2d 5c 2c 2h Jd Js 9s Jc 5d 4h 4d 5h 3c 4c Kc Qs 8h Kh 7s Qh Jh Tc 7c 5s Ah Ac As Ks 7h 8c Ts 3s 9h Td 6d 3d 6c 2s 9d 3h Ad 7d 4s 8s 6s 6h 9c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ah, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h Ah 7d 5c Td 6h 5h 9c 3d 6d 4s 8s 5s Ts 8c 8h Kh Jh Js 6s Qs 2d Ac 2c 3s 6c 4d 2h 5d 9d 7c As Ad 4c Kc Ks Jd 3h 9s Qh Tc 9h 2s 7h 3c 7s Jc];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[9s, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2d Jh Ad Ts 8s 4h 9c 6s 7c Kc 9s 6h 4c 9d 4s Js Qs 2c 5d 5h 7s 5s Jd 7d Td Qh 8h 3h As 2h 3s Kh 9h 6d Tc Ac 8c Ks 6c 7h 5c 3d Ah 3c 2s 4d Jc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5d, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h Jc Ac 6c 9c Js 5s As 7h 4d 4c 2s Td 3s 7c 6d 3h Jd Qh Ts 6s 5c 4s 9s 2c Qs 8s 8c 7s Jh 5h 8h 5d 9h 2d Ah 2h Ad 3c Kc Ks 3d 4h Kh 9d 7d Tc];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Js, Td];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh 2c 4h 3s 9s 6c 4d 7c 3c 2s Jd 9c Td 5h As Kh 2h 9h 5c Tc 6h 8c 3d 5d 3h 6s Ks 5s 7s Ad 6d Ts 4s Ac 8h 7h 7d 8s Qs Ah 9d Jc 2d Qh Js 4c Kc];[Qc, Qd, Th, Jh, null];null;b1[r:17,17] Hero[r:0,37] b1[c:17,17] ;b1[r:16,57] Hero[r:9,72] b1[f:18,12] ;null;Hero{16} ;16;b1[8h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8s 9c 3h Qh Jc 3d Td 6s 9s 2c 4c 2d Ah Ks 8c 6h 7d Jd 7s Js Ts 2s 9d Qs Jh 4d 6d 8h 5c Ad 5s 5d As 6c 9h Tc 7h 4s Kh 7c 3s 4h 5h 3c Ac 2h Kc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td Tc 2d 4d 6h 9c 8c 9h 5s Kh 7c Jc 9d 6c Js As Kc 7s 7d Jd 8s 5h 5c 5d Ts 3h 9s 2c 2h 8h 4s 4c 3d Ks 6d Qs Ac 3c Ad Ah Qh Jh 7h 3s 6s 2s 4h];[Qc, Qd, Th, Td, Tc];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[r:18,51] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[Ad, 5c]28778;b2;Hero[8d, Kd]28778;b0
 Kd 8d Th Qd Qc] [ As 9d 4c 4h Jc 2d Kc 6s 4d 9c Kh 7d 7h 3d Ah Ac 6h 5c 8h Ad 9s 2s 6c 5h 4s 2c 3s 7c 7s Td 3c Jd Qs Ts Jh Ks Js 2h 6d 9h 5s 5d 3h 8s Qh 8c Tc];[Qc, Qd, Th, As, 9d];null;b1[c:17,17] ;b1[c:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Ad, Tc]13133;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 2d 2h 8h 5d 3s 5h 2c 9s Kc Ac 7s Ts 4s 6h As Ks Qh 2s Td Ah 9d 4c 8s 3h Jh 8c Jc Ad 9c 9h 4d Jd Qs 6d Tc 6s 7d 5s Js 7h 3d 3c 4h Kh 6c 5c 7c];[Qc, Qd, Th, 2d, 2h];null;b1[c:17,50] ;b1[r:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Qs, Jd]28793;b2;Hero[8d, Kd]12793;b0
 Kd 8d Th Qd Qc] [ Qs Td 3d 4c 8s Qh 6s 8h Ts Jd 9s 8c 9h Jh 7c As 6c 9c 2s 5s 3h Ac 7d 6d Tc 4s 3s Js Kh Ah 4d 2d 9d 6h Kc 5d 2h 3c 5h Jc Ks 4h 7h 7s 2c Ad 5c];[Qc, Qd, Th, Qs, null];null;b1[c:17,17] ;b1[c:16,57] Hero[r:0,36] b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[Kh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ts 2h Ah 9d 4h Tc 5s 6h 5c 4s Jc 9c 3d 9s 6d 7s Td 5d Jd 3h Ks 4d Qh 7d 3c 2d 2c 7h 4c Kh As 9h 8h 2s 6c Qs 7c Jh 6s 3s Ad Js 8s Kc 8c Ac 5h];[Qc, Qd, Th, Ts, 2h];null;b1[c:17,17] ;b1[c:16,57] Hero[c:0,36] ;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[8h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h Jd 4c 9c 9d 5h 3s 3d 8s 5d 4s Jc 3h 5s 3c Ad 6c Ah 7h 4h Kc 7s 2d Jh 2h Ac 6s 7c 9s Qs Ts As 9h 8c Ks Td Tc 2s 5c 6d 2c Js 8h Qh 4d Kh 7d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s Td 6d 2d 9h 9c Jd 7s 3d Jc 8s 7c 4c 5c 6h 3c Ad Jh Qs 5s 6s 3s 4h Tc 2s Ac 5h 9s Ks 9d 8h 7d Qh 6c 8c Js 2h 7h Ah Kh As 2c Kc 3h 5d Ts 4d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h As 6s 3d Tc Jh Qs Js 2d 7s 4h Ts Kc 4c 8h 6h 6d 3s 5h 4s 7h 2s 8s 7d 9d 7c 9s 8c 9h Jd Ah Jc Ac 5s 2c Kh 2h 4d 3c 5d Ad Ks 9c Td Qh 6c 5c];[Qc, Qd, Th, 3h, As];null;b1[r:17,17] Hero[r:0,37] b1[c:17,17] ;b1[c:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[8h, 9h]10593;b2;Hero[8d, Kd]10611;b0
