 Kd 8d Th Qd Qc] [ 9d 6s 5s Td Kh Ts 3d Qs 4h Jd 2d Jc 6c Ah Tc 5c 6d Ac 3h 7d Jh 3s Ks 9s Ad Kc 4c 4s 9h 8s 5d 7c Js 2h 2s 2c Qh 3c 8c 9c 6h 7s 8h 5h 4d 7h As];[Qc, Qd, Th, 9d, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{8} ;18;b1[6s, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9c 7d Kc 9d As 2h Ad 3d 4d 9s Qs Tc 4s 6c 7s 5d 6h 3h 2d Qh Ts Js Ks 8h 5c 6d Jh 4h Ah 3s 8c 2s 8s 2c Ac 7h Jc 5s Td 7c 6s 5h 4c 3c 9h Kh Jd];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[8s, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 5c Jd As Ks 7h 2s 5h 4s Js Kh 4d 9s Ah 2c Qs Tc Jc 7c 9d Qh 7s 4c 3d 3s 6c 5s Kc Jh 5d 8h 8s 9h Ac 3c 8c 6s Ts 6h 6d 3h 4h 7d Ad 2h 2d 9c];[Qc, Qd, Th, Td, 5c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Kh, Tc]28778;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ Kc 6h 3h 2s Js 9d Tc Jd 4d 8c Td 6d 4c Jh Qs 5c 7s Jc Ad 3d Ac 6c 6s Kh Ts Qh 5s 7d 2d 3c 9h 4s Ks 5h 5d 8h 7c 9s 8s 9c 2h 4h As 3s Ah 7h 2c];[Qc, Qd, Th, Kc, 6h];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[As, Ac]13135;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 6h Tc 3h Ks Ah Qs Qh 2d 4h 5h Kc 2s Kh 7s 9c As 7c 9s Ts 4c Jc Js 9d 6c 8s 9h 8h 3d 3s Ad 2h 5d 4d 8c 7d 5s 6s 4s Jd 3c 5c Ac 6d Td Jh 7h 2c];[Qc, Qd, Th, 6h, Tc];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(8) ;8;b1[Js, 9h]12880;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 7h 9h 2s Ac 6d 8h 5h 8c 2h 4s 8s As Kc 2c 3h Qs Jc Ad 4h Kh 5d 4d 9d Jd Qh 5c 9s Td 6s 5s 3d Tc Ah 9c 6h 3s Ks 2d 7d Ts 7c 7s 3c Jh 6c Js 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Kh, 3c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qh 3c 2s 7c 6s Td 3d Qs Jd 7h 8s 4c 4d 9s Ks 6c Ah 6d 4h 8h 5s 2h Ts 5d 2c 3h 2d Kc Jc 5c Ad 9h Tc 9d 7s 8c 5h Ac 6h 7d 4s Js Jh As 3s Kh 9c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 7s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 4h Ad Jc 9c 9s 8s Kc 5d 2d 6d 3s Qs Jd 9h 6h Td 5h Js Ks 7s 3h 7h 4s 8h 2h Ac Qh 3d 6s Ts 9d 5c As Jh 5s 4d 3c 2c 7d 8c 7c 4c 2s Kh Tc 6c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td Kh Jh 5c 9c 4d 5d 8c Js 5h 4c 2h Qs 5s 6s 9d 9s Ts 3d 2c Kc 4s 2d 3h 7c 7h 6h 6d Jd Jc Tc 7d 4h 8s 2s Ah 6c Ad As Ks 9h 7s 3s 3c Ac 8h Qh];[Qc, Qd, Th, Td, Kh];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jd, Kc]13013;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 8h As 7c 4h 2h 4c 8c Ts Ac 9s Jh Js 2c 8s Qh Kh Tc 5h Kc Ah 9h 3s 7h 7s 2s Ks 5d 9c 3c 3h 4s 5s Jd 4d 2d 9d 3d 5c Jc 6s 6c 6d Td 6h 7d Ad Qs];[Qc, Qd, Th, 8h, As];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Kh, Ac]13135;b2;Hero[8d, Kd]12860;b0
 Kd 8d Th Qd Qc] [ Kc Ts 3d 2h 8c 9s 5d 7d As 2c Ah Td 3c 6c 5s 3h 4h 6h 4c 5h 8s Kh 4d Jh 9h Ad 4s Qh 9c 2s Js Qs Jc 6d 3s 7h 5c 8h 7s Ac Jd Ks Tc 7c 6s 9d 2d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 9s 5s Ks Ad 7h Ah Ac As Qs 5c 8h 6h 4c 2c Jd 3c 3d 2d 4d 4s 5d 3s Js 2h 5h Tc 8c 9h 6s Td 7c 8s 6c 7d 2s 6d Ts 9c Jh Kc 4h 9d Qh 7s 3h Kh];[Qc, Qd, Th, Jc, 9s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,87] ;Hero(12) ;12;b1[Js, Ah]12893;b2;Hero[8d, Kd]20489;b0
 Kd 8d Th Qd Qc] [ Qs 6c 2c 7s 9s 4c Td 5s Js 5h Ks As Ts 4s 3c Kh Tc Ac 3d 2d 9h Jd Qh 2h Ad 7h 6s Jh Jc Kc 7c 6d 4d 5d 9d 7d 3h 4h 6h 3s 2s 8s 8h 8c 5c Ah 9c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5d, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h 9d 6s Ah 6c Jh 7d Qs 2c Kh 8s 3c 4c Td Ac 9s 3h 3s 3d 9h 9c Ad Kc Qh Tc 2s 6d 2d Jd 7c 7h 5h 5d Ts 2h As 5s Ks 7s Jc 8h 8c 4h Js 4d 4s 5c];[Qc, Qd, Th, 6h, null];null;b1[c:6,6] ;b1[r:8,5] Hero[f:92,7] ;null;{6} ;-6;b1[Jd, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9h 7h 4s 5d Ac Ks Ad As 3s 5c 2c Td 2s 8h 7s 7c 6d 3h Jh 9s 2d 3c Ah 8c Js 5h 7d Jc Kh 6s 9c 9d 6c 8s Ts Qs Jd 4d 5s 3d 2h Qh 6h 4h Tc Kc 4c];[Qc, Qd, Th, 9h, 7h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(22) ;-10;b1[6h, 6c]12835;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Jc 2d 3s 3h 9h Kh 4s As Ad Ts 2s 6d 7d Qs 5h Js Ah 8c 7c 9d Jd 9c Tc 8s 3d 7h Ac 5c 6h 4c 7s 8h 4h 6s 2h Kc 3c 6c Jh Td Qh 5d Ks 9s 2c 5s 4d];[Qc, Qd, Th, Jc, 2d];null;b1[c:6,6] ;b1[r:7,80] Hero[r:0,16] b1[r:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(38) ;-18;b1[Ad, Tc]12882;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 3h Ad 7s 9s 5s 3d 4c Ac 5h Jc 9c 5c 6h 4s 9h Kc 3c 2d 2c 8s 2h Qh 3s 4h Td 7c Ks Ah Ts 9d Jh 4d 2s 6d 8h 8c 7h Tc As 6s 5d Jd 7d 6c Js Qs Kh];[Qc, Qd, Th, 3h, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Tc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 7c Qh 3d Ad Ah 8h 5c Ac 6c Kh Jd Td 5s 4c 9c 6h 7d 9s 7s 8c 2c 3c 2h 3h 4d Js 2s Tc 3s 9d 9h 2d Jc Kc 7h 5h As Qs 4s Ks 4h 6s 8s 5d Jh Ts];[Qc, Qd, Th, 6d, 7c];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9h, Ad]10593;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ Qs Td 6s 9c Kc 4s 5s 7h 5c Jh 9d 6c 7d 4d 5d 7s 9h Tc Kh 7c 8s 3s 3d 2h 5h 9s Ac 6h 4c Jd 3c Ad 8h 2d Ks 6d Ah 3h 8c Qh Ts 4h Jc As Js 2s 2c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, 2c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 3h Td Ts 5d 8h 6s 2s 4s Tc 8c 2h Qs 4d 3c 2c 7d 3d Kh Jc 7h Kc 8s 6c 5c 9h 4h Ks Ac Ah Ad 9s Js 5s 9c 7s 5h 6d 6h Jd 4c Jh 2d Qh 3s 9d 7c];[Qc, Qd, Th, As, 3h];null;b1[c:6,6] ;b1[c:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[Kh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7s 9h 2c 6c Qh 8h Jd 3c Td 5c 3h 7d 9s Js Tc Qs Ac 6h As Jc 8s Ks 8c 2h Kh 4d Ah 5h 6d 2d 7c 9d Kc 4h 2s 5d 5s 6s 4c 3d Ts Ad Jh 7h 4s 9c 3s];[Qc, Qd, Th, 7s, 9h];null;b1[c:6,6] ;b1[c:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(22) ;-10;b1[Ts, 8c]12879;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Ad 7h Jd 4h 9s Js 8h 2h 4s 5c 2d 3d 8c 5s Ah 3c 6h 9c Kc Ks 7d 7s 6s 6d Jh 3h 6c Td Tc 4c 2s Qs Jc Ac Kh 3s 5h As 9d 9h 4d 8s 5d 7c Qh Ts 2c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 3h Tc 4s 6d 8c Qs Qh 7c 3c Js As 3s Kc 2h Jd Jh 6h 4c Kh 4d Ah 5h Ad 8s 5s 6c 9d 5d 5c 9s 2d Ts 7d Ac 8h 2s 6s 2c 7h 9c 4h Ks 9h Jc Td 7s];[Qc, Qd, Th, 3d, null];null;b1[r:8,75] Hero[r:0,16] b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{12} ;12;b1[4h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 9c Ah 6s 2d As 3c Td Ad 2h 6h 9h 7s Jc 5h Ts 4s Js 7d Kc 4d Ac 9d 5c 8s 4h 4c Jd 2s Qs 3s 6c Kh 3h 8h Jh Tc 5s 9s 8c 2c Ks 7h 7c Qh 5d 6d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ah, 2d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 6h Ad Ks 2d 3h 3c 9h Kh Jc 7h Js Qh Ts Qs Ac 4s 9s 9d 6s 9c 5s Ah 2s 7d 7s 8h 5c 8s Jh Tc 4d Kc 6d 6c 2h 8c 4h Td As 3s 5d 5h 4c 3d Jd 7c];[Qc, Qd, Th, 2c, 6h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[5s, As]10590;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 3d Ad Td 7d Tc 5d 8c 3s Kc As 8h 6c 6d 9c 7h 4d Qs 9h 7c 4h 6s Js Ts 5c Jd 3h 2c Ks Qh 2d 3c Jh Kh Ah Jc 9s 4s 7s 2h Ac 2s 6h 5h 8s 5s 4c 9d];[Qc, Qd, Th, 3d, Ad];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[f:94,5] ;Hero{12} ;12;b1[Js, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d As Tc 7s 6c 9h 5c 3s Ah 7c Td 9c 3h 4s 7h Qh 2c 5d 7d Jc 6s 4h Jh Ts Js 9d Jd 8s Qs 8c 5s 3c 2h Kc 4c 5h Ks 4d 2d 9s 6d Kh 8h Ad 6h Ac 2s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Jd, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh 9c 7c Ks Qh Kc 4c 7h 8s Ts 4h 5d Kh Ah 9s 7s 2s 2h 6s 2c Qs 8h 9d 5h 2d Jc 3c 5s 3s 3h 3d Js 6c 9h As 7d 5c Ad 6h Jd 6d Tc Td Ac 4d 4s 8c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7d, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d 2c Td 9c 7d 5h Ah Ac Ts As Jh 3c 3d 8s Qs Qh 4d 7c 5d Js 5c 7h 3s 8h Ad 7s 8c 4s Jc 2d 6s 4c 6d Ks 5s 2s 3h 2h Jd Kh 6c 9h 6h 4h 9s Tc Kc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d Tc 7c 3d 3s 5c 6h 9d 2d 8c 8s 5d 9c Ad 7s Kc As 2c 9h 5h 6s 4d 4s 4h 2s 7h Jh Jc Qs Jd Td 6c Ks 9s 7d 2h Ac 3c Kh Ts Qh 3h Js 5s Ah 4c 8h];[Qc, Qd, Th, 6d, Tc];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[9s, Ac]12882;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 5d 2c 6c 5s 9d Td 8s 7h 4s 5h Ad Kc Jd 3d 3h 2h 7s 5c 9c Qh 9s 2d 8h Jh 7d 4c 4d Ah Ts 3s Tc As 9h Kh Ks 7c 6d 6s Js 2s 4h 3c Jc Qs 8c Ac 6h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3c, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js Ah 7c 7s 5h Ad Jd 5s 6s Ks 6d 8h 4s 8s 5c 3h 9c 3s Qs 9d Qh 3d As Ts 2c 7d 6c Jc Td 6h Tc 9s 7h 4c Ac 4h 3c 8c 4d Jh 2h Kc Kh 2d 2s 5d 9h];[Qc, Qd, Th, Js, Ah];null;b1[r:6,6] Hero[c:0,16] ;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[c:0,9] ;b1(17) Hero(1) ;1;b1[Ad, Kc]20490;b2;Hero[8d, Kd]20490;b0
 Kd 8d Th Qd Qc] [ Js 3c 5c 3s 4c 9d Qs Ts Ah 6h 2s 9s Jc 8h 6d 9h 8s 5h 4h Kc Qh 7d 8c 3h Jd 2d 7s 2h 4s 9c 6c 4d 5d Ks 2c 3d Ad Td 5s 6s Ac Tc 7h As Kh Jh 7c];[Qc, Qd, Th, Js, 3c];null;b1[c:6,6] ;b1[r:7,80] Hero[r:0,16] b1[c:8,5] ;b1[r:8,78] Hero[f:96,4] ;{14} ;-14;b1[Ah, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d Kc 7d Jd 5c 8h 4s Js Ac 6d Qh 6c 6s 2c Ad 9h 4h Jc Jh 7c 8s 3c As Qs Kh 2d 2s 3d 4c 7h Ks 7s Td 9c 5s Ts 3h Ah 3s 9d 6h 8c 5d 5h 9s Tc 2h];[Qc, Qd, Th, 4d, Kc];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(9) Hero(1) ;1;b1[9d, Kc]13012;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ Kh 2s 2h 5c 3c 8c 2d 8h 5d Jh Js Qs 3s 6d Qh Ts As Ac 8s Tc Ah Jc 7s 7c Ad 4h Ks 7d 3d 4c 9h Jd 9d 7h 2c 3h 5s 9s 4d 4s Kc 6s Td 5h 9c 6h 6c];[Qc, Qd, Th, Kh, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{8} ;8;b1[Ts, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td Ad 4s 9h Jc 9d 2d 3d Js 2c 7s As Ks 5d 7h 5h Kh Kc Qs Ah 8h Ts 8s 7d 4d 6h 2h 4h Ac 2s 4c 9c 8c 9s 5c Tc 3h 6c 7c 5s Jh Qh Jd 6d 3s 6s 3c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, 3d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d Qs 9d Td 9s As Js Ts Qh 9c Ah Ac 3s Jh 2d 5d 7d 6d 3c 8c 3h Jd 2s 2h Kh Tc 4c 6c Ad 5s 4s 4h 5c 2c 7c Ks 8s 7h 6h 5h Kc Jc 7s 9h 3d 6s 8h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3d, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h 9s 7c 4c Td Kc 5c Ac Ts 9c 3c Ad 2c 7s Jd 2d 9h 6c 7h As 6h 5h 5s 4s 4h 9d 4d Ah 6s Tc 8h 6d Kh 8s 3d 2h Qh Js Qs Jh Ks 2s 7d 5d 8c 3s Jc];[Qc, Qd, Th, 3h, 9s];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Jc, Ac]10602;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Jd 6d Kc 3s Js 5s 9c Qs 5c 5h Ah Ts 8s 4c 4h 3h 9s Jc Kh 6s 2h 5d Td Qh 2d 9d Tc 6c 4d 8h As 7s 8c 3d 7c 9h 2s Ac Jh 4s 7d 6h Ks Ad 2c 3c 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc 3s 2h 9s 8c Js Qh 3h 6d 2c Jc 2s 5h 2d Ac 5d Ts Kc 3d Kh 7h Ad 4s 9d 3c As 4h Jd 6s 4c Td 5c 7d 8s 6h 5s 7s 6c 9h 9c Ks 8h 4d Jh 7c Qs Ah];[Qc, Qd, Th, Tc, 3s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[8s, As]12882;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 3h 2d 8c 4h 7d Qs Jh 3c Ah 9s 7s 5h 7c 5c Ac Kh Kc 3d Jd Qh Jc 6c 4s 9c Tc 9d 5d 6s As 7h 4c Js 9h 6d 8h 2s Ad 5s Ts 3s Ks 2h 2c 6h 8s 4d Td];[Qc, Qd, Th, 3h, 2d];null;b1[r:8,75] Hero[r:0,16] b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(12) ;12;b1[Jh, 9c]10512;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 6h 2d Kh Td Js Tc 9c Kc Ks 4d 5s 3s 4h 8c 4s 5h Jh 7c 9d 8h Jd Qh 7d 9s 5d 7s 6c 8s Jc Ts 2c 5c As 9h Ac Ad 3h 6d 6s Qs 3c Ah 7h 2s 3d 2h 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7h 6c Ad Ks 5s 7c Tc 5d Qs Td 3d Jd 6d Ac Jh As Js 2h 9d 3c 4c Jc 8c Kc 8h 3h Qh 4s 4h Ah 9h 7d 9s 8s 6h 6s 3s Ts 4d 2s 5h 9c 7s Kh 2d 5c 2c];[Qc, Qd, Th, 7h, 6c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:2,3] Hero[f:96,4] ;{6} ;-6;b1[Js, Ks];b2;Hero[8d, Kd];b0
