 Kd 8d 6c Qs Th Qd Qc] [ 7d Td Qh Ks 4s 3c Kc 8h 4d Ah 4c 4h 2h 9d 8c 3s Ad Ts 7h 5c 7s 9h 2d 9s 5d 9c Ac Jd As 6d 3d 6s Jc 2c 7c 5s 3h 8s Tc Jh 5h 2s Js Kh 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[4c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7c 5c 4c 9h 7h 7d 2s Ac Tc Ks 8s Kh Ah Jc 5s 6h 3s 3h 8h Jd 9c Jh Js 3d Ad 2h 5d 4s 9s 2d Kc As 9d 5h 4d 6s 6d 2c Td 8c Ts 3c Qh 7s 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 6h 9h As 3h 7s 9d 2c 8h 5d 8s 9s 8c Ah 3d Jc 2h 7c 5s 2d 6s 6d Ad 3s Jd Ac 5c 4s 4h Ts Kc Qh Tc 9c Ks 5h Td 3c 4d 4c 7d 2s Jh Kh 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[4s, 4d]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 7c Td 7s 6s Jd 3d 4s 2s 5d 5c 5s 9d As Ac 7h Ts 2d Kh 2c Ad 5h 7d 3s 8h 6d 3c 4c Jc Qh 9h 2h 8s Ah Kc 3h 9c 9s Jh 6h Js Tc 4h 4d Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[3s, 3c]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 4h 9d 4d 9h 7h Kc 5s 3d 5h 2s Jd 2c 8h 7s 9s Qh Ah Tc 3h 2d 6d 7d 4c Td 4s 7c 2h 8s Kh Jc Ac 8c Js Ad As 3c Ts Jh 5d 5c 6h 6s 9c 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9d, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d Js Jc 5d 2s 8h 3d 3c 8c 9h Ac 7s As 7c 6h 2h 7h 3h Jh 6d 5c Kh Qh 4d Jd 9d 4s Tc 8s 9c 4h Kc 6s Ts Ks 2d Ah 9s Td 3s 4c 5s Ad 5h 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6s, 6h]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 3s 9s 7s 5d Qh 9c 8c 5h Tc Js Jh Kh 9d 2s 2c 9h As 5c 8h 7d Ts 3d 8s 3c 7c Jc 4s 4c 2d Ad Ac 2h 4h 6h Kc Ah 6s Jd 6d 5s 3h 7h Td Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5s, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 6d 5s 8c 3d Tc Ks 5d 7c Jd 3c Jh Td 8s Ac Ad 2s 7h Kh 6h 5h Qh 2d 4d 6s 2h 9d 9h 7d 9c 5c Jc As 7s 3h Ts 4s 8h 2c 9s 4c 4h Kc 3s Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 8c 7d 3h Jd 2c Kh 5c 6d As Js 9c 3s 3c Ks 6h Jh 5d 2h Ac Qh 4s 9h Tc Td 7c 2d 9d 4d 3d 6s Ts Ad 7s 4h 8h 5h Jc Kc 4c 2s 9s 7h 5s Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Js]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 2c 6s Ac 7h 9s Ts 2s Jd 8h As 4c Kc Td 5h 8c 3d 5d Ah 3c 7d 2h Qh Jh 6h Tc 7s Ks 4s 3s Kh 4h 2d Js 9d 5c 8s 7c 5s 9h 4d 6d 3h 9c Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:2,3] Hero[c:0,9] ;b1(46) ;-22;b1[6h, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks Kh Js 6s 7c 9c 6d 3d Jc 3c 8h As 9s Ah 6h Tc 4s 5s Qh 2c Ts 3s Jd Td 7h 2h Ac 9h 2s 9d 7s Ad 4c 8s 3h 7d Jh 5d Kc 5h 5c 2d 4h 4d 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, 9h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 4c Kh 6h 2d Kc Ah 7d 7s Td 6d Jc 4d Ac 2s 8c 9s Qh Jd 5s 4h 6s 3h 3s 3c 9h 8s Tc 4s 8h 5h 3d As Ad 2h 5d Ks 5c 9c Js 7h 7c Jh 9d 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc 9h Kh Ts Ah Qh 3d 9d 8s 7d 4h As 4c 3c Ad 9s Js Ac 8c Jd Ks 3s 3h 7h 5c 6d 5s 7s 2d 2c 7c 2s Kc 4s 2h Tc 6h 4d 6s 8h 9c 5d Td 5h Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5s, 5d]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d Jh Jc 7s Ac 2h 3d Qh Kc As Ad Ts 6h 3h 5c 4c 5d 6s 9h 8h 8c 9s 5s 2d Js 2s 8s Ah 7d 7h 2c 4s Ks 6d 4h Jd 5h 7c 9c 3s Kh Td 3c Tc 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;--18;b1[5s, 5h]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh Ts Ah 4s Kh Td 5d As 5s 6s 2s 4d Tc 4h Ks 2d Kc 8h Ad 3s 7d 8c 7h 2h 3c 6d 9d 6h 4c 2c 5c 9h Jh Ac 8s 3d Js Jd 5h 7c 3h 9c 9s 7s Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Kh, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d Kh As 6d Jh 5d 9h 8c 7h Jc 3h Qh 4d 6h 5s Js 8s 7s 3d 9d 4s Ad 4c Ks 2c 2d Td Jd 5c 9c 3s Ts 8h Ac 6s 3c 7c Tc 4h 2h 5h Ah Kc 9s 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 7d 2d 9h 4c 5s Kh Jd 3d Td Ad Js 7s 2h Ks Jc 3h 5c 8s Kc Ts As Tc 6s 3c 7h 2s 4d 5h Qh 6h 7c 9d 9c 3s Jh 9s 6d 4h 8h 5d 4s 2c 8c Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c 9c 5c 8h 8s 2c Ac 2h Qh 4s 4c 6s As Kh Kc 3d 9h 2s 2d Jh 7d 5d 7s Jc 7c Js 9s Ks 6d 4h Tc 3s 5h Td 3h 4d Ad 5s Jd 8c 7h Ah 9d 6h Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 7c 9s Ah 5d 3c 3s 2d 3h 9d Ad Jd 5h 2c 9c Ac 4d 6h 6s 5c 8c 7s Tc 4h 9h 7h Kc Ks 5s 3d 2s 7d Kh 8h Td Ts As Js Qh 4c Jh 2h 4s 8s Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5s, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 7s Td 9c 4h 2c 5h 5s 2h 4c 3d 6d 8h Ac 6s 4s Ah Ts 8s Ks Jh Jc 5d 9d 3s 7h Jd 6h Qh 8c 7c 4d 5c 2d 9s Tc 9h As 3c 3h 7d 2s Kc Kh Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 2c 8s 5s Ad 3s 9d 4c Qh Td 3d 7d Ks Js 2s Ts 2d As 5h 4h Kh Kc 8h Jh 3c 7s 5d 7h 6d Jc 5c Jd 6s 2h 9h 6h 4s 8c 9c 3h Ah 9s 7c 4d Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8s, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h Ks 2d 9h Jd 6s 9d 7d Ah 6h Tc 4s 7h 2s 5d 3c 3s 3h Td Kc 7s Ad 7c 3d Kh 9s 4d 8s 9c As 8h 4h 5s 6d Qh 2h 4c 2c Jc Js 8c Ts 5c Ac Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ad, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h 2c Tc Js Jc Td Ac Qh 5h 9s 3h Jh 4d 6d 5c 8h 6s 2s 8c 3d As 7s 7c 8s 4s 5d 9c Ad 9h 4h 2d 9d 6h Jd 7d 3c Ts Kh 3s Ah Kc 5s Ks 4c 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[4d, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 7h 9h 2d 5h Kh Jh Kc 4h Qh 5s Jd 7c 2c 7d 4c Ts 2s 6h Tc 3s 8s Ad 8h 9c Ks 6d Js 9d 7s 5c 6s Jc 5d 3c 3d 9s 3h 4d 2h Td Ah Ac 4s 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 4s 3s Jc 3d Ts Td Ah 8s Jh 5c Qh 2c Ad Ks 7d 4h 7c Kh 7h As 4c 6d 9c 5d Tc 9d 2s 3h 5s 9h Jd 5h 9s 4d Kc 7s 6h 6s 3c 8c 2h 8h Ac 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 2c 9c 7h 3h 4c Ac 8s 2h Td 4d 5s 8c Ah Tc 5c 4s 2s Js 3s 6d Jh 4h 8h 5h 7d Ts 6h 7s Qh 9h 2d 3d 9s Kc 5d 3c 6s 7c 9d As Jd Ad Ks Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad 2d Qh Jh 8s Ac 2h 9d 3d 7s Kh 9s 8c Ah 4s Td Js 9h 3s 6h 7c 6d 4d As 2s 9c 7d 3h 4c 5s Ts Jc 8h Tc 5c 7h Jd Kc 5h Ks 4h 3c 6s 5d 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, 7d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 7d Tc 2d 5d Jc Ac 8s 5s 9c 6s Jd Ad 9s Kc 2h 7c Ts 3d Js Jh 4h 4s As 9d Kh 3c 4c Ks 7s 3h 5h Td 3s 9h 2c 4d 7h 5c Qh 8c 6d 2s Ah 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Td, Ad]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 2h 5s Js 9c 3c Ks Tc 6h Ah 9s Qh Kh 3s Td 8c 7s Jh 4s 7h 7c 2s Ac 9h 5c As 4c 3d 4h 4d 8h 6s 7d 2c Ts Jd Kc 5d 3h Ad Jc 9d 2d 8s 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c Js 5c Jd Qh 3d 5h Ad Ah 5d 2d 8s 2c 8h Jc 3h 2h 6s 5s 2s 9s 9h 4s Ks Kh Kc 9d Tc 7d As Jh Ac 9c 6d 3c Td 7h 3s 4d 6h 4c 7c 4h Ts 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Js, Kh]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 5s Jc 2s 6h Ac 3c Ad 9c 3s 8c 7c 3h 5d 6d As Td Jd Kc 4d 5c 4c 4s 9h 7s 9s 7d 2h 2c Jh 5h Ks 7h 9d Qh 8s 8h Tc Ah Ts 6s Js 3d 2d 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 2c 4c As Ad 9c Kc 2s 6s 9s Qh Tc Jh 8h 7h 5h Jc 5s Ah Js 3d 9h 6h 8c 3c 2d 7d 5d Jd 7c 2h 7s Td Ks Kh Ts 8s 6d 4s 4h 3h 5c 4d 9d 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:2,3] ;Hero{16} ;16;b1[5h, 5d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c 2s 4h 9s Ts Tc 8s Jc 7s Kh Kc As 8h 3d 3s Ad 4d 9d 3h 5c 7d 5d Jh Td Ah Js 6d 6s 2c Jd 5s Ks 5h 4c 3c Qh 7h 8c Ac 9h 2d 4s 7c 2h 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[2s, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2h Ts Jc Td Qh Kc 7s 4s Ac Jd 9d 4c 2s Jh 5h 4h As 3c 2d 9c 6s 3d 6d 7h Kh 8s 8c 5s 9h Ah 3h 4d 7c 5d Js 3s 2c 7d Tc Ad Ks 8h 5c 6h 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[Kh, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc 6d Tc 8s Ts 8c 5c 2d 7h 3h 4h 5s Ah 4c 3s 9h 5d Jd 6s 2c 7c 9c Js 6h 9s 7s Jh 8h Ac 5h 2s Qh 4d 4s As 3c 3d 2h Td Kc Ks Ad 9d 7d Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:8,78] ;b1(38) ;-18;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kc 2h 2c Kh 3c Td 5d 8c 9d 6h 9s Tc Ad 9h Jd 3h As 4s Jc 7c 8s 7h Ac 5c 5s 9c Jh 6s 4c Ah 4h 3d 5h Ks Qh 4d 2s Js 7d 2d 6d 7s Ts 8h 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 3h 7h 7d Ad 7s 5h Js 5c Ah 9c Kc 4d Kh 6s 6d 4c Jc Ac 8s 3d Tc Jd 4s 2s 5s 2c 3c 2d Ks 4h Jh Qh 7c Ts 9h 5d 2h 8h 8c 9s 6h 3s Td 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[2s, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 2d 3h 9s 9h Kc 6s 5c 5h 4s 4h 4c 7h Jd 3d 3s 7s 2c Jh 9c 5d 3c 7d Ks Ad Ts Kh 2h Qh 5s 7c Js 8s 2s 6h As Tc 8c 6d 9d Jc Ac Td Ah 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 3s 9s 4s 7c 7d 5h Tc 2h Ts Ac 3d 7s Jc 4c 5s 6h 2d Jh 9c 3h Kc 6s Ad 8c 7h As Js 4h Ks 4d 9h 8s 2c Kh Jd Ah Qh 5c Td 6d 2s 5d 3c 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9s, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh Qh 2d 9s 8c Jh 8h 5s Ac 2c 5c 3h Jd 5d As 5h Ad Jc 7h 2s 9d 2h 3s 7d 9c Ah Kc 7s Ks 4s 6s Tc 7c 4h 4d 3c 8s Td 6h 3d 4c Js Ts 9h 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 3c 4d 2h 5d Ts Ah Ac Jd 7h 6d Qh Ad 9h 7c 5c Tc Jh 4h 9s 8h 5h Jc Kc 2c 9d 2s As 6s Kh 6h Ks 7s 8c Js 3h 7d Td 4c 2d 9c 3d 5s 3s 8s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 9s Jc 2h 4h 7h Qh 7s 9h Ks 2s 4d 9d 3h 4c 5h 8s 3d Ts Td Ac Jh 2d 3s 5s 6s 6d 7d 3c 8c 5c 4s 9c Tc 8h 2c Js 6h Ad Kh 7c Kc As 5d Jd];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, 5d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s 7d 8s 6d Kh 6s 9d 4c 4h 2h Jd 5d Tc 9h 5c 3d Kc Ts 2d 4d 9s 6h Ac Jh 3h Ah 7s 5h Jc 2c 5s Ad 9c Td Qh Ks 7h 8h Js 2s As 3c 8c 4s 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Td, 9c]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 9h 3s 9d 3d 5s Ks Ah Td 7d 3c 7s 8s 4s 5h 6s Qh Kc 5d Jc 2d Jh Ts 2c 3h Ac 9s 6h 2s 4h 2h 7h Tc 8c 4c 5c Ad 6d Jd Js Kh 8h 9c 4d 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Jh]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 4h 2h 9d 4c 7s 6d 3s 2d Ad 6h Ks 7d Tc Jc 3h 8h 4s Td Ac Qh 9h Ts 7h 3c Jd Ah 2s 4d 3d Kh 5c Js Jh 5d 9c Kc 9s 8s As 8c 5s 5h 6s 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 2c 5c 3d 9d Qh Jc 9h Kh 3s 6d 7h Jh Js 4d 3h 6s 9s Jd 2h Ac Kc 5s 8c 4c 5d Ts 8h 4h 5h Ks 7d Tc 8s As 2s Td 6h 9c 2d 7s 7c 4s Ad 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 2h Kh 9s 6d Td Ac 6s 2d Js 9c 5d Tc 2s 9h 7c 3c Ad 7d 4h Jh 6h Jc 3d 9d Ts 4d Ah 8s 7h 5c 5h 5s 7s Kc Jd As 3s 4s 3h Qh 8h 4c 2c Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:2,3] ;Hero{16} ;16;b1[5d, Tc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 5d 7h As 9h 9c Ts 2d Jc 9s Ac 7s 5h 7d 4d 2h 5s 2s Ad 9d 6s 3h Ks Qh Kh 3c 3d 6d 3s Jd Td 4h 6h Kc 7c Js 8s 4c 5c 8h Jh 8c 2c Tc 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, Jd];b2;Hero[8d, Kd];b0
